INFY_Q1_July_22_1 | Moderator
INFY_Q1_July_22_56 | terms.
INFY_Q1_July_22_57 | Within digital, our cloud work continues to grow faster, with our Cobalt cloud capability
INFY_Q1_July_22_58 | seeing significant traction with our clients.
INFY_Q1_July_22_59 | Our overall pipeline remains strong.
INFY_Q1_July_22_60 | We do see pockets of weakness, for example in the area of
INFY_Q1_July_22_61 | mortgages in Financial Services.
INFY_Q1_July_22_62 | We keep a close watch on the evolving macro environment in
INFY_Q1_July_22_63 | terms of the changes to the pipeline.
INFY_Q1_July_22_64 | Within our pipeline, we also have focus in addition to the
INFY_Q1_July_22_65 | growth areas in digital and cloud to the cost areas through automation and AI.
INFY_Q1_July_22_66 | Our operating margins were at 20%.
INFY_Q1_July_22_67 | We have completed the majority of our compensation review
INFY_Q1_July_22_68 | for this year.
INFY_Q1_July_22_69 | Nilanjan, will also provide more details on the overall margin update.
INFY_Q1_July_22_70 | Some other highlights of our results are
INFY_Q1_July_22_71 | -
INFY_Q1_July_22_72 | We signed 19 large deals with a TCV of $1.69 bn.
INFY_Q1_July_22_73 | This is comprises of 50% net new work
INFY_Q1_July_22_74 | -
INFY_Q1_July_22_75 | Our onsite mix was at 24.3%
INFY_Q1_July_22_76 | -
INFY_Q1_July_22_77 | As we build capacity for the future, our utilization was at healthy levels of 84.7%
INFY_Q1_July_22_78 | -
INFY_Q1_July_22_79 | Our free cash flow was strong at $656 mn
INFY_Q1_July_22_80 | -
INFY_Q1_July_22_81 | Our quarterly attrition declined.
INFY_Q1_July_22_82 | Historically, Q1 attrition increases by three to four
INFY_Q1_July_22_83 | percentage points sequentially on a quarterly annualized basis; however, our attrition
INFY_Q1_July_22_84 | declined by one percentage point on a sequential basis - reflecting the impact of various
INFY_Q1_July_22_85 | initiatives we have put in place
INFY_Q1_July_22_86 | -
INFY_Q1_July_22_87 | We had a net headcount increase of over 21,000 employees attracting leading talent from
INFY_Q1_July_22_88 | the market, which is a reflection of our enhanced recruitment capabilities, solid brand and
INFY_Q1_July_22_89 | deeper penetration into various talent markets.
INFY_Q1_July_22_90 | Our Cobalt Cloud capability continues to be market leading.
INFY_Q1_July_22_91 | We have 360 technology and domain
INFY_Q1_July_22_92 | solutions, five of our assets have over 50 clients each, we have 150 industry focused solutions, 20
INFY_Q1_July_22_93 | Infosys living labs, 50 experimentation programs, and 60,000 knowledge assets.
INFY_Q1_July_22_94 | Our ‘One Infosys’ approach is serving us well to bring the best of Infosys and service to our client’s
INFY_Q1_July_22_95 | needs.
INFY_Q1_July_22_96 | Earlier this month we announced the acquisition of BASE Life Sciences, a Denmark-based
INFY_Q1_July_22_97 | technology and consulting firm in the life sciences industry.
INFY_Q1_July_22_98 | BASE brings to Infosys domain
INFY_Q1_July_22_99 | expertise in medical, digital marketing, clinical and regulatory areas.
INFY_Q1_July_22_100 | With our strong growth in Q1 and our current outlook on demand opportunity and pipeline, we
INFY_Q1_July_22_101 | increase our revenue growth guidance which was at 13% to 15%, now to 14% to 16% for the full
INFY_Q1_July_22_102 | year.
INFY_Q1_July_22_103 | We keep our margin guidance at 21% to 23%.
INFY_Q1_July_22_104 | With the increased cost environment, we will
INFY_Q1_July_22_105 | be at the lower end of this margin guidance.
INFY_Q1_July_22_106 | Thank you and with that let me hand it over to Nilanjan for his update.
INFY_Q1_July_22_107 | Nilanjan Roy
INFY_Q1_July_22_108 | morning.
INFY_Q1_July_22_109 | We had a strong start of FY2023 with a robust year-on-year growth of 21.4% in constant currency.
INFY_Q1_July_22_110 | All our business segments and major geos recorded double-digit growth with manufacturing,
INFY_Q1_July_22_111 | communication and EURS along with Europe region recording 25% plus growth.
INFY_Q1_July_22_112 | Sequentially, revenue growth was 5.5% which was led by a healthy volume growth and some RPP
INFY_Q1_July_22_113 | benefits.
INFY_Q1_July_22_114 | Digital revenues now constitute 61% of total and grew by 37.5% in constant currency.
INFY_Q1_July_22_115 | Client metrics were strong with increase in client counts across revenue buckets compared to the
INFY_Q1_July_22_116 | previous year.
INFY_Q1_July_22_117 | Number of $50 mn clients increased by 10 to 69 creating the next potential
INFY_Q1_July_22_118 | centurions.
INFY_Q1_July_22_119 | Number of $100 mn clients increased by 4 to 38 and the number of $200 mn clients
INFY_Q1_July_22_120 | have grown by 6 in the last one year.
INFY_Q1_July_22_121 | This reflects our ability to deepen mining across our large
INFY_Q1_July_22_122 | clients.
INFY_Q1_July_22_123 | We had another quarter of strong employee additions with over 21,000 to cater to the growth
INFY_Q1_July_22_124 | opportunities ahead.
INFY_Q1_July_22_125 | The fresher addition was particularly strong which resulted in drop in
INFY_Q1_July_22_126 | utilization to 84.7%.
INFY_Q1_July_22_127 | Onsite effort mix inched up to 24.3%.
INFY_Q1_July_22_128 | Voluntary LTM attrition increased
INFY_Q1_July_22_129 | marginally to 28.4%.
INFY_Q1_July_22_130 | Quarterly annualized attrition declined another by 1% from Q4 levels despite
INFY_Q1_July_22_131 | Q1 usually seeing an uptick due to seasonality.
INFY_Q1_July_22_132 | As announced earlier we have given competitive salary increases for majority of employees from
INFY_Q1_July_22_133 | April.
INFY_Q1_July_22_134 | Given the supply tightness and high prevailing inflation, salary increases across all geos this
INFY_Q1_July_22_135 | year are higher than historical levels.
INFY_Q1_July_22_136 | The increases vary based on job levels and performance of
INFY_Q1_July_22_137 | employees with top performers getting double-digit hikes.
INFY_Q1_July_22_138 | Salary hike for other employees is being
INFY_Q1_July_22_139 | done effective 1st July.
INFY_Q1_July_22_140 | Q1 margin stood at 20%, a drop of 150 basis points versus previous quarter.
INFY_Q1_July_22_141 | The major
INFY_Q1_July_22_142 | components of the sequential margin movements were as below:
INFY_Q1_July_22_143 | Headwinds of
INFY_Q1_July_22_144 | -
INFY_Q1_July_22_145 | 1.6% due to salary increases,
INFY_Q1_July_22_146 | -
INFY_Q1_July_22_147 | 0.4% due to drop in utilization as we create capacity for future,
INFY_Q1_July_22_148 | -
INFY_Q1_July_22_149 | 0.3% due to increases in subcon, third party and other costs.
INFY_Q1_July_22_150 | These were offset by tailwinds of
INFY_Q1_July_22_151 | -
INFY_Q1_July_22_152 | 0.5% due to increase in RPP from higher working days, a reversal of a client's contractual
INFY_Q1_July_22_153 | provision in our FS segment partially offset by discounts.
INFY_Q1_July_22_154 | -
INFY_Q1_July_22_155 | 0.3% benefits from rupee depreciation benefits partially offset by cross-currency
INFY_Q1_July_22_156 | headwinds.
INFY_Q1_July_22_157 | Q1 EPS grew by 4.4% in rupee terms on a year-on-year basis.
INFY_Q1_July_22_158 | Our balance sheet continues to be strong and debt-free.
INFY_Q1_July_22_159 | Consolidated cash and investments were
INFY_Q1_July_22_160 | 4.4 bn at the end of the quarter after returning more than $850 mn to the shareholders through
INFY_Q1_July_22_161 | dividends.
INFY_Q1_July_22_162 | This has led to increase in ROE to 31%.
INFY_Q1_July_22_163 | Free cash flow for the quarter was $656 mn which is a conversion of 95% of net profits.
INFY_Q1_July_22_164 | Yield on
INFY_Q1_July_22_165 | cash balance remained stable at 5.3% in Q1.
INFY_Q1_July_22_166 | DSO declined by 4 days sequentially to 63.
INFY_Q1_July_22_167 | DSO
INFY_Q1_July_22_168 | including net unbilled was 82 days an increase of 1 day versus Q4.
INFY_Q1_July_22_169 | Coming to segmental performance:
INFY_Q1_July_22_170 | We signed 19 large deals in Q1 with a TCV of $1.69 bn.
INFY_Q1_July_22_171 | This comprises of the 50% net new.
INFY_Q1_July_22_172 | We
INFY_Q1_July_22_173 | have signed 5 large deals in retail and CPG, 4 in Hi-Tech, 3 each in financial services and energy
INFY_Q1_July_22_174 | utility resources and services and 2 each in manufacturing and communications verticals.
INFY_Q1_July_22_175 | Region-
INFY_Q1_July_22_176 | wise 15 were in Americas and 2 each in Europe and RoW.
INFY_Q1_July_22_177 | In Financial Services clients continue to focus on digital customer experience, contact center
INFY_Q1_July_22_178 | transformation and virtual branches aimed at improving customer engagement.
INFY_Q1_July_22_179 | While the order
INFY_Q1_July_22_180 | pipeline remains strong across regions, we are seeing some slowness in mortgage industry and
INFY_Q1_July_22_181 | lending business due to increased interest rates.
INFY_Q1_July_22_182 | We remain watchful of impacts of emerging
INFY_Q1_July_22_183 | global developments on budget for clients.
INFY_Q1_July_22_184 | In the retail segment the pace of Digital transformation large-scale cost breakouts and improving
INFY_Q1_July_22_185 | business resilience continues to be on the rise across various subsegments.
INFY_Q1_July_22_186 | Our focus on
INFY_Q1_July_22_187 | proactive engagement has helped us in creating a robust pipeline.
INFY_Q1_July_22_188 | Clients are monitoring the
INFY_Q1_July_22_189 | emerging macro situation and the impact of that on their business.
INFY_Q1_July_22_190 | In communications segment clients are focused on rapid digitization and protecting their assets
INFY_Q1_July_22_191 | from cyber threats, we see enormous potential to partner with them both on the digital
INFY_Q1_July_22_192 | transformation agenda as well as in the cost takeout front.
INFY_Q1_July_22_193 | Deal pipeline in energies, utilities, resources and services segments comprises of opportunities
INFY_Q1_July_22_194 | around cost takeouts, vendor consolidation, digital transformation, cloud-led transformation and
INFY_Q1_July_22_195 | asset monetization across industry sub-verticals.
INFY_Q1_July_22_196 | Manufacturing segment is seeing broad-based growth across geographies and industry sub-
INFY_Q1_July_22_197 | verticals.
INFY_Q1_July_22_198 | The sector has seen traction across energy, IoT, supply chain, cloud ERP and
INFY_Q1_July_22_199 | accelerated cloud adoption.
INFY_Q1_July_22_200 | In Q1 we have been ranked as leader in 9 ratings in the areas of Oracle Cloud, SAP S/4HANA,
INFY_Q1_July_22_201 | Public Cloud, Industry 4.0, employee experience and automation services.
INFY_Q1_July_22_202 | In this supply constrained environment, we continue to invest in our growth momentum which
INFY_Q1_July_22_203 | requires us to hire premium, skill talent while simultaneously investing in existing employees
INFY_Q1_July_22_204 | through competitive compensation increases across geos.
INFY_Q1_July_22_205 | Additionally, we expect normalization of
INFY_Q1_July_22_206 | costs like travel and other overheads.
INFY_Q1_July_22_207 | We will continue to focus on various cost optimization
INFY_Q1_July_22_208 | measures including rationalization of subcons, flattening of the pyramid, increasing automation,
INFY_Q1_July_22_209 | reducing onsite mix and increasing pricing.
INFY_Q1_July_22_210 | Whilst we retain our operating margin guidance of 21% to 23%, we expect to be at the bottom end
INFY_Q1_July_22_211 | of the range.
INFY_Q1_July_22_212 | The revenue guidance for the year has been revised to 14% to 16% from 13% to
INFY_Q1_July_22_213 | 15% earlier.
INFY_Q1_July_22_214 | With that we can open the call for questions.
INFY_Q1_July_22_215 | Moderator
INFY_Q1_July_22_216 | Thank you very much.
INFY_Q1_July_22_217 | Ladies and gentlemen we will now begin the question and answer session.
INFY_Q1_July_22_218 | Our first question is from the line of Surendra Goyal from Citi Group.
INFY_Q1_July_22_219 | Please go ahead.
INFY_Q1_July_22_220 | Surendra Goyal
INFY_Q1_July_22_221 | Thanks for that.
INFY_Q1_July_22_222 | Good morning just a couple of questions from my side.
INFY_Q1_July_22_223 | Firstly a clarification.
INFY_Q1_July_22_224 | Nilanjan, I believe you said that the contractual provision was largely offset by discounts.
INFY_Q1_July_22_225 | Could
INFY_Q1_July_22_226 | you please clarify a bit.
INFY_Q1_July_22_227 | Did you mean discounts to the same client or discounts in general?
INFY_Q1_July_22_228 | Curious because on one hand we are talking of a strong demand environment and potential price
INFY_Q1_July_22_229 | hikes and at the same time we are also talking of discounts?
INFY_Q1_July_22_230 | Nilanjan Roy
INFY_Q1_July_22_231 | The comment was 0.5% increase in RPP is a combination of three to four elements – higher
INFY_Q1_July_22_232 | working days, the client contraction provision reversal benefits partially offset by discount.
INFY_Q1_July_22_233 | So it is
INFY_Q1_July_22_234 | not a direct linkage of discounts and client contractual provisions.
INFY_Q1_July_22_235 | It is not to the same client.
INFY_Q1_July_22_236 | These are generic discounts and these automatically keep on coming.
INFY_Q1_July_22_237 | But, like I said discounts
INFY_Q1_July_22_238 | have come down as we have started negotiating with our clients in terms of pricing but that is the
INFY_Q1_July_22_239 | net impact of all these.
INFY_Q1_July_22_240 | Surendra Goyal
INFY_Q1_July_22_241 | Just another question on margin down 360 bps year-over-year, operating profit growth Y-o-Y is
INFY_Q1_July_22_242 | worse in historical trends despite all the strong demand and growth we are talking about.
INFY_Q1_July_22_243 | So if you
INFY_Q1_July_22_244 | just think about this 360 basis point decline, how much of that is really investment which you think
INFY_Q1_July_22_245 | can be recouped as we go forward from here?
INFY_Q1_July_22_246 | Nilanjan Roy
INFY_Q1_July_22_247 | When we were 360 bps down, we knew we were having some benefits in a way - our utilization
INFY_Q1_July_22_248 | was very high it was 88%, we have never operated at that level before, the benefits of travel etc.
INFY_Q1_July_22_249 | Now we are seeing more and more of that has been coming back.
INFY_Q1_July_22_250 | So that is something which we
INFY_Q1_July_22_251 | were well aware of in last year.
INFY_Q1_July_22_252 | But as we see the demand volume ahead, I think we are very clear
INFY_Q1_July_22_253 | that in terms of our ability to support this demand first we have to hire, we have to pay
INFY_Q1_July_22_254 | competitively.
INFY_Q1_July_22_255 | So we actually did two wage hikes in calendar year 2021 and now this year we have
INFY_Q1_July_22_256 | already rolled out in April.
INFY_Q1_July_22_257 | So within one and a half year we have done three substantial CRs and
INFY_Q1_July_22_258 | actually in September last year also we did a skill based increase.
INFY_Q1_July_22_259 | So we have been continuously
INFY_Q1_July_22_260 | investing behind that and we know that to capitalize this demand we have to pay for premium
INFY_Q1_July_22_261 | skills.
INFY_Q1_July_22_262 | We have to go behind the volume.
INFY_Q1_July_22_263 | Comparing subcontractor costs - perhaps from an
INFY_Q1_July_22_264 | industry leading 6.5% position we are closer to 11% now, but again these are something we know
INFY_Q1_July_22_265 | over a period of time we have a lot of optimization levers.
INFY_Q1_July_22_266 | We do not want to leave a five-year
INFY_Q1_July_22_267 | demand on the table because of short-term cost pressures and these we can optimize over this
INFY_Q1_July_22_268 | year and over the future as well.
INFY_Q1_July_22_269 | So in that sense we are quite confident and that is why we have
INFY_Q1_July_22_270 | talked about 21% to 23% range and we will be at the bottom end of the range.
INFY_Q1_July_22_271 | Of course if we are
INFY_Q1_July_22_272 | 20% today, we will see that improvement as the year progresses.
INFY_Q1_July_22_273 | Surendra Goyal
INFY_Q1_July_22_274 | Sure thanks for that I will get back in the queue.
INFY_Q1_July_22_275 | Moderator
INFY_Q1_July_22_276 | ahead.
INFY_Q1_July_22_277 | Moshe Katri
INFY_Q1_July_22_278 | Thanks.
INFY_Q1_July_22_279 | Spectacular numbers especially on revenues side of the business.
INFY_Q1_July_22_280 | Just a follow-up to the
INFY_Q1_July_22_281 | last topic or question about margins.
INFY_Q1_July_22_282 | We are getting a lot of pushbacks on that.
INFY_Q1_July_22_283 | From your
INFY_Q1_July_22_284 | perspective looking at the levers that you highlighted, what do you think is the biggest potential
INFY_Q1_July_22_285 | lever here for you to be able to catch up to the margin range that you mentioned and then I have a
INFY_Q1_July_22_286 | follow-up after that.
INFY_Q1_July_22_287 | Nilanjan Roy
INFY_Q1_July_22_288 | Firstly if you see, how our margin profile, has changed, so one, of course has been this utilization
INFY_Q1_July_22_289 | and in fact, 21,000+ net adds during the quarter which is well above our volumes and that is to
INFY_Q1_July_22_290 | create the buffer.
INFY_Q1_July_22_291 | So when we put in freshers, we train them and then over a period of time, we are
INFY_Q1_July_22_292 | able to put them into production.
INFY_Q1_July_22_293 | So you cannot just have higher freshers and expect them to start
INFY_Q1_July_22_294 | contributing from day 1.
INFY_Q1_July_22_295 | We are very vigilant about that.
INFY_Q1_July_22_296 | They go through mandatory training in
INFY_Q1_July_22_297 | Myosre, and then we put them into projects.
INFY_Q1_July_22_298 | So that is one big part of where we think we can start
INFY_Q1_July_22_299 | improving.
INFY_Q1_July_22_300 | As the hiring catches up automatically, you will see the stabilization of subcon costs,
INFY_Q1_July_22_301 | which as percentage of revenue, you are seeing this increase every quarter.
INFY_Q1_July_22_302 | While we have seen it
INFY_Q1_July_22_303 | flattening out and over the future, as we got our recruitments done and we are able to hire fresher,
INFY_Q1_July_22_304 | we should see benefits coming out of that.
INFY_Q1_July_22_305 | Pyramid benefits will continue to happen for us.
INFY_Q1_July_22_306 | While we are seeing some adverse impact from
INFY_Q1_July_22_307 | the onsite movement, this is largely as travel overseas starts, but we think this is more of a
INFY_Q1_July_22_308 | aberration in terms of uptick, because the inherent story of taking cost out and having a more
INFY_Q1_July_22_309 | offshore mix in the entire cost optimization will come into benefits especially in this environment
INFY_Q1_July_22_310 | where cost take out is becoming a big theme across our clients.
INFY_Q1_July_22_311 | So, we know we can have
INFY_Q1_July_22_312 | multiple areas.
INFY_Q1_July_22_313 | Pricing is another thing, which we have been talking about.
INFY_Q1_July_22_314 | We have seen less impact of
INFY_Q1_July_22_315 | discounts, etc., we are going back to clients in terms of COLA adjustments at the time of renewals.
INFY_Q1_July_22_316 | Now these are much more longer-term impact decisions, but I think at least the conversations
INFY_Q1_July_22_317 | have started in right direction across all the segments and you can hear similar commentary
INFY_Q1_July_22_318 | across.
INFY_Q1_July_22_319 | So I think these are the areas we continue to focus on and are something we have done
INFY_Q1_July_22_320 | over the years.
INFY_Q1_July_22_321 | We continue to be very forceful in terms of our cost efficiency exercises.
INFY_Q1_July_22_322 | Moshe Katri
INFY_Q1_July_22_323 | Just as a follow-up, just remind us what is the sensitivity for margins versus utilization rates i.e.,
INFY_Q1_July_22_324 | 100 basis points expansion in utilization rates what does it mean to margins in terms of sensitivity?
INFY_Q1_July_22_325 | Thank you.
INFY_Q1_July_22_326 | Nilanjan Roy
INFY_Q1_July_22_327 | Yes, so I think it depends on by which levels we see utilization.
INFY_Q1_July_22_328 | So, it is quite complicated if you
INFY_Q1_July_22_329 | have a different utilization in onsite, different in offshore and then the impact of the freshers in the
INFY_Q1_July_22_330 | pyramid in that utilization.
INFY_Q1_July_22_331 | So, it is a bit complicated how the mix changes.
INFY_Q1_July_22_332 | I just cannot give you off
INFY_Q1_July_22_333 | the cuff number of what 1% will lead to, but to give you the impact in this quarter, 40 basis points
INFY_Q1_July_22_334 | because of utilization on margins.
INFY_Q1_July_22_335 | Moshe Katri
INFY_Q1_July_22_336 | All right thanks for the color.
INFY_Q1_July_22_337 | Moderator
INFY_Q1_July_22_338 | ahead.
INFY_Q1_July_22_339 | Kumar Rakesh
INFY_Q1_July_22_340 | Good morning.
INFY_Q1_July_22_341 | Thank you for taking my question.
INFY_Q1_July_22_342 | My first question was continuation on the margin
INFY_Q1_July_22_343 | side.
INFY_Q1_July_22_344 | At the end of the fourth quarter, and not just Infosys but across the industry what the
INFY_Q1_July_22_345 | management commentary had indicated compared to that the margin performance appears to be
INFY_Q1_July_22_346 | a sharper decline.
INFY_Q1_July_22_347 | Now Salil what do you think could be the reason behind that?
INFY_Q1_July_22_348 | Is it driven by
INFY_Q1_July_22_349 | higher than expected demand and higher use of subcontracting than what you are planning early
INFY_Q1_July_22_350 | or is it more supply side driven that the fresher was higher than what we had planned for through
INFY_Q1_July_22_351 | the quarter?
INFY_Q1_July_22_352 | Nilanjan Roy
INFY_Q1_July_22_353 | Are you talking about us in particular about the industry?
INFY_Q1_July_22_354 | Kumar Rakesh
INFY_Q1_July_22_355 | Anything whatever you could give us color on because the trend has been very similar to yourself.
INFY_Q1_July_22_356 | Nilanjan Roy
INFY_Q1_July_22_357 | Yes, so we do not operate in a vacuum and this industry also does not operate in a vacuum.
INFY_Q1_July_22_358 | The
INFY_Q1_July_22_359 | attrition trends are pretty much similar across industries but the good news, like you said is that
INFY_Q1_July_22_360 | attrition is coming down.
INFY_Q1_July_22_361 | Our quarter attrition figure is actually below our LTM figures and as Salil
INFY_Q1_July_22_362 | said we are 1% down on a sequential basis, we were 5% down in the previous quarter and we
INFY_Q1_July_22_363 | were flat the earlier quarter.
INFY_Q1_July_22_364 | The reported LTM is more of a catch-up effect and in that sense you
INFY_Q1_July_22_365 | will see stabilization.
INFY_Q1_July_22_366 | The freshers will start coming in and getting permeated.
INFY_Q1_July_22_367 | So that benefit in a
INFY_Q1_July_22_368 | way should start creeping into the cost structure because at the end of the day if you are putting
INFY_Q1_July_22_369 | freshers we have less attrition, the fresh hikes which you have to give for lateral hirers should
INFY_Q1_July_22_370 | come down, joining bonuses impact should come down.
INFY_Q1_July_22_371 | So these are the things which can play in
INFY_Q1_July_22_372 | our favour.
INFY_Q1_July_22_373 | You have seen these numbers of decline pretty much across industries.
INFY_Q1_July_22_374 | I think we
INFY_Q1_July_22_375 | have a very, very sharp cost optimization program in a way which will go and offset these
INFY_Q1_July_22_376 | headwinds.
INFY_Q1_July_22_377 | Kumar Rakesh
INFY_Q1_July_22_378 | Got it.
INFY_Q1_July_22_379 | So it appears the supply side pressure was higher than what we were earlier expecting.
INFY_Q1_July_22_380 | My
INFY_Q1_July_22_381 | second question was on the acquisition.
INFY_Q1_July_22_382 | Nilanjan Roy
INFY_Q1_July_22_383 | I think there is no question about that.
INFY_Q1_July_22_384 | You see our attrition and the net adds, the gross hiring has
INFY_Q1_July_22_385 | been very well and of course in that sense in terms of our stretches and all we have to offer.
INFY_Q1_July_22_386 | So it
INFY_Q1_July_22_387 | is an overall industry issues led from the demand side.
INFY_Q1_July_22_388 | Kumar Rakesh
INFY_Q1_July_22_389 | Thanks.
INFY_Q1_July_22_390 | My second question was on BASE acquisition.
INFY_Q1_July_22_391 | So we already have a pretty strong life
INFY_Q1_July_22_392 | sciences practice with more than $1 bn scale, so what exactly we are looking and targeting to get
INFY_Q1_July_22_393 | help from this acquisition?
INFY_Q1_July_22_394 | Salil Parekh
INFY_Q1_July_22_395 | On BASE there are multiple things.
INFY_Q1_July_22_396 | This is a business which is very high end in the life sciences
INFY_Q1_July_22_397 | area.
INFY_Q1_July_22_398 | When we launched our strategy a few weeks ago just at the start of the quarter we had
INFY_Q1_July_22_399 | shared also a new focus or an expanded focus on Europe.
INFY_Q1_July_22_400 | Denmark for us is a very strategic
INFY_Q1_July_22_401 | market, the whole Scandinavian market is a very strategic market for us.
INFY_Q1_July_22_402 | So that is the second
INFY_Q1_July_22_403 | area that it benefits us.
INFY_Q1_July_22_404 | We also see clients are using the capabilities of BASE as a starting point
INFY_Q1_July_22_405 | and then that leads to large technology transformation, digital transformation and that helps us
INFY_Q1_July_22_406 | overall in terms of scaling up that segment.
INFY_Q1_July_22_407 | That is a segment which we feel is a strong segment
INFY_Q1_July_22_408 | for the future and where in our view underweight in percentage terms.
INFY_Q1_July_22_409 | So we want to enhance that
INFY_Q1_July_22_410 | with these existing capabilities.
INFY_Q1_July_22_411 | Kumar Rakesh
INFY_Q1_July_22_412 | Got it thanks a lot for that Salil.
INFY_Q1_July_22_413 | Moderator
INFY_Q1_July_22_414 | Keith Bachman
INFY_Q1_July_22_415 | Thank you very much.
INFY_Q1_July_22_416 | My first question is I wanted to get your views on how you think wage
INFY_Q1_July_22_417 | inflation will impact the balance of the year.
INFY_Q1_July_22_418 | And what are the tensions on that to your margin
INFY_Q1_July_22_419 | model?
INFY_Q1_July_22_420 | So you mentioned that attrition has in fact moved lower, do you think attrition continues to
INFY_Q1_July_22_421 | move lower and how do you think wage inflation will unfold over the next about three, four quarters
INFY_Q1_July_22_422 | and be a force in the gross margin equation and then will follow up?
INFY_Q1_July_22_423 | Nilanjan Roy
INFY_Q1_July_22_424 | I think like we started last year we were very clear that we have to be competitive in the market.
INFY_Q1_July_22_425 | So, we did the first hike in January of 2021 then we did the next hike in July of 2021 then we did a
INFY_Q1_July_22_426 | follow-up on our talent in September of 2021.
INFY_Q1_July_22_427 | In a way, we have not waited one year we have
INFY_Q1_July_22_428 | actually gone ahead and done our majority of our wage hike from 1st of April this year.
INFY_Q1_July_22_429 | Increase
INFY_Q1_July_22_430 | for middle to higher level to senior force will happen in July but not the same margin impact of
INFY_Q1_July_22_431 | quarter one which was very broad based.
INFY_Q1_July_22_432 | Other than that, I think these are quite competitive and of course if you see in the mix, we also get
INFY_Q1_July_22_433 | a lot of laterals where there is a hidden cost of hiring because they come at stretches.
INFY_Q1_July_22_434 | So in a way,
INFY_Q1_July_22_435 | your overall weighted average compensation in any case is going up across.
INFY_Q1_July_22_436 | I think overall this is a
INFY_Q1_July_22_437 | very competitive hike.
INFY_Q1_July_22_438 | In India it is more like high single digits and in overseas geos because of
INFY_Q1_July_22_439 | high wage inflation across we have given very competitive hikes.
