INFY_Q4_April_22_1 | Moderator
INFY_Q4_April_22_135 | are helping clients across engineering, IoT, supply chain, cloud ERP and digital
INFY_Q4_April_22_136 | transformation areas.
INFY_Q4_April_22_137 | Hi-Tech growth accelerated further to 20.9% in constant currency.
INFY_Q4_April_22_138 | We have seen an
INFY_Q4_April_22_139 | increase in deals based on edge computing, digital marketing and commerce.
INFY_Q4_April_22_140 | Cybersecurity is another area of focus for clients due to increased threat perception.
INFY_Q4_April_22_141 | Life Sciences vertical grew by 16.2% in constant currency.
INFY_Q4_April_22_142 | Clients are driving digital
INFY_Q4_April_22_143 | transformation of clinical trials to reduce cycle times through direct data capture, digital
INFY_Q4_April_22_144 | patient engagement to accelerate drug discovery, and reducing costs.
INFY_Q4_April_22_145 | In the last quarter, we were rated as a leader in 11 ratings in the areas of cloud services,
INFY_Q4_April_22_146 | big data and analytics, IoT and engineering, modernization and artificial intelligence.
INFY_Q4_April_22_147 | We announced the acquisition of oddity, a Germany-based digital marketing and
INFY_Q4_April_22_148 | experience and e-commerce agency.
INFY_Q4_April_22_149 | Together with Wongdoody, this will further
INFY_Q4_April_22_150 | strengthen our creative branding and experience design capabilities.
INFY_Q4_April_22_151 | With respect to capital allocation, the Board has proposed a final dividend of Rs.16 per
INFY_Q4_April_22_152 | share, taking the total dividend for financial year 2022 to Rs.31 per share, an increase of
INFY_Q4_April_22_153 | 14.8% over the past year.
INFY_Q4_April_22_154 | I want to express Infosys' support for all the people impacted by the humanitarian crisis in
INFY_Q4_April_22_155 | Europe.
INFY_Q4_April_22_156 | The company advocates for peace between Russia and Ukraine.
INFY_Q4_April_22_157 | While Infosys does not have any active relationships with local Russian enterprises.
INFY_Q4_April_22_158 | We
INFY_Q4_April_22_159 | have a small team of less than 100 employees based in Russia, which service a few of our
INFY_Q4_April_22_160 | global clients.
INFY_Q4_April_22_161 | In light of the prevailing situation, we made a decision to transition these
INFY_Q4_April_22_162 | services from Russia to our other global delivery centers.
INFY_Q4_April_22_163 | To support this humanitarian assistance initiatives in the region, Infosys has committed $1
INFY_Q4_April_22_164 | million towards Ukrainian relief efforts and is launching a program to digitally reskill up to
INFY_Q4_April_22_165 | 25,000 individuals.
INFY_Q4_April_22_166 | With that, let me hand it over to Nilanjan for his update.
INFY_Q4_April_22_167 | Nilanjan Roy
INFY_Q4_April_22_168 | We navigated yet another year of a challenging environment with strong growth of 19.7%
INFY_Q4_April_22_169 | in constant currency, which is highest in a decade.
INFY_Q4_April_22_170 | The incremental revenue added this
INFY_Q4_April_22_171 | year was higher than the incremental revenue added in the previous 3 years together.
INFY_Q4_April_22_172 | This was backed by broad-based growth across segments and robust growth in our digital
INFY_Q4_April_22_173 | portfolio at 41.2% in constant currency.
INFY_Q4_April_22_174 | Operating margin for the fiscal stood at 23.0%, which was at the midpoint of our guidance
INFY_Q4_April_22_175 | band of 22% to 24%.
INFY_Q4_April_22_176 | In the backdrop of various supply side pressures, we rolled out
INFY_Q4_April_22_177 | various measures to reduce attrition – higher compensation increases, higher promotions,
INFY_Q4_April_22_178 | skill-based interventions, etc.
INFY_Q4_April_22_179 | in addition to higher subcons.
INFY_Q4_April_22_180 | Free cash flows for FY2022 crossed $3 bn.
INFY_Q4_April_22_181 | DSO reduced by 4 days to 67 days.
INFY_Q4_April_22_182 | Capex
INFY_Q4_April_22_183 | increased marginally to $290 million on the back of continued focus on optimizing the infra
INFY_Q4_April_22_184 | creation-related spend.
INFY_Q4_April_22_185 | Consequently, FCF conversion as a percentage of net profit was
INFY_Q4_April_22_186 | 103% for FY2022.
INFY_Q4_April_22_187 | FY2022 EPS grew by 14.3% in dollar terms and 15.2% in INR terms.
INFY_Q4_April_22_188 | Return on equity at
INFY_Q4_April_22_189 | 29.1% improved by 1.7% over the prior year.
INFY_Q4_April_22_190 | Coming to Q4 performance -
INFY_Q4_April_22_191 | Revenues grew by 20.6% YoY in constant currency and 1.2% sequentially.
INFY_Q4_April_22_192 | Growth was
INFY_Q4_April_22_193 | broad-based across verticals and geos and was in double digits.
INFY_Q4_April_22_194 | Although volume growth remained healthy in Q4, revenue growth in Q4 was impacted by
INFY_Q4_April_22_195 | usual seasonality, COVID impact during the early part of the quarter and the client related
INFY_Q4_April_22_196 | contractual provision, which we expect to recover in the future.
INFY_Q4_April_22_197 | This also impacted Q4
INFY_Q4_April_22_198 | margins.
INFY_Q4_April_22_199 | Mining of large clients was extremely strong in FY2022.
INFY_Q4_April_22_200 | $100 mn client count increased to
INFY_Q4_April_22_201 | 38 compared to 32 in FY2021.
INFY_Q4_April_22_202 | We had 12 clients giving $200 mn annual revenues
INFY_Q4_April_22_203 | compared to 7 in FY2021.
INFY_Q4_April_22_204 | We have added ~22,000 net employees, including trainees during the quarter, the highest
INFY_Q4_April_22_205 | ever in the company's history, as we made headroom to capture the robust demand
INFY_Q4_April_22_206 | environment ahead.
INFY_Q4_April_22_207 | Consequently, utilization in Q4 declined to 87.0% while on-site effort
INFY_Q4_April_22_208 | mix inched up to 24.0%.
INFY_Q4_April_22_209 | Voluntary LTM attrition increased to 27.7%.
INFY_Q4_April_22_210 | While LTM attrition
INFY_Q4_April_22_211 | continues to increase due to the tail effect, quarterly annualized attrition saw a decline of
INFY_Q4_April_22_212 | approximately 5% after flattening in the previous quarter.
INFY_Q4_April_22_213 | Q4 margins stood at 21.5%, a drop of 200 basis points versus previous quarter.
INFY_Q4_April_22_214 | The
INFY_Q4_April_22_215 | major components of the sequential margin movement were as follows:
INFY_Q4_April_22_216 | -
INFY_Q4_April_22_217 | 1.6% impact due to lower calendar working days, client contractual provision as
INFY_Q4_April_22_218 | explained above and other pricing puts and takes,
INFY_Q4_April_22_219 | -
INFY_Q4_April_22_220 | 0.6% impact due to lower utilization as we create capacity for the future,
INFY_Q4_April_22_221 | -
INFY_Q4_April_22_222 | 1% due to higher visa costs, third-party costs and other one-offs, which we
INFY_Q4_April_22_223 | benefited in Q3,
INFY_Q4_April_22_224 | and these were offset by
INFY_Q4_April_22_225 | -
INFY_Q4_April_22_226 | approximately 1.1% benefit due to salary-related benefits, including lower working
INFY_Q4_April_22_227 | days, leave costs and others.
INFY_Q4_April_22_228 | Q4 EPS grew by 9.2% in dollar terms and 13.4% in rupee terms on a YoY basis.
INFY_Q4_April_22_229 | Our balance sheet remained strong and debt-free.
INFY_Q4_April_22_230 | Consolidated cash and equivalents
INFY_Q4_April_22_231 | increased further to $4.9 bn at the end of the quarter.
INFY_Q4_April_22_232 | Free cash flow for the quarter was
INFY_Q4_April_22_233 | healthy at $761 million, and yield on cash balance remained stable at 5.29% in Q4.
INFY_Q4_April_22_234 | In line with our capital allocation policy, the Board has recommended a final dividend of
INFY_Q4_April_22_235 | Rs.16 per share, which will result in a total dividend of Rs.31 per share for FY2022 versus
INFY_Q4_April_22_236 | Rs.27 per share for FY2021, an increase of 14.8% per share for the year.
INFY_Q4_April_22_237 | Including the
INFY_Q4_April_22_238 | final dividend and recently concluded buyback over the last 3 years, we have returned
INFY_Q4_April_22_239 | 73% of FCF to shareholders under our current capital allocation policy.
INFY_Q4_April_22_240 | Our accelerated investments in the last few years in strengthening our digital footprint,
INFY_Q4_April_22_241 | enhancing large deal capabilities, localization, talent building has enabled us to gain
INFY_Q4_April_22_242 | consistent market share.
INFY_Q4_April_22_243 | With the acceleration of digital disruptions across industries, we
INFY_Q4_April_22_244 | see further scope to engage more closely with clients and capitalize on the expanding
INFY_Q4_April_22_245 | market opportunities.
INFY_Q4_April_22_246 | We have identified areas of investments, including doubling down our focus on digital
INFY_Q4_April_22_247 | portfolio, scaling our cloud offerings and further enhancing our capabilities in emerging
INFY_Q4_April_22_248 | technologies.
INFY_Q4_April_22_249 | We also remain committed to offer a compelling value proposition to
INFY_Q4_April_22_250 | employees through reskilling, incentivization and a holistic career growth.
INFY_Q4_April_22_251 | We plan to
INFY_Q4_April_22_252 | neutralize the impact of some of these through aggressive cost optimization and value-led
INFY_Q4_April_22_253 | pricing driven by service and brand differentiation.
INFY_Q4_April_22_254 | This, along with post-pandemic
INFY_Q4_April_22_255 | normalization of some expenses, like travel, facilities, etc, is reflected in the revised
INFY_Q4_April_22_256 | margin guidance for FY2023 of 21% to 23%.
INFY_Q4_April_22_257 | With the pandemic hopefully behind us, we hope to see many of you in person over the
INFY_Q4_April_22_258 | next few months.
INFY_Q4_April_22_259 | With that, we can open the call up for questions.
INFY_Q4_April_22_260 | Moderator
INFY_Q4_April_22_261 | Thank you very much.
INFY_Q4_April_22_262 | We will now begin the question-and-answer session.
INFY_Q4_April_22_263 | The first
INFY_Q4_April_22_264 | question is from Ankur Rudra from JP Morgan.
INFY_Q4_April_22_265 | Please go ahead.
INFY_Q4_April_22_266 | Ankur Rudra
INFY_Q4_April_22_267 | The first question is on the revenue guidance.
INFY_Q4_April_22_268 | Last year at this time Salil, the revenue
INFY_Q4_April_22_269 | guidance was a bit low at the beginning of FY2022 and at that time I would say at least the
INFY_Q4_April_22_270 | order book was a lot stronger, you had a mega deal in the order book and perhaps a
INFY_Q4_April_22_271 | stronger exit rate.
INFY_Q4_April_22_272 | So curious to know, what gives the confidence of giving a slightly higher
INFY_Q4_April_22_273 | guidance at the beginning of this year, given, may be a more volatile macro situation.
INFY_Q4_April_22_274 | Salil Parekh
INFY_Q4_April_22_275 | Hi Ankur thanks for your question.
INFY_Q4_April_22_276 | What we see today is the demand environment from
INFY_Q4_April_22_277 | our client base is strong.
INFY_Q4_April_22_278 | We have for the year $9.5 bn in large deals, 40% net new, for the
INFY_Q4_April_22_279 | quarter $2.3 bn, 48% net new and a strong expansion in dimensions relating to new client
INFY_Q4_April_22_280 | work and relating to actual expansion across different strata.
INFY_Q4_April_22_281 | Given all those factors, we
INFY_Q4_April_22_282 | came to view that we could see growth in the range of 13% to 15% for this financial year.
INFY_Q4_April_22_283 | Ankur Rudra
INFY_Q4_April_22_284 | Understood this, does this bake in any kind of reversal that you alluded to from the client
INFY_Q4_April_22_285 | situation in fourth quarter?
INFY_Q4_April_22_286 | Salil Parekh
INFY_Q4_April_22_287 | The client situation of the fourth quarter will reverse over some period.
INFY_Q4_April_22_288 | We have not
INFY_Q4_April_22_289 | specified that.
INFY_Q4_April_22_290 | That reversal in any case is not such that will make a huge impact in the full
INFY_Q4_April_22_291 | year.
INFY_Q4_April_22_292 | We see this coming really from the strong demand that we are seeing within the
INFY_Q4_April_22_293 | market from what we are seeing in the existing base of business that we have, the
INFY_Q4_April_22_294 | expansion within clients that we are seeing and some of the new client acquisitions that
INFY_Q4_April_22_295 | we are witnessing.
INFY_Q4_April_22_296 | So, putting all those factors we came to this view.
INFY_Q4_April_22_297 | Ankur Rudra
INFY_Q4_April_22_298 | Thank you, appreciate this.
INFY_Q4_April_22_299 | The follow up question is on margin.
INFY_Q4_April_22_300 | Maybe to start with could
INFY_Q4_April_22_301 | you elaborate the third-party cost which went up sharply this quarter and last quarter.
INFY_Q4_April_22_302 | Is
INFY_Q4_April_22_303 | this the sticky new level given the nature of deals you are signing?
INFY_Q4_April_22_304 | And as a connected
INFY_Q4_April_22_305 | question could you elaborate the cost that has been baked into to the 2023 guidance on
INFY_Q4_April_22_306 | margins including the wage inflation levels, the extent of the pace of the reversal or
INFY_Q4_April_22_307 | normalization of the cost base.
INFY_Q4_April_22_308 | Nilanjan Roy
INFY_Q4_April_22_309 | I think many of the large deals which we get is through bundling our services with the
INFY_Q4_April_22_310 | software and the allied services and that gives us a multiplier effect in the client
INFY_Q4_April_22_311 | landscape.
INFY_Q4_April_22_312 | And that you have seen over the last few years, so that is one of the reason
INFY_Q4_April_22_313 | also you have seen the cost increase and has helped us in the quarter and the year going
INFY_Q4_April_22_314 | forward.
INFY_Q4_April_22_315 | On YoY perspective for FY2023 we do not call out the wage impact.
INFY_Q4_April_22_316 | As Salil said, it will be
INFY_Q4_April_22_317 | a competitive compensation hike.
INFY_Q4_April_22_318 | We will differentiate hike in talent and in some places, it
INFY_Q4_April_22_319 | will be more broad-based and of course around that we have a lot of cost optimization
INFY_Q4_April_22_320 | which we usually do.
INFY_Q4_April_22_321 | Some of them in the year past were tailwinds; for instance the onsite
INFY_Q4_April_22_322 | offshore mix.
INFY_Q4_April_22_323 | But subcon became a headwind for us last year and some of these in a way
INFY_Q4_April_22_324 | will start going the other way in the following year.
INFY_Q4_April_22_325 | Of course, the wage hikes will hit us
INFY_Q4_April_22_326 | early on the year as well in quarter one itself, so that will be initial headwind, but we have
INFY_Q4_April_22_327 | seen the overall impact of our cost optimization.
INFY_Q4_April_22_328 | On pricing, we have started discussions as Salil mentioned earlier with our clients.
INFY_Q4_April_22_329 | Of
INFY_Q4_April_22_330 | course, this is a much longer haul, it happens more on T&M, renewals etc.
INFY_Q4_April_22_331 | But for FP side
INFY_Q4_April_22_332 | of the business these are much more longer-term discussions.
INFY_Q4_April_22_333 | And these are also
INFY_Q4_April_22_334 | competitively bid but I think the discussions have started.
INFY_Q4_April_22_335 | All of our sales people are
INFY_Q4_April_22_336 | actively engaged in this and looking at the overall demand and the supply front on this and
INFY_Q4_April_22_337 | we have started making head way on this.
INFY_Q4_April_22_338 | Ankur Rudra
INFY_Q4_April_22_339 | Thank you and best of luck.
INFY_Q4_April_22_340 | Moderator
INFY_Q4_April_22_341 | Please go ahead.
INFY_Q4_April_22_342 | Moshe Katri
INFY_Q4_April_22_343 | Thanks for taking my questions.
INFY_Q4_April_22_344 | It would be great if you can give us some more clarity and
INFY_Q4_April_22_345 | the client specific contractual position that you mentioned is getting lot of questions from
INFY_Q4_April_22_346 | the investors.
INFY_Q4_April_22_347 | How does that impact the revenue numbers for the quarter.
INFY_Q4_April_22_348 | Is there a
INFY_Q4_April_22_349 | margin impact as well?
INFY_Q4_April_22_350 | I think any clarity is going to be really helpful.
INFY_Q4_April_22_351 | And this is a followup
INFY_Q4_April_22_352 | looking at the margin guidance for FY2023, I would see you have brought down by a 100
INFY_Q4_April_22_353 | basis point.
INFY_Q4_April_22_354 | Are we assuming they picked up from the wage inflation here and then are we
INFY_Q4_April_22_355 | also assuming lower pricing power which is something that actually did help in terms of
INFY_Q4_April_22_356 | levers hardly for the past 6 to 12 months.
INFY_Q4_April_22_357 | Thanks a lot.
INFY_Q4_April_22_358 | Nilanjan Roy
INFY_Q4_April_22_359 | Moshe we heard the first question on the client contractual provision.
INFY_Q4_April_22_360 | Just to clarify this the
INFY_Q4_April_22_361 | numbers are very small.
INFY_Q4_April_22_362 | These are less than a percentage, so it is not a big impact overall
INFY_Q4_April_22_363 | as people are making it out.
INFY_Q4_April_22_364 | So we just want to close that out.
INFY_Q4_April_22_365 | It is not a big impact but
INFY_Q4_April_22_366 | less than 1%.
INFY_Q4_April_22_367 | But since you are looking at revenue growth sequentially, I just wanted to
INFY_Q4_April_22_368 | call it out.
INFY_Q4_April_22_369 | ?
INFY_Q4_April_22_370 | Moshe Katri
INFY_Q4_April_22_371 | The second question is to do with your margin guidance for FY23, does this actually factor
INFY_Q4_April_22_372 | an acceleration in wage inflation in FY2023 and maybe a lower pricing power also kind of
INFY_Q4_April_22_373 | not factored into those numbers?
INFY_Q4_April_22_374 | Nilanjan Roy
INFY_Q4_April_22_375 | Okay Moshe , I could make out something you said about of wage inflation as well.
INFY_Q4_April_22_376 | So
INFY_Q4_April_22_377 | yes, in Q1, we will do a compensation hike as well both offshore and onsite and like I said
INFY_Q4_April_22_378 | it will be competitive.
INFY_Q4_April_22_379 | We will benchmark this, differentiate on talent side as well.
INFY_Q4_April_22_380 | And that
INFY_Q4_April_22_381 | is something we have seen over the last year has helped us, especially towards people
INFY_Q4_April_22_382 | with the higher skills set, so that is working for us.
INFY_Q4_April_22_383 | The overall margin guidance reflects a number of events.
INFY_Q4_April_22_384 | We talked about some of the
INFY_Q4_April_22_385 | normalization of the pandemic benefits we have got on travel and facility, and some of that
INFY_Q4_April_22_386 | we are seeing is going to come back.
INFY_Q4_April_22_387 | And secondly, we are seeing some of the
INFY_Q4_April_22_388 | headwinds in terms of onsite-offshore which we think we have got a large benefit last
INFY_Q4_April_22_389 | year.
INFY_Q4_April_22_390 | So, we have to see how this opens up in the rest of the year.
INFY_Q4_April_22_391 | On the other hand, with
INFY_Q4_April_22_392 | our recruitment engine really kicking up now, we have seen subcon cost has actually
INFY_Q4_April_22_393 | plateaued during this quarter and we think for the rest of the year we should be able to pull
INFY_Q4_April_22_394 | back cost on subcon line.
INFY_Q4_April_22_395 | Automation remains very core to us – cost optimization every
INFY_Q4_April_22_396 | year.
INFY_Q4_April_22_397 | We are speaking of automating between 3000 to 4000 people and putting in BOTS
INFY_Q4_April_22_398 | and this I am talking about for the quarter, So, we have comprehensive plans and we have
INFY_Q4_April_22_399 | talked about pricing as well.
INFY_Q4_April_22_400 | 21% to 23% is a reasonable margin band we think we are
INFY_Q4_April_22_401 | comfortable to operate in for the next year.
INFY_Q4_April_22_402 | If you recall even pre pandemic in a way, we
INFY_Q4_April_22_403 | were in at 21% to 23% as we ended FY2020 which was the year before pandemic at
INFY_Q4_April_22_404 | 21.3% if I am not mistaken.
INFY_Q4_April_22_405 | So, we are at 21% to 23% and it is a comfortable range we
INFY_Q4_April_22_406 | are happy to be in.
INFY_Q4_April_22_407 | Moderator
INFY_Q4_April_22_408 | Please go ahead.
INFY_Q4_April_22_409 | Nitin Padmanabhan
INFY_Q4_April_22_410 | Hi good evening just two questions from my side.
INFY_Q4_April_22_411 | The first one was on the guidance.
INFY_Q4_April_22_412 | So, if
INFY_Q4_April_22_413 | I understand right, typically you have a high visibility for the next two quarters and if I look
INFY_Q4_April_22_414 | at the last year net new deal wins, it is actually lower than the prior year.
INFY_Q4_April_22_415 | So I was just
INFY_Q4_April_22_416 | wondering is the mix of much smaller deals which do not reflect within the overall large
INFY_Q4_April_22_417 | deal win number that you are talking about, is that a much higher number, is that we
INFY_Q4_April_22_418 | should think about it?
INFY_Q4_April_22_419 | Second is the pipeline of larger deals that could come through that
INFY_Q4_April_22_420 | is giving the confidence or is it the smaller deals?
INFY_Q4_April_22_421 | so that was the first question.
INFY_Q4_April_22_422 | Salil Parekh
INFY_Q4_April_22_423 | Thanks for the question.
INFY_Q4_April_22_424 | We are not specifying today the different types of deals within the
INFY_Q4_April_22_425 | mix.
INFY_Q4_April_22_426 | Few points to give some color on it.
INFY_Q4_April_22_427 | First the pipeline that we see today is the largest
INFY_Q4_April_22_428 | pipeline we have in terms of large deals so that gives us a good confidence.
INFY_Q4_April_22_429 | Our net new
INFY_Q4_April_22_430 | for the year is strong.
INFY_Q4_April_22_431 | We have good momentum exiting this financial year 2022, which
INFY_Q4_April_22_432 | gives us a good foundation for next year and we see continued traction within clients, as
INFY_Q4_April_22_433 | we are expanding as we are consolidating, as we are gaining market share, so that gives
INFY_Q4_April_22_434 | us added boost.
INFY_Q4_April_22_435 | Hopefully that gives you a little bit of color on that.
INFY_Q4_April_22_436 | Nitin Padmanabhan
INFY_Q4_April_22_437 | Sure.
INFY_Q4_April_22_438 | The second question was in terms of how are you seeing onsite wage inflation
INFY_Q4_April_22_439 | broadly?
INFY_Q4_April_22_440 | When you compare the prior year, do you see that at a much higher level for the
INFY_Q4_April_22_441 | industry in the US, just wanted your thoughts on that.
INFY_Q4_April_22_442 | And finally, any specifics on the
INFY_Q4_April_22_443 | financial services space which is relatively softer and for life sciences where we actually
