index,sentence,neg,neu,pos,compound
99,"expertise in medical, digital marketing, clinical and regulatory areas.",0.0,1.0,0.0,0.0
100,"With our strong growth in Q1 and our current outlook on demand opportunity and pipeline, we",0.068,0.541,0.392,0.802
101,"increase our revenue growth guidance which was at 13% to 15%, now to 14% to 16% for the full",0.0,0.776,0.224,0.5994
102,year.,0.0,1.0,0.0,0.0
103,We keep our margin guidance at 21% to 23%.,0.0,1.0,0.0,0.0
104,"With the increased cost environment, we will",0.0,0.741,0.259,0.2732
105,be at the lower end of this margin guidance.,0.216,0.784,0.0,-0.296
106,Thank you and with that let me hand it over to Nilanjan for his update.,0.0,0.695,0.305,0.6908
107,Nilanjan Roy,0.0,1.0,0.0,0.0
108,morning.,0.0,1.0,0.0,0.0
109,We had a strong start of FY2023 with a robust year-on-year growth of 21.4% in constant currency.,0.0,0.628,0.372,0.8074
110,"All our business segments and major geos recorded double-digit growth with manufacturing,",0.0,0.809,0.191,0.3818
111,communication and EURS along with Europe region recording 25% plus growth.,0.0,0.794,0.206,0.3818
112,"Sequentially, revenue growth was 5.5% which was led by a healthy volume growth and some RPP",0.0,0.622,0.378,0.7845
113,benefits.,0.0,0.0,1.0,0.3818
114,Digital revenues now constitute 61% of total and grew by 37.5% in constant currency.,0.0,1.0,0.0,0.0
115,Client metrics were strong with increase in client counts across revenue buckets compared to the,0.0,0.699,0.301,0.6808
116,previous year.,0.0,1.0,0.0,0.0
117,Number of $50 mn clients increased by 10 to 69 creating the next potential,0.0,0.663,0.337,0.5574
118,centurions.,0.0,1.0,0.0,0.0
119,Number of $100 mn clients increased by 4 to 38 and the number of $200 mn clients,0.0,0.749,0.251,0.4019
120,have grown by 6 in the last one year.,0.0,1.0,0.0,0.0
121,This reflects our ability to deepen mining across our large,0.0,0.796,0.204,0.3182
122,clients.,0.0,1.0,0.0,0.0
123,"We had another quarter of strong employee additions with over 21,000 to cater to the growth",0.0,0.704,0.296,0.7096
124,opportunities ahead.,0.0,0.278,0.722,0.3818
125,The fresher addition was particularly strong which resulted in drop in,0.143,0.613,0.245,0.3597
126,utilization to 84.7%.,0.0,1.0,0.0,0.0
127,Onsite effort mix inched up to 24.3%.,0.0,1.0,0.0,0.0
128,Voluntary LTM attrition increased,0.0,0.588,0.412,0.2732
129,marginally to 28.4%.,0.0,1.0,0.0,0.0
130,Quarterly annualized attrition declined another by 1% from Q4 levels despite,0.0,1.0,0.0,0.0
131,Q1 usually seeing an uptick due to seasonality.,0.0,1.0,0.0,0.0
132,As announced earlier we have given competitive salary increases for majority of employees from,0.0,0.884,0.116,0.1779
133,April.,0.0,1.0,0.0,0.0
134,"Given the supply tightness and high prevailing inflation, salary increases across all geos this",0.0,1.0,0.0,0.0
135,year are higher than historical levels.,0.0,1.0,0.0,0.0
136,The increases vary based on job levels and performance of,0.0,1.0,0.0,0.0
137,employees with top performers getting double-digit hikes.,0.0,0.769,0.231,0.2023
138,Salary hike for other employees is being,0.0,1.0,0.0,0.0
139,done effective 1st July.,0.0,0.492,0.508,0.4767
140,"Q1 margin stood at 20%, a drop of 150 basis points versus previous quarter.",0.139,0.861,0.0,-0.2732
141,The major,0.0,1.0,0.0,0.0
142,components of the sequential margin movements were as below:,0.0,1.0,0.0,0.0
143,Headwinds of,0.0,1.0,0.0,0.0
144,-,0.0,1.0,0.0,0.0
145,"1.6% due to salary increases,",0.0,1.0,0.0,0.0
146,-,0.0,1.0,0.0,0.0
147,"0.4% due to drop in utilization as we create capacity for future,",0.148,0.704,0.148,0.0
148,-,0.0,1.0,0.0,0.0
149,"0.3% due to increases in subcon, third party and other costs.",0.0,0.787,0.213,0.4019
150,These were offset by tailwinds of,0.0,1.0,0.0,0.0
151,-,0.0,1.0,0.0,0.0
152,"0.5% due to increase in RPP from higher working days, a reversal of a client's contractual",0.0,0.867,0.133,0.3182
153,provision in our FS segment partially offset by discounts.,0.0,1.0,0.0,0.0
154,-,0.0,1.0,0.0,0.0
155,0.3% benefits from rupee depreciation benefits partially offset by cross-currency,0.0,0.606,0.394,0.6369
156,headwinds.,0.0,1.0,0.0,0.0
157,Q1 EPS grew by 4.4% in rupee terms on a year-on-year basis.,0.0,1.0,0.0,0.0
158,Our balance sheet continues to be strong and debt-free.,0.0,0.708,0.292,0.5106
159,Consolidated cash and investments were,0.0,1.0,0.0,0.0
160,4.4 bn at the end of the quarter after returning more than $850 mn to the shareholders through,0.0,1.0,0.0,0.0
161,dividends.,0.0,1.0,0.0,0.0
162,This has led to increase in ROE to 31%.,0.0,0.777,0.223,0.3182
163,Free cash flow for the quarter was $656 mn which is a conversion of 95% of net profits.,0.0,0.721,0.279,0.7351
164,Yield on,0.0,1.0,0.0,0.0
165,cash balance remained stable at 5.3% in Q1.,0.0,0.761,0.239,0.296
166,DSO declined by 4 days sequentially to 63.,0.0,1.0,0.0,0.0
167,DSO,0.0,1.0,0.0,0.0
168,including net unbilled was 82 days an increase of 1 day versus Q4.,0.0,0.839,0.161,0.3182
169,Coming to segmental performance:,0.0,1.0,0.0,0.0
170,We signed 19 large deals in Q1 with a TCV of $1.69 bn.,0.0,1.0,0.0,0.0
171,This comprises of the 50% net new.,0.0,1.0,0.0,0.0
172,We,0.0,1.0,0.0,0.0
173,"have signed 5 large deals in retail and CPG, 4 in Hi-Tech, 3 each in financial services and energy",0.0,0.896,0.104,0.2732
174,utility resources and services and 2 each in manufacturing and communications verticals.,0.0,1.0,0.0,0.0
175,Region-,0.0,1.0,0.0,0.0
176,wise 15 were in Americas and 2 each in Europe and RoW.,0.0,0.78,0.22,0.4767
177,"In Financial Services clients continue to focus on digital customer experience, contact center",0.0,1.0,0.0,0.0
178,transformation and virtual branches aimed at improving customer engagement.,0.0,0.547,0.453,0.7003
179,While the order,0.0,1.0,0.0,0.0
180,"pipeline remains strong across regions, we are seeing some slowness in mortgage industry and",0.0,0.798,0.202,0.5106
181,lending business due to increased interest rates.,0.0,0.495,0.505,0.6249
182,We remain watchful of impacts of emerging,0.0,1.0,0.0,0.0
183,global developments on budget for clients.,0.0,1.0,0.0,0.0
184,In the retail segment the pace of Digital transformation large-scale cost breakouts and improving,0.0,0.823,0.177,0.4215
185,business resilience continues to be on the rise across various subsegments.,0.0,1.0,0.0,0.0
186,Our focus on,0.0,1.0,0.0,0.0
187,proactive engagement has helped us in creating a robust pipeline.,0.0,0.366,0.634,0.8555
188,Clients are monitoring the,0.0,1.0,0.0,0.0
189,emerging macro situation and the impact of that on their business.,0.0,1.0,0.0,0.0
190,In communications segment clients are focused on rapid digitization and protecting their assets,0.0,0.719,0.281,0.5106
191,"from cyber threats, we see enormous potential to partner with them both on the digital",0.167,0.833,0.0,-0.4215
192,transformation agenda as well as in the cost takeout front.,0.0,0.811,0.189,0.2732
193,"Deal pipeline in energies, utilities, resources and services segments comprises of opportunities",0.0,0.69,0.31,0.5423
194,"around cost takeouts, vendor consolidation, digital transformation, cloud-led transformation and",0.0,1.0,0.0,0.0
195,asset monetization across industry sub-verticals.,0.0,0.615,0.385,0.3612
196,Manufacturing segment is seeing broad-based growth across geographies and industry sub-,0.0,0.794,0.206,0.3818
197,verticals.,0.0,1.0,0.0,0.0
198,"The sector has seen traction across energy, IoT, supply chain, cloud ERP and",0.0,0.851,0.149,0.2732
199,accelerated cloud adoption.,0.0,1.0,0.0,0.0
200,"In Q1 we have been ranked as leader in 9 ratings in the areas of Oracle Cloud, SAP S/4HANA,",0.0,1.0,0.0,0.0
201,"Public Cloud, Industry 4.0, employee experience and automation services.",0.0,1.0,0.0,0.0
202,"In this supply constrained environment, we continue to invest in our growth momentum which",0.087,0.75,0.163,0.296
203,"requires us to hire premium, skill talent while simultaneously investing in existing employees",0.0,0.811,0.189,0.4215
204,through competitive compensation increases across geos.,0.0,0.746,0.254,0.1779
205,"Additionally, we expect normalization of",0.0,1.0,0.0,0.0
206,costs like travel and other overheads.,0.0,0.667,0.333,0.3612
207,We will continue to focus on various cost optimization,0.0,0.755,0.245,0.3818
208,"measures including rationalization of subcons, flattening of the pyramid, increasing automation,",0.0,1.0,0.0,0.0
209,reducing onsite mix and increasing pricing.,0.0,1.0,0.0,0.0
210,"Whilst we retain our operating margin guidance of 21% to 23%, we expect to be at the bottom end",0.0,1.0,0.0,0.0
211,of the range.,0.0,1.0,0.0,0.0
212,The revenue guidance for the year has been revised to 14% to 16% from 13% to,0.0,1.0,0.0,0.0
213,15% earlier.,0.0,1.0,0.0,0.0
214,With that we can open the call for questions.,0.0,1.0,0.0,0.0
215,Moderator,0.0,1.0,0.0,0.0
216,Thank you very much.,0.0,0.545,0.455,0.3612
217,Ladies and gentlemen we will now begin the question and answer session.,0.0,1.0,0.0,0.0
218,Our first question is from the line of Surendra Goyal from Citi Group.,0.0,1.0,0.0,0.0
219,Please go ahead.,0.0,0.465,0.535,0.3182
220,Surendra Goyal,0.0,1.0,0.0,0.0
221,Thanks for that.,0.0,0.408,0.592,0.4404
222,Good morning just a couple of questions from my side.,0.0,0.756,0.244,0.4404
223,Firstly a clarification.,0.0,1.0,0.0,0.0
224,"Nilanjan, I believe you said that the contractual provision was largely offset by discounts.",0.0,1.0,0.0,0.0
225,Could,0.0,1.0,0.0,0.0
226,you please clarify a bit.,0.0,0.635,0.365,0.3182
227,Did you mean discounts to the same client or discounts in general?,0.0,1.0,0.0,0.0
228,Curious because on one hand we are talking of a strong demand environment and potential price,0.067,0.538,0.395,0.8074
229,hikes and at the same time we are also talking of discounts?,0.0,1.0,0.0,0.0
230,Nilanjan Roy,0.0,1.0,0.0,0.0
231,The comment was 0.5% increase in RPP is a combination of three to four elements – higher,0.0,0.874,0.126,0.3182
232,"working days, the client contraction provision reversal benefits partially offset by discount.",0.0,0.809,0.191,0.3818
233,So it is,0.0,1.0,0.0,0.0
234,not a direct linkage of discounts and client contractual provisions.,0.0,1.0,0.0,0.0
235,It is not to the same client.,0.0,1.0,0.0,0.0
236,These are generic discounts and these automatically keep on coming.,0.0,1.0,0.0,0.0
237,"But, like I said discounts",0.0,0.552,0.448,0.5023
238,have come down as we have started negotiating with our clients in terms of pricing but that is the,0.0,1.0,0.0,0.0
239,net impact of all these.,0.0,1.0,0.0,0.0
240,Surendra Goyal,0.0,1.0,0.0,0.0
241,"Just another question on margin down 360 bps year-over-year, operating profit growth Y-o-Y is",0.0,0.686,0.314,0.6705
242,worse in historical trends despite all the strong demand and growth we are talking about.,0.349,0.526,0.124,-0.5722
243,So if you,0.0,1.0,0.0,0.0
244,"just think about this 360 basis point decline, how much of that is really investment which you think",0.0,1.0,0.0,0.0
245,can be recouped as we go forward from here?,0.0,1.0,0.0,0.0
246,Nilanjan Roy,0.0,1.0,0.0,0.0
247,"When we were 360 bps down, we knew we were having some benefits in a way - our utilization",0.0,0.874,0.126,0.3818
248,"was very high it was 88%, we have never operated at that level before, the benefits of travel etc.",0.0,0.874,0.126,0.3818
249,Now we are seeing more and more of that has been coming back.,0.0,1.0,0.0,0.0
250,So that is something which we,0.0,1.0,0.0,0.0
251,were well aware of in last year.,0.0,0.741,0.259,0.2732
252,"But as we see the demand volume ahead, I think we are very clear",0.099,0.682,0.218,0.4748
253,"that in terms of our ability to support this demand first we have to hire, we have to pay",0.131,0.651,0.217,0.4543
254,competitively.,0.0,1.0,0.0,0.0
255,So we actually did two wage hikes in calendar year 2021 and now this year we have,0.0,1.0,0.0,0.0
256,already rolled out in April.,0.0,1.0,0.0,0.0
257,So within one and a half year we have done three substantial CRs and,0.0,0.878,0.122,0.2023
258,actually in September last year also we did a skill based increase.,0.0,0.827,0.173,0.3182
259,So we have been continuously,0.0,1.0,0.0,0.0
260,investing behind that and we know that to capitalize this demand we have to pay for premium,0.168,0.832,0.0,-0.2558
261,skills.,0.0,1.0,0.0,0.0
262,We have to go behind the volume.,0.0,1.0,0.0,0.0
263,Comparing subcontractor costs - perhaps from an,0.0,1.0,0.0,0.0
264,"industry leading 6.5% position we are closer to 11% now, but again these are something we know",0.0,1.0,0.0,0.0
265,over a period of time we have a lot of optimization levers.,0.0,0.809,0.191,0.3818
266,We do not want to leave a five-year,0.146,0.717,0.137,-0.0191
267,demand on the table because of short-term cost pressures and these we can optimize over this,0.19,0.65,0.16,0.1027
268,year and over the future as well.,0.0,0.741,0.259,0.2732
269,So in that sense we are quite confident and that is why we have,0.0,0.788,0.212,0.5413
270,talked about 21% to 23% range and we will be at the bottom end of the range.,0.0,1.0,0.0,0.0
271,Of course if we are,0.0,1.0,0.0,0.0
272,"20% today, we will see that improvement as the year progresses.",0.0,0.769,0.231,0.4588
273,Surendra Goyal,0.0,1.0,0.0,0.0
274,Sure thanks for that I will get back in the queue.,0.0,0.634,0.366,0.6369
275,Moderator,0.0,1.0,0.0,0.0
276,ahead.,0.0,1.0,0.0,0.0
277,Moshe Katri,0.0,1.0,0.0,0.0
278,Thanks.,0.0,0.0,1.0,0.4404
279,Spectacular numbers especially on revenues side of the business.,0.0,1.0,0.0,0.0
280,Just a follow-up to the,0.0,1.0,0.0,0.0
281,last topic or question about margins.,0.0,1.0,0.0,0.0
282,We are getting a lot of pushbacks on that.,0.0,1.0,0.0,0.0
283,From your,0.0,1.0,0.0,0.0
284,"perspective looking at the levers that you highlighted, what do you think is the biggest potential",0.0,1.0,0.0,0.0
285,lever here for you to be able to catch up to the margin range that you mentioned and then I have a,0.0,1.0,0.0,0.0
286,follow-up after that.,0.0,1.0,0.0,0.0
287,Nilanjan Roy,0.0,1.0,0.0,0.0
288,"Firstly if you see, how our margin profile, has changed, so one, of course has been this utilization",0.0,1.0,0.0,0.0
289,"and in fact, 21,000+ net adds during the quarter which is well above our volumes and that is to",0.0,0.896,0.104,0.2732
290,create the buffer.,0.0,0.488,0.512,0.2732
291,"So when we put in freshers, we train them and then over a period of time, we are",0.0,1.0,0.0,0.0
292,able to put them into production.,0.0,1.0,0.0,0.0
293,So you cannot just have higher freshers and expect them to start,0.0,1.0,0.0,0.0
294,contributing from day 1.,0.0,1.0,0.0,0.0
295,We are very vigilant about that.,0.0,0.715,0.285,0.2484
296,They go through mandatory training in,0.0,0.794,0.206,0.0772
297,"Myosre, and then we put them into projects.",0.0,1.0,0.0,0.0
298,So that is one big part of where we think we can start,0.0,1.0,0.0,0.0
299,improving.,0.0,0.0,1.0,0.4215
300,"As the hiring catches up automatically, you will see the stabilization of subcon costs,",0.0,1.0,0.0,0.0
301,"which as percentage of revenue, you are seeing this increase every quarter.",0.0,0.807,0.193,0.3869
302,While we have seen it,0.0,1.0,0.0,0.0
303,"flattening out and over the future, as we got our recruitments done and we are able to hire fresher,",0.0,1.0,0.0,0.0
304,we should see benefits coming out of that.,0.0,0.729,0.271,0.3818
305,Pyramid benefits will continue to happen for us.,0.0,0.729,0.271,0.3818
306,While we are seeing some adverse impact from,0.263,0.737,0.0,-0.3612
307,"the onsite movement, this is largely as travel overseas starts, but we think this is more of a",0.0,1.0,0.0,0.0
308,"aberration in terms of uptick, because the inherent story of taking cost out and having a more",0.0,1.0,0.0,0.0
309,offshore mix in the entire cost optimization will come into benefits especially in this environment,0.0,0.714,0.286,0.6369
310,where cost take out is becoming a big theme across our clients.,0.0,1.0,0.0,0.0
311,"So, we know we can have",0.0,1.0,0.0,0.0
312,multiple areas.,0.0,1.0,0.0,0.0
313,"Pricing is another thing, which we have been talking about.",0.0,1.0,0.0,0.0
314,We have seen less impact of,0.0,1.0,0.0,0.0
315,"discounts, etc., we are going back to clients in terms of COLA adjustments at the time of renewals.",0.0,1.0,0.0,0.0
316,"Now these are much more longer-term impact decisions, but I think at least the conversations",0.0,1.0,0.0,0.0
317,have started in right direction across all the segments and you can hear similar commentary,0.0,1.0,0.0,0.0
318,across.,0.0,1.0,0.0,0.0
319,So I think these are the areas we continue to focus on and are something we have done,0.0,1.0,0.0,0.0
320,over the years.,0.0,1.0,0.0,0.0
321,We continue to be very forceful in terms of our cost efficiency exercises.,0.0,0.828,0.172,0.3612
322,Moshe Katri,0.0,1.0,0.0,0.0
323,"Just as a follow-up, just remind us what is the sensitivity for margins versus utilization rates i.e.,",0.0,1.0,0.0,0.0
324,100 basis points expansion in utilization rates what does it mean to margins in terms of sensitivity?,0.0,1.0,0.0,0.0
325,Thank you.,0.0,0.286,0.714,0.3612
326,Nilanjan Roy,0.0,1.0,0.0,0.0
327,"Yes, so I think it depends on by which levels we see utilization.",0.0,0.816,0.184,0.4019
328,"So, it is quite complicated if you",0.0,1.0,0.0,0.0
329,"have a different utilization in onsite, different in offshore and then the impact of the freshers in the",0.0,1.0,0.0,0.0
330,pyramid in that utilization.,0.0,1.0,0.0,0.0
331,"So, it is a bit complicated how the mix changes.",0.0,1.0,0.0,0.0
332,I just cannot give you off,0.0,1.0,0.0,0.0
333,"the cuff number of what 1% will lead to, but to give you the impact in this quarter, 40 basis points",0.0,0.946,0.054,0.0387
334,because of utilization on margins.,0.0,1.0,0.0,0.0
335,Moshe Katri,0.0,1.0,0.0,0.0
336,All right thanks for the color.,0.0,0.633,0.367,0.4404
337,Moderator,0.0,1.0,0.0,0.0
338,ahead.,0.0,1.0,0.0,0.0
339,Kumar Rakesh,0.0,1.0,0.0,0.0
340,Good morning.,0.0,0.256,0.744,0.4404
341,Thank you for taking my question.,0.0,0.667,0.333,0.3612
342,My first question was continuation on the margin,0.0,1.0,0.0,0.0
343,side.,0.0,1.0,0.0,0.0
344,"At the end of the fourth quarter, and not just Infosys but across the industry what the",0.0,1.0,0.0,0.0
345,management commentary had indicated compared to that the margin performance appears to be,0.0,1.0,0.0,0.0
346,a sharper decline.,0.0,1.0,0.0,0.0
347,Now Salil what do you think could be the reason behind that?,0.0,1.0,0.0,0.0
348,Is it driven by,0.0,1.0,0.0,0.0
349,higher than expected demand and higher use of subcontracting than what you are planning early,0.097,0.903,0.0,-0.128
350,or is it more supply side driven that the fresher was higher than what we had planned for through,0.0,1.0,0.0,0.0
351,the quarter?,0.0,1.0,0.0,0.0
352,Nilanjan Roy,0.0,1.0,0.0,0.0
353,Are you talking about us in particular about the industry?,0.0,1.0,0.0,0.0
354,Kumar Rakesh,0.0,1.0,0.0,0.0
355,Anything whatever you could give us color on because the trend has been very similar to yourself.,0.0,1.0,0.0,0.0
356,Nilanjan Roy,0.0,1.0,0.0,0.0
357,"Yes, so we do not operate in a vacuum and this industry also does not operate in a vacuum.",0.0,0.87,0.13,0.4019
358,The,0.0,1.0,0.0,0.0
359,"attrition trends are pretty much similar across industries but the good news, like you said is that",0.0,0.603,0.397,0.8481
360,attrition is coming down.,0.0,1.0,0.0,0.0
361,Our quarter attrition figure is actually below our LTM figures and as Salil,0.0,1.0,0.0,0.0
362,"said we are 1% down on a sequential basis, we were 5% down in the previous quarter and we",0.0,1.0,0.0,0.0
363,were flat the earlier quarter.,0.0,1.0,0.0,0.0
364,The reported LTM is more of a catch-up effect and in that sense you,0.0,1.0,0.0,0.0
365,will see stabilization.,0.0,1.0,0.0,0.0
366,The freshers will start coming in and getting permeated.,0.0,1.0,0.0,0.0
367,So that benefit in a,0.0,0.55,0.45,0.507
368,way should start creeping into the cost structure because at the end of the day if you are putting,0.0,1.0,0.0,0.0
369,"freshers we have less attrition, the fresh hikes which you have to give for lateral hirers should",0.0,0.887,0.113,0.2585
370,"come down, joining bonuses impact should come down.",0.0,0.66,0.34,0.5574
371,So these are the things which can play in,0.0,0.769,0.231,0.34
372,our favour.,0.0,0.256,0.744,0.4404
373,You have seen these numbers of decline pretty much across industries.,0.0,0.758,0.242,0.4939
374,I think we,0.0,1.0,0.0,0.0
375,"have a very, very sharp cost optimization program in a way which will go and offset these",0.0,0.848,0.152,0.4336
376,headwinds.,0.0,1.0,0.0,0.0
377,Kumar Rakesh,0.0,1.0,0.0,0.0
378,Got it.,0.0,1.0,0.0,0.0
379,So it appears the supply side pressure was higher than what we were earlier expecting.,0.136,0.864,0.0,-0.296
380,My,0.0,1.0,0.0,0.0
381,second question was on the acquisition.,0.0,1.0,0.0,0.0
382,Nilanjan Roy,0.0,1.0,0.0,0.0
383,I think there is no question about that.,0.239,0.761,0.0,-0.296
384,"You see our attrition and the net adds, the gross hiring has",0.22,0.78,0.0,-0.4767
385,been very well and of course in that sense in terms of our stretches and all we have to offer.,0.0,0.888,0.112,0.3384
386,So it,0.0,1.0,0.0,0.0
387,is an overall industry issues led from the demand side.,0.143,0.857,0.0,-0.128
388,Kumar Rakesh,0.0,1.0,0.0,0.0
389,Thanks.,0.0,0.0,1.0,0.4404
390,My second question was on BASE acquisition.,0.0,1.0,0.0,0.0
391,So we already have a pretty strong life,0.0,0.48,0.52,0.7579
392,"sciences practice with more than $1 bn scale, so what exactly we are looking and targeting to get",0.0,1.0,0.0,0.0
393,help from this acquisition?,0.0,0.526,0.474,0.4019
