index,sentence,label,score
30,strength of our digital and cloud capabilities.,NEGATIVE,0.7254896
31,Our growth was 19.4% YoY and 6.3% QoQ in,NEGATIVE,0.67554456
32,constant currency terms.,POSITIVE,0.94670475
33,"I would like to thank the entire 280,000 employees of Infosys for their incredible dedication and",NEGATIVE,0.7021085
34,world class skills that made the work we do for our clients so impactful.,POSITIVE,0.7472673
35,Our YoY growth was the fastest we have seen in 11 years and built on the quarter that was a,NEGATIVE,0.94502413
36,growth quarter this time last year.,NEGATIVE,0.57763135
37,Our growth has been accompanied by resilient operating margins at 23.6%.,NEGATIVE,0.95237
38,We delivered these,POSITIVE,0.92205405
39,margins while we kept in the forefront our focus on employees with increased compensation and,NEGATIVE,0.83601886
40,benefits.,POSITIVE,0.9147683
41,Our digital business grew by 42% and is now 56% of our overall revenues.,NEGATIVE,0.72050184
42,"Within digital, our cloud",POSITIVE,0.92274505
43,"work is growing even faster, and our Cobalt cloud capabilities are resonating tremendously with",NEGATIVE,0.88034713
44,our clients.,POSITIVE,0.9262737
45,"We are working with a large global company, for example, on their private cloud deployment.",POSITIVE,0.7281821
46,We,POSITIVE,0.8734777
47,are working with a large bank on their public cloud expansion.,NEGATIVE,0.6660861
48,We are working with several of our,POSITIVE,0.82791764
49,"clients on SaaS transformations, and cloud-native developments.",POSITIVE,0.9430197
50,"Some of the other highlights of our results are,",POSITIVE,0.79173404
51,-,POSITIVE,0.8929749
52,"Revenues were $3.998 bn, which is a growth of 19.4% YoY and 6.3% sequentially in",NEGATIVE,0.9416279
53,constant currency,POSITIVE,0.92092395
54,-,POSITIVE,0.8929749
55,Our digital business grew by 42.4% YoY and now constitutes 56.1% of our overall,NEGATIVE,0.68054456
56,revenues.,POSITIVE,0.9235056
57,-,POSITIVE,0.8929749
58,We had broad-based growth across all our sectors and service lines.,NEGATIVE,0.8051659
59,All our sectors,POSITIVE,0.9010392
60,reported double-digit growth.,NEGATIVE,0.9409884
61,-,POSITIVE,0.8929749
62,Financial Services grew by 20.5%.,NEGATIVE,0.92074805
63,This is our largest sector and growing exceptionally,POSITIVE,0.80054986
64,well.,POSITIVE,0.8616404
65,"Manufacturing grew at 42.5%, Retail by 17.2%, Life Sciences by 26.1%.",NEGATIVE,0.5268145
66,-,POSITIVE,0.8929749
67,"In terms of geography, North America grew by 23.1%, Europe by 19.6%.",NEGATIVE,0.5653938
68,-,POSITIVE,0.8929749
69,Our large deals were strong at $2.15 bn.,NEGATIVE,0.91887987
70,-,POSITIVE,0.8929749
71,Our onsite mix moved to 23.6% and our utilization to 89.3%,NEGATIVE,0.9446638
72,-,POSITIVE,0.8929749
73,Operating margins were resilient at 23.6%.,NEGATIVE,0.8714797
74,-,POSITIVE,0.8929749
75,Free cash flow was strong at $712 mn.,NEGATIVE,0.9520088
76,-,POSITIVE,0.8929749
77,Our attrition moved up to 20.1% and we will talk a little bit more about that later in the call,NEGATIVE,0.73745334
78,with Pravin.,POSITIVE,0.92839956
79,-,POSITIVE,0.8929749
80,"We had a net headcount increase of 11,664, attracting leading talent from the market.",NEGATIVE,0.95297766
81,We,POSITIVE,0.8734777
82,remain comfortable with our ability to support our clients in their digital transformation,NEGATIVE,0.82817614
83,journeys.,POSITIVE,0.9231657
84,We are rapidly expanding our global talent pool and increased our college graduates hiring to,NEGATIVE,0.9511406
85,"45,000 for this year.",POSITIVE,0.9336288
86,"Last quarter, we had this number at 35,000 people.",POSITIVE,0.8756162
87,I am also delighted with our increased focus on ESG.,NEGATIVE,0.9249881
88,"As many of you know, we have already been",POSITIVE,0.8850832
89,carbon-neutral since 2020.,POSITIVE,0.9297937
90,Our ambition for 2030 is well articulated and we are building on the,NEGATIVE,0.8006789
91,momentum to create impact.,NEGATIVE,0.5422369
92,We are accelerating our growth with the launch of Infosys,NEGATIVE,0.93192816
93,"Springboard, to bring digital skills to millions of students.",POSITIVE,0.79704285
94,"With a strong start to the financial year, good deal momentum in Q2, robust pipeline, we are",NEGATIVE,0.95061004
95,"increasing our annual revenue growth guidance which was at 14% to 16% previously, to 16.5% to",NEGATIVE,0.94836813
96,17.5% growth in constant currency.,NEGATIVE,0.61026335
97,Our operating margin guidance remains the same at 22% to,POSITIVE,0.83604336
98,24%.,POSITIVE,0.8795113
99,"We have a very special moment in this quarter, which will be Pravin's last full quarter before he",POSITIVE,0.76488835
100,"retires, after an incredible journey of 35 years with Infosys.",POSITIVE,0.8907208
101,Pravin's contributions to the company,POSITIVE,0.8778304
102,are innumerable.,POSITIVE,0.9348387
103,"We will, and in fact, I will personally miss his tremendous depth of knowledge of",POSITIVE,0.78748065
104,the business and his contagious sense of humor.,POSITIVE,0.90135103
105,My best wishes to Pravin in all his future plans.,POSITIVE,0.86900294
106,"We will announce our future structure in the coming weeks, well before Pravin steps down.",POSITIVE,0.9364892
107,"With that note, let me hand it to Pravin for his updates.",POSITIVE,0.935879
108,Pravin Rao,POSITIVE,0.9091225
109,"Thank you, Salil.",NEGATIVE,0.59543943
110,"Hello, everyone.",POSITIVE,0.8809198
111,"Hope you and your family are doing good, safe, and healthy.",NEGATIVE,0.6832774
112,Growth acceleration continued in Q2 with YoY constant currency growth at 19.4%.,NEGATIVE,0.95490384
113,Q2 witnessed,POSITIVE,0.92470026
114,broad-based double-digit growth across all business segments and both North America and,NEGATIVE,0.90204585
115,Europe.,POSITIVE,0.9180109
116,Operating parameters continued to improve further:,NEGATIVE,0.95850503
117,-,POSITIVE,0.8929749
118,Utilization improved to a new all-time high of 89.2%,NEGATIVE,0.95458406
119,-,POSITIVE,0.8929749
120,Onsite effort mix reduced further to a new low of 23.6%,NEUTRAL,0.96813166
121,"We won 22 large deals of over $50 mn totaling $2.2 bn TCV, 5 each in Financial Services and",NEGATIVE,0.89536464
122,"Energy, Utility, Resources and Services; 3 each in Retail and Manufacturing; 2 each in",POSITIVE,0.9296638
123,Communication and HiTech; and 1 each in Life Sciences and Others segments.,POSITIVE,0.93418276
124,Region wise 15,POSITIVE,0.9331664
125,"were from Americas, 6 were from Europe, and 1 from the Rest of the World.",POSITIVE,0.8869289
126,The share of the new,POSITIVE,0.9215476
127,deals in Q2 was 37%.,POSITIVE,0.76945025
128,"Client metrics improved with over $100 mn client count increasing to 35, an increase of 5 YoY.",NEGATIVE,0.96028465
129,We,POSITIVE,0.8734777
130,added 117 new clients in the last quarter.,POSITIVE,0.6572255
131,Voluntary last 12-months attrition increased to 20.1%.,NEGATIVE,0.94538075
132,While attrition has increased on the back of,NEGATIVE,0.6321174
133,"high industry growth and supply tightness, especially in the niche skill areas, we continue to fulfill",NEUTRAL,0.37349054
134,"client commitments through increased hiring, talent reskilling and higher usage of subcons.",NEGATIVE,0.8623163
135,We,POSITIVE,0.8734777
136,"have stepped up our hiring program and have added more than 11,600 talent employees on a net",NEGATIVE,0.9285392
137,"basis, highest ever in a single quarter.",NEGATIVE,0.79471254
138,"In H1 we on-boarded over 25,000 college graduates and for",POSITIVE,0.86453027
139,"the full year, we have increased the college graduate hiring target to 45,000 globally.",NEGATIVE,0.8733591
140,The vaccination drive for our employees and their dependents across locations continued,POSITIVE,0.8437364
141,unabated.,POSITIVE,0.80400866
142,"Currently, over 86% Infoscions have received at least one dose of vaccine.",POSITIVE,0.8319003
143,Moving to business segments:,POSITIVE,0.9468421
144,"Starting with Financial Services, I am happy to share that in the last quarter, Infosys was ranked",NEGATIVE,0.58249235
145,"#1 by HFS in the Banking and Financial Services Providers' top 10, 2021.",POSITIVE,0.7678151
146,As you are aware our,POSITIVE,0.8868608
147,YoY growth was over 20% on constant currency basis this quarter and this industry-leading growth,NEGATIVE,0.8989385
148,has sustained over the past several quarters.,NEGATIVE,0.95513904
149,We are seeing strong demand and momentum,NEGATIVE,0.9483727
150,across all regions.,POSITIVE,0.8804539
151,"North America, however, continues to lead growth as we execute on large",NEGATIVE,0.91958714
152,transformation programs and win market share.,NEGATIVE,0.6358229
153,Banks are increasingly focusing on virtual,POSITIVE,0.84282386
154,"branches, improved customer experience through AI and analytics, and digital transformation led",NEGATIVE,0.9115916
155,cost take out agenda.,POSITIVE,0.9418498
156,Our focused investments in building strong sub-vertical and platforms,NEGATIVE,0.7425978
157,"capabilities in regional banking, retirement services, mortgages, asset management, and",POSITIVE,0.85053015
158,payments are working as a differentiator in winning large deals and digital transformation,POSITIVE,0.9201353
159,programs.,POSITIVE,0.9367732
160,We are well positioned as full stack digital transformation player with combination of our,NEGATIVE,0.74583894
161,domain plus technology plus operations plus digital transformation capabilities.,POSITIVE,0.8157731
162,Performance of Retail segment remained strong as clients continue to make investments in new,NEGATIVE,0.95432365
163,"digital capabilities in commerce, marketing, and supply chain areas.",POSITIVE,0.92344826
164,We are seeing focus on areas,POSITIVE,0.8123154
165,"like a digital consumer, analytics, digital promotion, personalization, cybersecurity, etc.",POSITIVE,0.9459513
166,Our,POSITIVE,0.84981084
167,recently launched Equinox platform is seeing significant traction from both our existing and,NEGATIVE,0.95210904
168,prospective clients.,POSITIVE,0.9368321
169,We have a strong pipeline and expect steady performance for the segment in,NEGATIVE,0.95503736
170,the coming quarters.,POSITIVE,0.90358806
171,Communication segment performance improved meaningfully on both sequential and YoY basis,NEGATIVE,0.9600542
172,on the back of ramp up earlier deal wins.,NEGATIVE,0.9209216
173,We are witnessing increasing momentum for capex roll-,NEGATIVE,0.9489279
174,out for 5G deployment across regions.,NEGATIVE,0.50317067
175,"Our 5G living labs, with its capabilities and the promise of",NEGATIVE,0.7505175
176,"future innovations, is a key differentiator in the 5G space for the CSPs and OEMs.",POSITIVE,0.79528016
177,"Energy, Utility, Resources and Services vertical growth accelerated further with continued large",NEGATIVE,0.9506467
178,deal wins.,POSITIVE,0.86204904
179,Clients in various subsegments are seeing return to normalcy and are prioritizing,NEGATIVE,0.89919114
180,"projects around cloud transformation, customer experience, data analytics, automation,",POSITIVE,0.9272132
181,"cybersecurity, etc.",POSITIVE,0.9438044
182,"In Energy, we have made good progress in developing the integrated ‘energy",NEGATIVE,0.8634891
183,"as a service’ solution, which aims to enable clients to access reliable low-carbon energy, use",NEGATIVE,0.6859247
184,energy more efficiently and to optimize supply and demand across multiple users and assets,NEGATIVE,0.56829065
185,without having to invest in additional energy infrastructure.,POSITIVE,0.8476329
186,"Growth in the Manufacturing segment accelerated significantly, with the Daimler deal starting to",NEGATIVE,0.953042
187,ramp up.,POSITIVE,0.8472217
188,"Growth in the last quarter was broad-based across Europe and the U.S., as well as",NEGATIVE,0.62984836
189,"across industrial, automotive, and aerospace industries.",POSITIVE,0.91808563
190,"We are seeing traction in engineering,",NEGATIVE,0.9177596
191,"IoT, supply chain, cloud ERP, digital transformation, and cloud migration areas.",POSITIVE,0.94912684
192,The pipeline,POSITIVE,0.8668893
193,"continues to be strong, and this provides the confidence that growth in manufacturing for Infosys",NEGATIVE,0.94628936
194,will continue to be market-leading.,NEGATIVE,0.863204
195,Infosys BPM performance remained stable as most of the geographies are witnessing a slow,NEGATIVE,0.9217991
196,return to normalcy.,POSITIVE,0.8012267
197,We see a good deal pipeline with a healthy share of digital deals.,NEGATIVE,0.88137424
198,"Share of digital to overall revenues, increased further to 56.1% in Q2, with a continued strong",NEGATIVE,0.9541323
199,growth of 42.4% YoY in constant currency terms.,NEGATIVE,0.82042456
200,We continue to see a big focus on digital,POSITIVE,0.73045135
201,"transformation, especially around cloud, commerce, and employee experience as customers",POSITIVE,0.7931836
202,adjust to the permanent changes in both shopping habits and hybrid working.,POSITIVE,0.89569587
203,Cost takeouts has,POSITIVE,0.8124114
204,been surpassed by the improvement of digital experiences that increase sales and drive customer,NEGATIVE,0.9077478
205,or employee loyalty.,POSITIVE,0.8913864
206,"In the last quarter, we have been ranked as leader in nine digital services-related capabilities in",NEGATIVE,0.90560764
207,"the areas of cloud services, experience and design, big data and analytics, IoT and engineering,",POSITIVE,0.94186074
208,modernization and artificial intelligence.,POSITIVE,0.91932994
209,"To conclude, I want to thank you for the wholehearted support and wishes that you have extended",NEGATIVE,0.70374846
210,to Infosys over the years.,POSITIVE,0.92787224
211,"Personally, I have thoroughly enjoyed the discussions with you and felt",NEGATIVE,0.7759137
212,enriched from your insights.,POSITIVE,0.5860769
213,I wish you good health and success in your future endeavors.,NEGATIVE,0.7066676
214,"With that, I will hand it over to Nilanjan.",POSITIVE,0.93951374
215,Nilanjan Roy,POSITIVE,0.8504617
216,families are safe and well.,POSITIVE,0.8166009
217,Revenue growth accelerated further in Q2 on the back of a very strong Q1.,NEGATIVE,0.95471925
218,We had strong double-,NEGATIVE,0.92806494
219,"digit growth in all the business segments led by Manufacturing and Financial Services, which grew",NEGATIVE,0.858645
220,"at 42.5% and 20.5%, respectively YoY in constant currency.",POSITIVE,0.9022395
221,"Our largest geography, North",POSITIVE,0.9128156
222,"America, also grew YoY at 23.1% in constant currency.",NEGATIVE,0.93655425
223,"Consequently, constant currency YoY",POSITIVE,0.8942814
224,"growth increased to 19.4%, which is the highest growth in any quarter in the last 11 years.",NEGATIVE,0.9538283
225,"Sequential growth in Q2 also saw an acceleration to 6.3% in constant currency, which is the",NEGATIVE,0.9538608
226,highest sequential revenue growth in any quarter in the last 6 years.,NEGATIVE,0.9475298
227,Q2 margin remained resilient at 23.6% despite headwinds from salary increases for most of our,NEGATIVE,0.8648329
228,"employees, higher subcon costs and supply side challenges which were largely offset by",NEGATIVE,0.9122466
229,improvements in operational parameters and scale benefits resulting from growth.,NEGATIVE,0.9498084
230,The major components of the sequential margin movement are as follows:,POSITIVE,0.92726594
231,-,POSITIVE,0.8929749
232,"1.1% impact to the comp hikes given, effective July, to most of our employee base;",NEGATIVE,0.8369114
233,-,POSITIVE,0.8929749
234,"0.5% increase in subcon costs,",NEGATIVE,0.949512
235,These were offset by:,POSITIVE,0.8232599
236,-,POSITIVE,0.8929749
237,"80 basis point benefit due to cost optimization and improvement in operating parameter,",NEGATIVE,0.9551075
238,-,POSITIVE,0.8929749
239,"a 50 basis points due to SG&A scale benefits, and",POSITIVE,0.62958336
240,-,POSITIVE,0.8929749
241,"a 30 basis points benefit due to rupee and cross currency movement,",NEGATIVE,0.9317637
242,Overall leading to a 10 basis points drop in sequential operating margins.,NEUTRAL,0.97612894
243,Q2 EPS grew by 13% in dollar terms and 12.7% in rupee terms on a YoY basis.,NEGATIVE,0.95609987
244,"DSOs stood at 66 days, an improvement of four days versus the last quarter on the back of robust",NEGATIVE,0.9344671
245,collection.,POSITIVE,0.92491907
246,"Free cash flow for the quarter was healthy at $712 mn and as a percentage of net profit, was",NEGATIVE,0.66959643
247,97.1% for Q2 and 109.5% for H1.,POSITIVE,0.88951945
248,Yield on cash balance was 5.1% compared to 4.9% in Q1.,NEUTRAL,0.94625145
249,We have completed the buyback of Rs.,NEGATIVE,0.7137808
250,"9,200 crores on September 8 at an average price of",POSITIVE,0.8457699
251,"approximately Rs.1,649 per share compared to a maximum buyback price of Rs.1,750 per share,",NEGATIVE,0.6774837
252,leading to a 1.31% reduction in share capital.,NEUTRAL,0.9286642
253,"With this, the company has returned approximately",NEGATIVE,0.9318825
254,"82% of the free cash flow for FY20 and FY21 through dividends and buybacks, close to the 85%",POSITIVE,0.55407655
255,stated in our five-year capital allocation policy.,POSITIVE,0.9382479
256,"Even after the capital return, we continue to maintain a strong debt-free and liquid balance sheet.",NEGATIVE,0.9293315
257,Consolidated cash and investments at the end of the last quarter was $4.42 bn.,POSITIVE,0.9297181
258,"Return on equity increased further to 29.8%, an improvement of 3.1% over Q2 last year, driven by",NEGATIVE,0.9572325
259,consistent performance and increased capital returns.,NEGATIVE,0.9550811
260,"The Board has also announced an interim dividend of Rs.15 per share, an increase of 25% over",NEGATIVE,0.91353786
261,prior year interim dividend and equal to the final dividend of prior year.,POSITIVE,0.94574505
262,"We see a robust demand environment, coupled with tightness in the supply side, which will result",NEGATIVE,0.6207612
263,"in higher recruitment, compensation and retention costs in the near future, along with seasonal",NEUTRAL,0.8122283
264,headwinds relating to furloughs.,NEUTRAL,0.96695966
265,"However, we remain confident of our ability to partially offset",NEGATIVE,0.9434523
266,some of these cost headwinds through the structural cost efficiency improvement measures and,NEGATIVE,0.5349301
267,deliver well within our margin guidance for the year.,NEGATIVE,0.95672226
268,"With a strong H1 and a robust deal pipeline, we are increasing our revenue growth guidance for",NEGATIVE,0.9525139
269,the year to 16.5% to 17.5% from 14% to 16% previously.,NEGATIVE,0.91459215
270,We reiterate our operating margin,POSITIVE,0.9352632
271,guidance of 22% to 24% for the full year.,POSITIVE,0.87175107
272,"With that, we can open the call for questions.",POSITIVE,0.89843434
273,Moderator,POSITIVE,0.87275183
274,Thank you very much.,POSITIVE,0.7809915
275,We will now begin the question-and-answer session.,POSITIVE,0.9459576
276,The first question is,POSITIVE,0.93186265
277,from the line of Ankur Rudra from JP Morgan.,POSITIVE,0.93599904
278,Please go ahead.,POSITIVE,0.9280336
279,Ankur Rudra,POSITIVE,0.8230211
280,Pravin best wishes for the future and congratulations on completing a great innings on a high.,NEGATIVE,0.8232837
281,"Overall, clearly, very good results, it is nice to see the margin execution and the guidance",NEGATIVE,0.8205907
282,upgrade.,POSITIVE,0.8982284
283,"To start off with Salil, if you could give us a sense about how you feel about demand",POSITIVE,0.89542055
284,"visibility given where you see the increasing guidance, but we continue to see a drop in the large",NEUTRAL,0.91876847
285,deals size.,POSITIVE,0.93727535
286,So how do we think about that?,POSITIVE,0.93286467
287,Salil Parekh,POSITIVE,0.8668303
288,"Thanks, Ankur, this is Salil.",POSITIVE,0.8497757
289,"In terms of demand, we continue to see a good pipeline in terms of",NEGATIVE,0.944658
290,large deals.,POSITIVE,0.9242386
291,"We are participating more in areas which relate to digital transformation, which relate",POSITIVE,0.7020959
292,"to cloud work, which relate to data and analytics work.",POSITIVE,0.9476182
293,We see this across all industries and we,POSITIVE,0.8204462
294,see that large enterprises are accelerating their spend.,NEGATIVE,0.8367268
295,Their trust in us is strong because of the,NEGATIVE,0.80857134
296,capabilities we have built.,POSITIVE,0.6415109
297,"So, the demand from that piece, which is the large deals, is looking good.",NEGATIVE,0.8660321
298,Then there is the,POSITIVE,0.91425
299,"demand which is from our existing client base, where we are seeing a tremendous expansion in all",NEGATIVE,0.9205133
300,of our large clients.,POSITIVE,0.91017973
301,Some of the stats on this are the number of clients over $100 mn and number,POSITIVE,0.93524814
302,"of clients over $50 mn, both of which are expanding QoQ and as you look back to this time last",POSITIVE,0.55272985
303,"year, YoY.",POSITIVE,0.8675531
304,"With that, we feel good today to increase the revenue growth guidance and that is the clearest",NEGATIVE,0.9339428
305,indication that the demand is looking quite good right now.,NEGATIVE,0.9324419
306,"So overall, we are still in a good shape",NEGATIVE,0.9463265
307,with the demand and feeling quite confident with the way we have increased the guidance.,NEGATIVE,0.9150707
308,Ankur Rudra,POSITIVE,0.8230211
309,"Just a one thing on the talent supply side, how do you feel about the ability to meet with this",POSITIVE,0.92662096
310,continued strong demand?,POSITIVE,0.54826474
311,"Maybe a comment on the graduate on-boarding, for example, have you",POSITIVE,0.90711474
312,"been, able to reduce the time taken to billing from on-boarding for that part of the supply?",POSITIVE,0.74888897
313,Pravin Rao,POSITIVE,0.9091225
314,"If you remember last quarter we had talked about 35,000 campus hires this year, but based on the",POSITIVE,0.8991527
315,"demand outlook and increased attrition, we were able to quickly ramp up to 45,000 for this year.",NEGATIVE,0.9515089
316,In,POSITIVE,0.79748666
317,"fact this quarter, we added about 15,000 campus recruits, which was probably the highest ever in",NEGATIVE,0.7410237
318,Infosys history.,POSITIVE,0.94502074
319,"So today, we have the ability to recruit campus hires because of the investments we have made in",NEGATIVE,0.87746
320,"assessment platforms, the InfyTQ and another thing which allows us to access talent anywhere in",POSITIVE,0.8598643
321,India or even globally for that matter and the turnaround time is much faster.,POSITIVE,0.49995935
322,"So, we are pretty",POSITIVE,0.8183119
323,"confident and if there is a need to revise it further based on our needs, we are more than equipped",NEGATIVE,0.7282007
324,to deal with it.,POSITIVE,0.8570716
325,Ankur Rudra,POSITIVE,0.8230211
326,"Understood and just a last question on margins, Nilanjan, clearly very good execution this time.",NEGATIVE,0.9434592
327,In,POSITIVE,0.79748666
328,"terms of the headwinds and the tailwinds you see for us now, would it be fair to assume the",POSITIVE,0.8742286
329,headwinds are behind us?,NEUTRAL,0.7640219
330,"And could you also comment about why not narrow the margin band,",POSITIVE,0.9134921
331,while the revenue band has been narrowed?,POSITIVE,0.57767785
332,Nilanjan Roy,POSITIVE,0.8504617
333,"As we have talked about, we have done this compensation hike in Q2 and we will continue doing",NEGATIVE,0.87400573
334,"what is necessary, and in fact, Pravin also mentioned in Q3 we have also rolled out skill-based",POSITIVE,0.72392935
335,plans.,POSITIVE,0.9395843
336,"Also, the cost of hiring is going up so we will see some headwinds along with the seasonal",NEUTRAL,0.90664446
337,headwinds of furloughs and working days in the near future.,NEUTRAL,0.9608202
338,"But overall, I think for the margin",POSITIVE,0.6984741
339,"guidance perspective, we are quite comfortable to stay within the 22% to 24%.",NEGATIVE,0.6205363
340,"And historically, as",POSITIVE,0.86683935
341,we have seen we have never changed the margin guidance.,POSITIVE,0.888045
342,This is more of an operating band we,POSITIVE,0.9241236
343,are comfortable to be in.,POSITIVE,0.8584696
344,"So, we do not narrow that down historically.",POSITIVE,0.9172661
345,Moderator,POSITIVE,0.87275183
346,Moshe Katri,POSITIVE,0.90195084
347,"Congrats on strong results and Pravin, we are going to miss you.",POSITIVE,0.7315111
348,It has been a great experience,NEGATIVE,0.8817984
349,working with you and best of luck.,POSITIVE,0.58306307
350,"Two questions, one can you talk a bit about what we are doing",POSITIVE,0.9238093
351,to contain the attrition rates that have been pretty high.,POSITIVE,0.5559617
352,Maybe there is a way to also break down,POSITIVE,0.732488
353,attrition by voluntary and involuntary?,POSITIVE,0.5851775
354,The other question is more broad-based.,POSITIVE,0.924336
355,"Salil, looking at the",POSITIVE,0.8918292
356,"budget cycle for calendar 2022, maybe it is a bit too early, but are you getting any specific",POSITIVE,0.8970524
357,indications about budgets for next year?,POSITIVE,0.88863736
358,"And in that context, the strong growth that we are seeing",NEGATIVE,0.6023441
359,"this year, do we feel that this is still part of that multi-year spending cycle that the entry has been",POSITIVE,0.77849925
360,talking about for a couple of quarters?,POSITIVE,0.93124217
361,Thanks a lot.,POSITIVE,0.69190735
362,Pravin Rao,POSITIVE,0.9091225
363,Thank you very much for the wishes.,POSITIVE,0.7532352
364,"From a voluntary attrition perspective, as we mentioned on",POSITIVE,0.91847193
365,"an LTM basis, it increased to 20.1%.",NEGATIVE,0.9468046
366,Most of the attrition has been for people in lower JL’s,NEUTRAL,0.91154164
367,between 3 to 6 years of experience and this has been the trend in this industry.,POSITIVE,0.9019267
368,Because in this,POSITIVE,0.8465903
369,"experience levels, people are still not emotionally connected with the company and sometimes, it",POSITIVE,0.71540606
370,is easier to move around and that is what we are seeing this time around as well.,POSITIVE,0.8429799
371,"As I mentioned earlier that this is because of unprecedented demand, as well as the in some",POSITIVE,0.5114005
372,geographies we have also seen lack of talent mobility that has also fueled attrition in some of the,NEUTRAL,0.96565443
373,countries.,POSITIVE,0.9195729
374,"Obviously, we expect this to perhaps continue for a couple of quarters or so, but once",POSITIVE,0.55874467
375,we have more talent available in the system this should ease and get back to the earlier levels.,NEGATIVE,0.90156937
376,But,POSITIVE,0.61240166
377,"having said that, we have done significant interventions to contain this.",NEGATIVE,0.85968494
378,We have had two rounds of,POSITIVE,0.51357394
379,"compensation reviews, skill-based correction for high demand skills, targeted retention for new",POSITIVE,0.79073316
380,"skills, a higher number of promotions, and so on.",POSITIVE,0.6800279
381,"We are also focused a lot on mobility of people,",POSITIVE,0.8978316
382,"we have hired a lot of IJPs, we have focused a lot on employee engagement, over close to 5,000",POSITIVE,0.8378093
383,"employee connect sessions, a lot of focus on career development, continuous learning.",POSITIVE,0.89411455
384,We have,POSITIVE,0.8717359
385,"introduced new career paths like digital specialists, we have BITS programs, and we also",POSITIVE,0.76876
386,launched several wellness initiatives as well.,POSITIVE,0.87340885
387,"And as we talk, we are also ramping up our entry-",NEGATIVE,0.887569
388,"level, hiring in an aggressive way so that we are able to meet some of the demands that are out",NEGATIVE,0.8556721
389,there.,POSITIVE,0.8589682
390,"In the long term, we are also taking a fresh look at the talent strategy approach.",POSITIVE,0.74899167
391,This is not,POSITIVE,0.8715426
392,"only due to the current high attrition, but also our belief is that there will be fundamental shifts in",POSITIVE,0.5830446
393,employee thinking behavior in the post-COVID world.,POSITIVE,0.7646988
394,And that means you have to relook at the,POSITIVE,0.8193518
395,employee value proposition and fine-tune that.,POSITIVE,0.8872896
396,So that is something we have started taking a hard,POSITIVE,0.586374
397,look at.,POSITIVE,0.9253007
398,That is from an attrition and talent perspective.,POSITIVE,0.8942415
399,"In terms of the budgets, I think in the current context, budgets are no longer relevant, in that",POSITIVE,0.72973365
400,"sense, because there is a lot of pent-up demand; and at least this will continue for a few quarters,",NEGATIVE,0.8672733
401,if not years.,POSITIVE,0.88429594
402,And there are various reports that talk about tech intensity increasing from 3 to 5,NEGATIVE,0.9280795
403,impact.,POSITIVE,0.8996551
404,"One of the Gartner reports talked about the kind of spend in the next 2 to 3 years, one can",POSITIVE,0.9321645
405,probably go back to 2010 to see that kind of demand.,POSITIVE,0.8426773
406,"In that context, my own sense is while",POSITIVE,0.8997166
407,"budget, maybe, an operational thing that people will actually do that, but it may not have relevance",POSITIVE,0.9158108
408,because there is enough and more demand at least for the next few quarters.,NEGATIVE,0.6105913
409,Moderator,POSITIVE,0.87275183
410,Diviya Nagarajan,POSITIVE,0.9249967
411,Thanks for taking the questions and congrats on a strong execution in the quarter.,NEGATIVE,0.90779305
412,Just a couple of,POSITIVE,0.9170667
413,"questions from my end, could you talk about the puts and the takes that you had for margins this",POSITIVE,0.9335375
414,"quarter, I believe there are some headwinds as well.",NEUTRAL,0.74311346
415,"So, run us through how you have managed to",POSITIVE,0.8652184
