index,sentence,label,score
44,"Our sustained momentum in FY2022, large deal wins, robust deal pipeline and client confidence give us comfort to guide for 13% to 15% growth in FY2023 in constant currency.",NEGATIVE,0.95256877
45,"As we look ahead – as we build our new strategy, that is looking at cloud and the digital ecosystem, our focus on employees and the costs related to the post-COVID work environment, result in our operating margin guidance to be at 21% to 23% for FY2023.",NEGATIVE,0.6136626
46,"In terms of our business segment performance, let me go through the highlights by segment.",POSITIVE,0.93717337
47,"Financial Services segment grew at 14.1% in constant currency, with 8 large deal wins during the quarter and 27 large deal wins in FY2022.",NEGATIVE,0.9430812
48,Our US business continues to lead the growth as we work on large transformation programs.,NEGATIVE,0.8409473
49,Our overall large deal pipeline in Financial Services is healthy across the regions.,NEGATIVE,0.9275469
50,Retail segment growth was at 16.5% in constant currency.,POSITIVE,0.74909604
51,As clients focus on digital and cost takeout programs.,POSITIVE,0.8967456
52,"We are seeing integrated outsourcing deals and transformation programs in the areas of e-commerce, revenue growth management, supply chain, product life cycle management.",NEGATIVE,0.5973852
53,We won 16 large deals from the segment in the last year and continue to have a healthy deal pipeline.,NEGATIVE,0.94464254
54,The Communications vertical grew strongly at 29.2% in constant currency.,NEGATIVE,0.94177127
55,"We see customer experience, IT and network simplification, lean and automated zero-touch operations, time to market and integrated data for digital enterprise as the key themes for clients in this segment.",POSITIVE,0.70658314
56,"Energy, Utilities, Resources and Services segment growth increased further to 17.8% in constant currency.",NEGATIVE,0.9586607
57,"We see continued and increased emphasis on digital transformation, especially around customer experience, operational efficiency and associated legacy transformation.",NEGATIVE,0.9032201
58,We won 4 large deals in the last quarter and 18 large deals in FY2022 from this segment.,NEGATIVE,0.7319891
59,Growth in Manufacturing segment increased to over 50% in constant currency.,NEGATIVE,0.95677894
60,There were 6 large deal wins in this segment in the last quarter and 13 wins for the last year.,POSITIVE,0.5824274
61,"We are helping clients across engineering, IoT, supply chain, cloud ERP and digital transformation areas.",POSITIVE,0.7630812
62,Hi-Tech growth accelerated further to 20.9% in constant currency.,NEGATIVE,0.95507413
63,"We have seen an increase in deals based on edge computing, digital marketing and commerce.",NEGATIVE,0.9289971
64,Cybersecurity is another area of focus for clients due to increased threat perception.,POSITIVE,0.7018617
65,Life Sciences vertical grew by 16.2% in constant currency.,NEGATIVE,0.87498134
66,"Clients are driving digital transformation of clinical trials to reduce cycle times through direct data capture, digital patient engagement to accelerate drug discovery, and reducing costs.",NEGATIVE,0.60615677
67,"In the last quarter, we were rated as a leader in 11 ratings in the areas of cloud services, big data and analytics, IoT and engineering, modernization and artificial intelligence.",NEGATIVE,0.7239892
68,"We announced the acquisition of oddity, a Germany-based digital marketing and experience and e-commerce agency.",POSITIVE,0.89702404
69,"Together with Wongdoody, this will further strengthen our creative branding and experience design capabilities.",NEGATIVE,0.9070979
70,"With respect to capital allocation, the Board has proposed a final dividend of Rs.16 per share, taking the total dividend for financial year 2022 to Rs.31 per share, an increase of 14.8% over the past year.",NEGATIVE,0.9403119
71,I want to express Infosys' support for all the people impacted by the humanitarian crisis in Europe.,POSITIVE,0.73839813
72,The company advocates for peace between Russia and Ukraine.,POSITIVE,0.82405615
73,While Infosys does not have any active relationships with local Russian enterprises.,POSITIVE,0.9458509
74,"We have a small team of less than 100 employees based in Russia, which service a few of our global clients.",POSITIVE,0.9379476
75,"In light of the prevailing situation, we made a decision to transition these services from Russia to our other global delivery centers.",NEGATIVE,0.7229031
76,"To support this humanitarian assistance initiatives in the region, Infosys has committed $1 million towards Ukrainian relief efforts and is launching a program to digitally reskill up to 25,000 individuals.",NEGATIVE,0.7746307
77,"With that, let me hand it over to Nilanjan for his update.",POSITIVE,0.9376463
78,"Nilanjan Roy We navigated yet another year of a challenging environment with strong growth of 19.7% in constant currency, which is highest in a decade.",NEGATIVE,0.95393133
79,The incremental revenue added this year was higher than the incremental revenue added in the previous 3 years together.,NEGATIVE,0.9591283
80,This was backed by broad-based growth across segments and robust growth in our digital portfolio at 41.2% in constant currency.,NEGATIVE,0.95026064
81,"Operating margin for the fiscal stood at 23.0%, which was at the midpoint of our guidance band of 22% to 24%.",NEUTRAL,0.39826524
82,"In the backdrop of various supply side pressures, we rolled out various measures to reduce attrition – higher compensation increases, higher promotions, skill-based interventions, etc.",NEGATIVE,0.9117859
83,in addition to higher subcons.,POSITIVE,0.5747276
84,Free cash flows for FY2022 crossed $3 bn.,NEGATIVE,0.9191805
85,DSO reduced by 4 days to 67 days.,NEUTRAL,0.5192759
86,Capex increased marginally to $290 million on the back of continued focus on optimizing the infra creation-related spend.,NEGATIVE,0.95563924
87,"Consequently, FCF conversion as a percentage of net profit was 103% for FY2022.",POSITIVE,0.91383314
88,FY2022 EPS grew by 14.3% in dollar terms and 15.2% in INR terms.,NEGATIVE,0.94826454
89,Return on equity at 29.1% improved by 1.7% over the prior year.,NEGATIVE,0.95416623
90,Coming to Q4 performance - Revenues grew by 20.6% YoY in constant currency and 1.2% sequentially.,NEGATIVE,0.9480474
91,Growth was broad-based across verticals and geos and was in double digits.,NEGATIVE,0.53572565
92,"Although volume growth remained healthy in Q4, revenue growth in Q4 was impacted by usual seasonality, COVID impact during the early part of the quarter and the client related contractual provision, which we expect to recover in the future.",NEUTRAL,0.92568076
93,This also impacted Q4 margins.,NEUTRAL,0.9675076
94,Mining of large clients was extremely strong in FY2022.,NEGATIVE,0.80655575
95,$100 mn client count increased to 38 compared to 32 in FY2021.,NEGATIVE,0.95319057
96,We had 12 clients giving $200 mn annual revenues compared to 7 in FY2021.,NEUTRAL,0.6484082
97,"We have added ~22,000 net employees, including trainees during the quarter, the highest ever in the company's history, as we made headroom to capture the robust demand environment ahead.",NEGATIVE,0.9503714
98,"Consequently, utilization in Q4 declined to 87.0% while on-site effort mix inched up to 24.0%.",NEUTRAL,0.9730958
99,Voluntary LTM attrition increased to 27.7%.,NEGATIVE,0.93820405
100,"While LTM attrition continues to increase due to the tail effect, quarterly annualized attrition saw a decline of approximately 5% after flattening in the previous quarter.",NEUTRAL,0.96267426
101,"Q4 margins stood at 21.5%, a drop of 200 basis points versus previous quarter.",NEUTRAL,0.9759774
102,"The major components of the sequential margin movement were as follows: - 1.6% impact due to lower calendar working days, client contractual provision as explained above and other pricing puts and takes, - 0.6% impact due to lower utilization as we create capacity for the future, - 1% due to higher visa costs, third-party costs and other one-offs, which we benefited in Q3, and these were offset by - approximately 1.1% benefit due to salary-related benefits, including lower working days, leave costs and others.",NEUTRAL,0.83047485
103,Q4 EPS grew by 9.2% in dollar terms and 13.4% in rupee terms on a YoY basis.,NEGATIVE,0.95531535
104,Our balance sheet remained strong and debt-free.,NEGATIVE,0.948701
105,Consolidated cash and equivalents increased further to $4.9 bn at the end of the quarter.,NEGATIVE,0.9562214
106,"Free cash flow for the quarter was healthy at $761 million, and yield on cash balance remained stable at 5.29% in Q4.",NEGATIVE,0.5876563
107,"In line with our capital allocation policy, the Board has recommended a final dividend of Rs.16 per share, which will result in a total dividend of Rs.31 per share for FY2022 versus Rs.27 per share for FY2021, an increase of 14.8% per share for the year.",NEGATIVE,0.9438208
108,"Including the final dividend and recently concluded buyback over the last 3 years, we have returned 73% of FCF to shareholders under our current capital allocation policy.",NEGATIVE,0.5806984
109,"Our accelerated investments in the last few years in strengthening our digital footprint, enhancing large deal capabilities, localization, talent building has enabled us to gain consistent market share.",NEGATIVE,0.95005506
110,"With the acceleration of digital disruptions across industries, we see further scope to engage more closely with clients and capitalize on the expanding market opportunities.",NEGATIVE,0.92287713
111,"We have identified areas of investments, including doubling down our focus on digital portfolio, scaling our cloud offerings and further enhancing our capabilities in emerging technologies.",NEGATIVE,0.9306033
112,"We also remain committed to offer a compelling value proposition to employees through reskilling, incentivization and a holistic career growth.",NEGATIVE,0.8512489
113,We plan to neutralize the impact of some of these through aggressive cost optimization and value-led pricing driven by service and brand differentiation.,NEGATIVE,0.86184263
114,"This, along with post-pandemic normalization of some expenses, like travel, facilities, etc, is reflected in the revised margin guidance for FY2023 of 21% to 23%.",POSITIVE,0.7965978
115,"With the pandemic hopefully behind us, we hope to see many of you in person over the next few months.",POSITIVE,0.67657715
116,"With that, we can open the call up for questions.",POSITIVE,0.87561893
117,Ankur Rudra The first question is on the revenue guidance.,POSITIVE,0.92791295
118,"Last year at this time Salil, the revenue guidance was a bit low at the beginning of FY2022 and at that time I would say at least the order book was a lot stronger, you had a mega deal in the order book and perhaps a stronger exit rate.",NEUTRAL,0.4916621
119,"So curious to know, what gives the confidence of giving a slightly higher guidance at the beginning of this year, given, may be a more volatile macro situation.",POSITIVE,0.85331345
120,Salil Parekh Hi Ankur thanks for your question.,POSITIVE,0.8536216
121,What we see today is the demand environment from our client base is strong.,NEGATIVE,0.9477972
122,"We have for the year $9.5 bn in large deals, 40% net new, for the quarter $2.3 bn, 48% net new and a strong expansion in dimensions relating to new client work and relating to actual expansion across different strata.",NEGATIVE,0.9347527
123,"Given all those factors, we came to view that we could see growth in the range of 13% to 15% for this financial year.",NEGATIVE,0.9431168
124,"Ankur Rudra Understood this, does this bake in any kind of reversal that you alluded to from the client situation in fourth quarter?",POSITIVE,0.858793
125,Salil Parekh The client situation of the fourth quarter will reverse over some period.,NEUTRAL,0.5942745
126,We have not specified that.,POSITIVE,0.9364011
127,That reversal in any case is not such that will make a huge impact in the full year.,POSITIVE,0.8022825
128,"We see this coming really from the strong demand that we are seeing within the market from what we are seeing in the existing base of business that we have, the expansion within clients that we are seeing and some of the new client acquisitions that we are witnessing.",NEGATIVE,0.8237254
129,"So, putting all those factors we came to this view.",POSITIVE,0.8962631
130,"Ankur Rudra Thank you, appreciate this.",NEGATIVE,0.5543089
131,The follow up question is on margin.,POSITIVE,0.9266408
132,Maybe to start with could you elaborate the third-party cost which went up sharply this quarter and last quarter.,NEGATIVE,0.7209623
133,Is this the sticky new level given the nature of deals you are signing?,POSITIVE,0.9028134
134,"And as a connected question could you elaborate the cost that has been baked into to the 2023 guidance on margins including the wage inflation levels, the extent of the pace of the reversal or normalization of the cost base.",POSITIVE,0.926142
135,Nilanjan Roy I think many of the large deals which we get is through bundling our services with the software and the allied services and that gives us a multiplier effect in the client landscape.,POSITIVE,0.7207376
136,"And that you have seen over the last few years, so that is one of the reason also you have seen the cost increase and has helped us in the quarter and the year going forward.",NEGATIVE,0.93299484
137,On YoY perspective for FY2023 we do not call out the wage impact.,POSITIVE,0.809076
138,"As Salil said, it will be a competitive compensation hike.",NEGATIVE,0.7095913
139,"We will differentiate hike in talent and in some places, it will be more broad-based and of course around that we have a lot of cost optimization which we usually do.",POSITIVE,0.8149447
140,Some of them in the year past were tailwinds; for instance the onsite offshore mix.,NEUTRAL,0.77774245
141,But subcon became a headwind for us last year and some of these in a way will start going the other way in the following year.,POSITIVE,0.60845155
142,"Of course, the wage hikes will hit us early on the year as well in quarter one itself, so that will be initial headwind, but we have seen the overall impact of our cost optimization.",NEUTRAL,0.79266834
143,"On pricing, we have started discussions as Salil mentioned earlier with our clients.",POSITIVE,0.8153993
144,"Of course, this is a much longer haul, it happens more on T&M, renewals etc.",POSITIVE,0.893509
145,But for FP side of the business these are much more longer-term discussions.,POSITIVE,0.9332968
146,And these are also competitively bid but I think the discussions have started.,POSITIVE,0.7949447
147,All of our sales people are actively engaged in this and looking at the overall demand and the supply front on this and we have started making head way on this.,POSITIVE,0.74756306
148,Ankur Rudra Thank you and best of luck.,NEGATIVE,0.63050425
149,Moshe Katri Thanks for taking my questions.,POSITIVE,0.8345564
150,It would be great if you can give us some more clarity and the client specific contractual position that you mentioned is getting lot of questions from the investors.,POSITIVE,0.75931704
151,How does that impact the revenue numbers for the quarter.,POSITIVE,0.8322914
152,Is there a margin impact as well?,POSITIVE,0.83783096
153,I think any clarity is going to be really helpful.,NEGATIVE,0.62689406
154,"And this is a followup looking at the margin guidance for FY2023, I would see you have brought down by a 100 basis point.",NEUTRAL,0.84781027
155,Are we assuming they picked up from the wage inflation here and then are we also assuming lower pricing power which is something that actually did help in terms of levers hardly for the past 6 to 12 months.,NEGATIVE,0.6486579
156,Thanks a lot.,POSITIVE,0.69190735
157,Nilanjan Roy Moshe we heard the first question on the client contractual provision.,POSITIVE,0.90412885
158,Just to clarify this the numbers are very small.,POSITIVE,0.55496615
159,"These are less than a percentage, so it is not a big impact overall as people are making it out.",POSITIVE,0.8608175
160,So we just want to close that out.,POSITIVE,0.9254067
161,It is not a big impact but less than 1%.,POSITIVE,0.77697736
162,"But since you are looking at revenue growth sequentially, I just wanted to call it out.",POSITIVE,0.8540941
163,?,POSITIVE,0.7272428
164,"Moshe Katri The second question is to do with your margin guidance for FY23, does this actually factor an acceleration in wage inflation in FY2023 and maybe a lower pricing power also kind of not factored into those numbers?",NEUTRAL,0.45817605
165,"Nilanjan Roy Okay Moshe , I could make out something you said about of wage inflation as well.",POSITIVE,0.8283791
166,"So yes, in Q1, we will do a compensation hike as well both offshore and onsite and like I said it will be competitive.",NEGATIVE,0.82009923
167,"We will benchmark this, differentiate on talent side as well.",POSITIVE,0.89271575
168,"And that is something we have seen over the last year has helped us, especially towards people with the higher skills set, so that is working for us.",NEGATIVE,0.90441215
169,The overall margin guidance reflects a number of events.,POSITIVE,0.9354295
170,"We talked about some of the normalization of the pandemic benefits we have got on travel and facility, and some of that we are seeing is going to come back.",NEGATIVE,0.7653783
171,"And secondly, we are seeing some of the headwinds in terms of onsite-offshore which we think we have got a large benefit last year.",NEUTRAL,0.77337855
172,"So, we have to see how this opens up in the rest of the year.",POSITIVE,0.909702
173,"On the other hand, with our recruitment engine really kicking up now, we have seen subcon cost has actually plateaued during this quarter and we think for the rest of the year we should be able to pull back cost on subcon line.",NEGATIVE,0.80166894
174,Automation remains very core to us – cost optimization every year.,POSITIVE,0.7671214
175,"We are speaking of automating between 3000 to 4000 people and putting in BOTS and this I am talking about for the quarter, So, we have comprehensive plans and we have talked about pricing as well.",POSITIVE,0.86240524
176,21% to 23% is a reasonable margin band we think we are comfortable to operate in for the next year.,NEGATIVE,0.91027063
177,"If you recall even pre pandemic in a way, we were in at 21% to 23% as we ended FY2020 which was the year before pandemic at 21.3% if I am not mistaken.",POSITIVE,0.83044523
178,"So, we are at 21% to 23% and it is a comfortable range we are happy to be in.",NEGATIVE,0.81710196
179,Nitin Padmanabhan Hi good evening just two questions from my side.,POSITIVE,0.84510934
180,The first one was on the guidance.,POSITIVE,0.9343917
181,"So, if I understand right, typically you have a high visibility for the next two quarters and if I look at the last year net new deal wins, it is actually lower than the prior year.",NEUTRAL,0.93862456
182,"So I was just wondering is the mix of much smaller deals which do not reflect within the overall large deal win number that you are talking about, is that a much higher number, is that we should think about it?",POSITIVE,0.88452625
183,Second is the pipeline of larger deals that could come through that is giving the confidence or is it the smaller deals?,POSITIVE,0.91748893
184,so that was the first question.,POSITIVE,0.9084126
185,Salil Parekh Thanks for the question.,POSITIVE,0.8414518
186,We are not specifying today the different types of deals within the mix.,POSITIVE,0.9484185
187,Few points to give some color on it.,POSITIVE,0.9311509
188,First the pipeline that we see today is the largest pipeline we have in terms of large deals so that gives us a good confidence.,NEGATIVE,0.6475514
189,Our net new for the year is strong.,NEGATIVE,0.9551662
190,"We have good momentum exiting this financial year 2022, which gives us a good foundation for next year and we see continued traction within clients, as we are expanding as we are consolidating, as we are gaining market share, so that gives us added boost.",NEGATIVE,0.9503539
191,Hopefully that gives you a little bit of color on that.,POSITIVE,0.65375483
192,Nitin Padmanabhan Sure.,POSITIVE,0.9175775
193,The second question was in terms of how are you seeing onsite wage inflation broadly?,POSITIVE,0.83789253
194,"When you compare the prior year, do you see that at a much higher level for the industry in the US, just wanted your thoughts on that.",POSITIVE,0.88279957
195,"And finally, any specifics on the financial services space which is relatively softer and for life sciences where we actually saw a sharp drop for the quarter?",NEUTRAL,0.9232029
196,"Salil Parekh On the wage inflation, outside India is definitely higher than what we were seeing last year and that will become a part of how we factor in our overall compensation increase.",NEGATIVE,0.858277
197,Wage inflation numbers in most of the western geographies are higher today than they were 12 months ago.,NEGATIVE,0.89110535
198,"On financial services while in the quarter we saw the QoQ was lower, the overall demand environment remains very strong for us in this segment.",NEGATIVE,0.8796477
199,We see a good pipeline there.,NEGATIVE,0.8842146
200,There were significant large deal wins for the year and in the quarter and we remain confident with the growth in financial services.,NEGATIVE,0.9508164
201,"In life sciences conversely, we had in the previous quarter several onetime large deals and that is what made the QoQ look softer.",NEUTRAL,0.4664042
202,It is a smaller unit for us.,POSITIVE,0.92497414
203,"So, there is much more volatility in that, but the underlying demand in life sciences looks to be in good shape.",NEGATIVE,0.93535197
204,"Keith Bachman I want to ask a question about what are your assumptions on attrition and utilization, how should we be thinking about those terms over FY2023 and specifically if you could correlate what is the impact in terms of your margin guidance that you provided here today of 21% to 23%?",POSITIVE,0.93135685
205,Nilanjan Roy I think firstly on the utilization we are still at the higher end at 87%.,NEGATIVE,0.8346231
206,We want to bring this down.,POSITIVE,0.87755823
207,"Now having said that, a lot of this will happen through the influx of freshers.",POSITIVE,0.7951948
208,So it is not a dollar for a dollar in that sense.,POSITIVE,0.9097328
209,"The utilization will start impacting by putting in more freshers who are at a lower cost, but will still have a margin headwind.",NEUTRAL,0.70182323
210,But if you looking for a math behind it there is no straight correlation because it is not one for one in that sense.,POSITIVE,0.87329465
211,So that is first.,POSITIVE,0.9058958
212,"On attrition, yes, we think that this should come down in the following year.",POSITIVE,0.75308686
213,"The impact that we are seeing now – the impact of putting freshers in – not only by us, but by the entire industry because it was a rotational churn issue across the industry.",POSITIVE,0.48737076
214,"As the industry puts in freshers, there is a new source of supply across the industry as well.",NEGATIVE,0.59174925
215,And finally the intervention which we are doing now as well.,POSITIVE,0.87508905
216,"So, that is all factored into our 21% to 23%.",POSITIVE,0.93012834
217,"We are also looking at investments, like Salil said, around cloud, around digital capabilities; and therefore that is also baked into the next year’s guidance.",POSITIVE,0.80119634
218,"Keith Bachman Okay just to clarify and then I will see the floor, does the attrition come down for the industry or Infosys or both.",POSITIVE,0.9149349
219,"Nilanjan Roy It will be both, I do not think we are in a silo on the ecosystem, we are all interconnected.",POSITIVE,0.92766094
220,My attrition is somebody else lateral and somebody else’s attrition is my lateral and therefore if the industry has to come out of this it is fundamentally through volume.,POSITIVE,0.83281523
221,"Volume has to be through fresher, there is no other source of volume.",POSITIVE,0.9225918
222,"Therefore, as we start pumping in more freshers send them for training put them into the bench and then get them into production.",POSITIVE,0.91241527
223,"I think that cycle takes time, and you are already seeing the benefits of this – not only with us but also seeing that with the industry as well.",NEGATIVE,0.747894
224,Sudheer Guntupalli Good evening gentlemen.,POSITIVE,0.8974143
225,Thanks for giving me the opportunity.,NEGATIVE,0.59623015
226,Nilanjan as you made a comment that pre-pandemic we were at 21.3% margin and our current margin guidance band is also somewhere around that.,POSITIVE,0.8627133
227,So should we read this margin downgrade as more of a structural reset in the company’s aspirational profitability going back to pre-COVID margin levels or should we see this more of a onetime downgrade for FY2023 led by transient supply side pressures.,NEUTRAL,0.955146
228,"Nilanjan Roy Yes, so as you know, we only give the margin guidance for the year – 21% to 23% and FY2020 operating margin was 21.3%.",POSITIVE,0.9184316
229,"We will see where we end up, but the comfortable range for FY2023 is 21% to 23% - nothing more than that.",POSITIVE,0.864119
230,Just talking about the investments we are going to make- not only on talent.,POSITIVE,0.8527074
231,This is a robust demand environment and we do not want to lose highly skilled talents.,NEUTRAL,0.7352092
232,"So, we are rolling out interventions there.",POSITIVE,0.7435163
233,"We are rolling out intervention on the sales side, on the marketing side, on the digital, cloud.",POSITIVE,0.8560096
234,"So, we have multiple interventions and we have seen the success of that over the last 4 years and this is also in front of you.",POSITIVE,0.7067844
235,That is something which we have looked at and baked into the margin for next year.,POSITIVE,0.78078985
236,Sudheer Guntupalli Sure Sir.,POSITIVE,0.924191
237,"An extension of this question, the current exit margin rate in March 2022 and margin downgrade for FY2023 it gives a bit of a deja vu feeling of the exit margin and guidance situation exactly 3 years ago in March 2019.",POSITIVE,0.52105844
238,"In fact, we were not staring at so many margin headwinds like we are now barring a bit of an elevated attrition at that time.",POSITIVE,0.55398536
239,"So my question is, is it fair to assume that for the next four quarters margin trajectory will trace somewhat of a similar path like getting FY2020 where the current delta in growth will likely take care of the delta in margin headwinds or do you see any major divergences in terms of how the pattern will play out over the next four quarters.",POSITIVE,0.8570599
240,"Nilanjan Roy So, yes like I said on the margin side we know there is going to be a Q1 impact.",NEGATIVE,0.41502073
241,We know there are more longer-term cost optimizations we can resort to.,NEGATIVE,0.67779005
242,"So, I think it will be multiple impact of all this.",POSITIVE,0.88994735
243,"And of course, growth will always help.",POSITIVE,0.7362035
244,And you've seen that the impact of growth on our operating leverage also has helped in the past.,NEGATIVE,0.9425941
245,"So, it's a combination of all this.",POSITIVE,0.88839597
246,Divya Nagarajan Thanks for taking my question and congrats on what has been a great year overall.,NEGATIVE,0.61316854
247,"Looking forward I think this question has been attempted in different ways by some of the earlier questions that came through, but if you were to kind of think about your guidance on revenue for the full year and think about what are the puts and takes in terms of any delta that you might see on demand, how comfortable do you feel that you have a cushion?",POSITIVE,0.90034324
248,"If I also look at your past track record, you have taken up guidance pretty much every year consistently multiple times during the year.",POSITIVE,0.7957353
249,Is there enough buffer on both sides of the equation is my first question.,POSITIVE,0.90710276
250,"Salil Parekh The way we looked at our growth guidance, we really try to take a look at where is the demand today, what we have done with large deals, what we are seeing across many of our accounts.",POSITIVE,0.9001591
251,"For example, if you see some of the statistics that we share, number of accounts over $100 mn or $50 mn- they have seen big movements over the last 12, 24, 36 months.",POSITIVE,0.6985723
252,So we have some view of how that will move in the coming year and then how we are working on new account acquisitions and focus on that.,POSITIVE,0.90528744
253,"Those are the things we built in, to build the guidance and that is the approach we take every year and in April as we look ahead and then as the year moves, as we get other information we try to then see how best to communicate what we are seeing in the demand environment.",POSITIVE,0.91911376
254,It’s the same approach that we will follow.,POSITIVE,0.9230721
255,"So, it is difficult for example to say what does it mean there is a cushion and not cushion because at this stage what we see is what we are sharing which is 13% to 15% on the growth and in every quarter with the broad-based connection we have with clients and interactions across the industry we will continue to share what we see with respect to the demand environment.",POSITIVE,0.80276024
256,Divya Nagarajan Got it and on the margin side I think you have spoken repeatedly about investments and the investments for future growth.,POSITIVE,0.8727462
257,"If you were to split your margin you have taken your guide down roughly by a percent, could you split it into what could be the contribution of the investments and what is really the contribution of all the other metrics that you have talked about that are likely to reverse.",POSITIVE,0.5545285
258,"Nilanjan Roy Yes, so like I said, every year we have headwinds on compensation, that is the biggest one.",NEUTRAL,0.94277155
259,We have headwinds this year coming on the travel and the facility side as things open up.,NEUTRAL,0.9397495
260,"And then we have the cost optimization program which has been running quite well across all these years – automation, onsite-offshore, subcon – again which is also high, and then the investments which we are going to make.",POSITIVE,0.8095587
261,"We will start the investments during the year and this will be on sales side, cloud capabilities, people incentives on higher skill sets.",POSITIVE,0.82268727
262,"So, it is a combination of all this.",POSITIVE,0.8927465
263,We are not really calling out the separate impact and all of that has been considered into the margin structure.,POSITIVE,0.9450975
264,Divya Nagarajan Got it.,POSITIVE,0.9089389
265,My last question if I may.,POSITIVE,0.87194926
266,"So should I assume that your increased visa cost that you have had, you have almost had like 1% impact in the quarter, the higher visa application is to kind of offset some of the subcontracting pressures that you have had now with travel opening up in the western market.",NEGATIVE,0.87362933
267,"Nilanjan Roy Yes so as I mentioned, the impact in the margin walk was a combination of visa, third- party cost and another one off which we enjoyed in quarter three, that was altogether 1% in margin walk which I took you through.",POSITIVE,0.78002506
268,Divya Nagarajan Got it thanks I will come for follow up if there is any time and wish you all the best for the year.,POSITIVE,0.8050102
269,Pankaj Kapoor Hi!,POSITIVE,0.8591308
270,Thanks for the opportunity.,POSITIVE,0.63423806
