index,sentence,neg,neu,pos,compound
72,We are well positioned as full stack digital transformation player with combination of our domain plus technology plus operations plus digital transformation capabilities.,0.0,0.913,0.087,0.2732
73,"Performance of Retail segment remained strong as clients continue to make investments in new digital capabilities in commerce, marketing, and supply chain areas.",0.0,0.87,0.13,0.5106
74,"We are seeing focus on areas like a digital consumer, analytics, digital promotion, personalization, cybersecurity, etc.",0.0,0.857,0.143,0.3612
75,Our recently launched Equinox platform is seeing significant traction from both our existing and prospective clients.,0.0,0.809,0.191,0.3182
76,We have a strong pipeline and expect steady performance for the segment in the coming quarters.,0.0,0.82,0.18,0.5106
77,Communication segment performance improved meaningfully on both sequential and YoY basis on the back of ramp up earlier deal wins.,0.0,0.726,0.274,0.7783
78,We are witnessing increasing momentum for capex roll- out for 5G deployment across regions.,0.0,1.0,0.0,0.0
79,"Our 5G living labs, with its capabilities and the promise of future innovations, is a key differentiator in the 5G space for the CSPs and OEMs.",0.0,0.916,0.084,0.3182
80,"Energy, Utility, Resources and Services vertical growth accelerated further with continued large deal wins.",0.0,0.567,0.433,0.8126
81,"Clients in various subsegments are seeing return to normalcy and are prioritizing projects around cloud transformation, customer experience, data analytics, automation, cybersecurity, etc.",0.0,1.0,0.0,0.0
82,"In Energy, we have made good progress in developing the integrated ‘energy as a service’ solution, which aims to enable clients to access reliable low-carbon energy, use energy more efficiently and to optimize supply and demand across multiple users and assets without having to invest in additional energy infrastructure.",0.024,0.596,0.381,0.9628
83,"Growth in the Manufacturing segment accelerated significantly, with the Daimler deal starting to ramp up.",0.0,0.843,0.157,0.3818
84,"Growth in the last quarter was broad-based across Europe and the U.S., as well as across industrial, automotive, and aerospace industries.",0.0,0.802,0.198,0.5719
85,"We are seeing traction in engineering, IoT, supply chain, cloud ERP, digital transformation, and cloud migration areas.",0.0,1.0,0.0,0.0
86,"The pipeline continues to be strong, and this provides the confidence that growth in manufacturing for Infosys will continue to be market-leading.",0.0,0.674,0.326,0.8481
87,Infosys BPM performance remained stable as most of the geographies are witnessing a slow return to normalcy.,0.0,0.879,0.121,0.296
88,We see a good deal pipeline with a healthy share of digital deals.,0.0,0.562,0.438,0.7783
89,"Share of digital to overall revenues, increased further to 56.1% in Q2, with a continued strong growth of 42.4% YoY in constant currency terms.",0.0,0.662,0.338,0.8481
90,"We continue to see a big focus on digital transformation, especially around cloud, commerce, and employee experience as customers adjust to the permanent changes in both shopping habits and hybrid working.",0.0,1.0,0.0,0.0
91,Cost takeouts has been surpassed by the improvement of digital experiences that increase sales and drive customer or employee loyalty.,0.0,0.659,0.341,0.8316
92,"In the last quarter, we have been ranked as leader in nine digital services-related capabilities in the areas of cloud services, experience and design, big data and analytics, IoT and engineering, modernization and artificial intelligence.",0.0,0.916,0.084,0.4767
93,"To conclude, I want to thank you for the wholehearted support and wishes that you have extended to Infosys over the years.",0.0,0.69,0.31,0.7269
94,"Personally, I have thoroughly enjoyed the discussions with you and felt enriched from your insights.",0.0,0.796,0.204,0.5563
95,I wish you good health and success in your future endeavors.,0.0,0.462,0.538,0.8519
96,"With that, I will hand it over to Nilanjan.",0.0,0.714,0.286,0.4939
97,Nilanjan Roy families are safe and well.,0.0,0.5,0.5,0.6124
98,Revenue growth accelerated further in Q2 on the back of a very strong Q1.,0.0,0.66,0.34,0.7346
99,"We had strong double- digit growth in all the business segments led by Manufacturing and Financial Services, which grew at 42.5% and 20.5%, respectively YoY in constant currency.",0.0,0.751,0.249,0.8074
100,"Our largest geography, North America, also grew YoY at 23.1% in constant currency.",0.0,1.0,0.0,0.0
101,"Consequently, constant currency YoY growth increased to 19.4%, which is the highest growth in any quarter in the last 11 years.",0.0,0.711,0.289,0.743
102,"Sequential growth in Q2 also saw an acceleration to 6.3% in constant currency, which is the highest sequential revenue growth in any quarter in the last 6 years.",0.0,0.833,0.167,0.6369
103,"Q2 margin remained resilient at 23.6% despite headwinds from salary increases for most of our employees, higher subcon costs and supply side challenges which were largely offset by improvements in operational parameters and scale benefits resulting from growth.",0.0,0.794,0.206,0.7783
104,"The major components of the sequential margin movement are as follows: - 1.1% impact to the comp hikes given, effective July, to most of our employee base; - 0.5% increase in subcon costs, These were offset by: - 80 basis point benefit due to cost optimization and improvement in operating parameter, - a 50 basis points due to SG&A scale benefits, and - a 30 basis points benefit due to rupee and cross currency movement, Overall leading to a 10 basis points drop in sequential operating margins.",0.021,0.785,0.195,0.9477
105,Q2 EPS grew by 13% in dollar terms and 12.7% in rupee terms on a YoY basis.,0.0,1.0,0.0,0.0
106,"DSOs stood at 66 days, an improvement of four days versus the last quarter on the back of robust collection.",0.0,0.769,0.231,0.6597
107,"Free cash flow for the quarter was healthy at $712 mn and as a percentage of net profit, was 97.1% for Q2 and 109.5% for H1.",0.0,0.721,0.279,0.836
108,Yield on cash balance was 5.1% compared to 4.9% in Q1.,0.0,1.0,0.0,0.0
109,We have completed the buyback of Rs.,0.0,1.0,0.0,0.0
110,"9,200 crores on September 8 at an average price of approximately Rs.1,649 per share compared to a maximum buyback price of Rs.1,750 per share, leading to a 1.31% reduction in share capital.",0.0,0.815,0.185,0.6808
111,"With this, the company has returned approximately 82% of the free cash flow for FY20 and FY21 through dividends and buybacks, close to the 85% stated in our five-year capital allocation policy.",0.0,0.904,0.096,0.5106
112,"Even after the capital return, we continue to maintain a strong debt-free and liquid balance sheet.",0.0,0.82,0.18,0.5106
113,Consolidated cash and investments at the end of the last quarter was $4.42 bn.,0.0,1.0,0.0,0.0
114,"Return on equity increased further to 29.8%, an improvement of 3.1% over Q2 last year, driven by consistent performance and increased capital returns.",0.0,0.735,0.265,0.7351
115,"The Board has also announced an interim dividend of Rs.15 per share, an increase of 25% over prior year interim dividend and equal to the final dividend of prior year.",0.0,0.862,0.138,0.5423
116,"We see a robust demand environment, coupled with tightness in the supply side, which will result in higher recruitment, compensation and retention costs in the near future, along with seasonal headwinds relating to furloughs.",0.042,0.891,0.067,0.2263
117,"However, we remain confident of our ability to partially offset some of these cost headwinds through the structural cost efficiency improvement measures and deliver well within our margin guidance for the year.",0.0,0.673,0.327,0.9022
118,"With a strong H1 and a robust deal pipeline, we are increasing our revenue growth guidance for the year to 16.5% to 17.5% from 14% to 16% previously.",0.0,0.751,0.249,0.8074
119,We reiterate our operating margin guidance of 22% to 24% for the full year.,0.0,1.0,0.0,0.0
120,"With that, we can open the call for questions.",0.0,1.0,0.0,0.0
121,Ankur Rudra Pravin best wishes for the future and congratulations on completing a great innings on a high.,0.0,0.504,0.496,0.93
122,"Overall, clearly, very good results, it is nice to see the margin execution and the guidance upgrade.",0.0,0.617,0.383,0.8268
123,"To start off with Salil, if you could give us a sense about how you feel about demand visibility given where you see the increasing guidance, but we continue to see a drop in the large deals size.",0.098,0.902,0.0,-0.4404
124,So how do we think about that?,0.0,1.0,0.0,0.0
125,"Salil Parekh Thanks, Ankur, this is Salil.",0.0,0.674,0.326,0.4404
126,"In terms of demand, we continue to see a good pipeline in terms of large deals.",0.082,0.761,0.158,0.34
127,"We are participating more in areas which relate to digital transformation, which relate to cloud work, which relate to data and analytics work.",0.0,1.0,0.0,0.0
128,We see this across all industries and we see that large enterprises are accelerating their spend.,0.0,1.0,0.0,0.0
129,Their trust in us is strong because of the capabilities we have built.,0.0,0.625,0.375,0.765
130,"So, the demand from that piece, which is the large deals, is looking good.",0.091,0.732,0.177,0.34
131,"Then there is the demand which is from our existing client base, where we are seeing a tremendous expansion in all of our large clients.",0.059,0.941,0.0,-0.128
132,"Some of the stats on this are the number of clients over $100 mn and number of clients over $50 mn, both of which are expanding QoQ and as you look back to this time last year, YoY.",0.0,0.933,0.067,0.1531
133,"With that, we feel good today to increase the revenue growth guidance and that is the clearest indication that the demand is looking quite good right now.",0.043,0.638,0.319,0.8588
134,"So overall, we are still in a good shape with the demand and feeling quite confident with the way we have increased the guidance.",0.049,0.623,0.328,0.8173
135,"Ankur Rudra Just a one thing on the talent supply side, how do you feel about the ability to meet with this continued strong demand?",0.049,0.68,0.272,0.7845
136,"Maybe a comment on the graduate on-boarding, for example, have you been, able to reduce the time taken to billing from on-boarding for that part of the supply?",0.0,1.0,0.0,0.0
137,"Pravin Rao If you remember last quarter we had talked about 35,000 campus hires this year, but based on the demand outlook and increased attrition, we were able to quickly ramp up to 45,000 for this year.",0.044,0.888,0.067,0.2263
138,"In fact this quarter, we added about 15,000 campus recruits, which was probably the highest ever in Infosys history.",0.0,1.0,0.0,0.0
139,"So today, we have the ability to recruit campus hires because of the investments we have made in assessment platforms, the InfyTQ and another thing which allows us to access talent anywhere in India or even globally for that matter and the turnaround time is much faster.",0.0,0.876,0.124,0.6369
140,"So, we are pretty confident and if there is a need to revise it further based on our needs, we are more than equipped to deal with it.",0.0,0.802,0.198,0.7506
141,"Ankur Rudra Understood and just a last question on margins, Nilanjan, clearly very good execution this time.",0.0,0.718,0.282,0.7089
142,"In terms of the headwinds and the tailwinds you see for us now, would it be fair to assume the headwinds are behind us?",0.0,0.909,0.091,0.3182
143,"And could you also comment about why not narrow the margin band, while the revenue band has been narrowed?",0.0,1.0,0.0,0.0
144,"Nilanjan Roy As we have talked about, we have done this compensation hike in Q2 and we will continue doing what is necessary, and in fact, Pravin also mentioned in Q3 we have also rolled out skill-based plans.",0.0,1.0,0.0,0.0
145,"Also, the cost of hiring is going up so we will see some headwinds along with the seasonal headwinds of furloughs and working days in the near future.",0.0,1.0,0.0,0.0
146,"But overall, I think for the margin guidance perspective, we are quite comfortable to stay within the 22% to 24%.",0.0,0.795,0.205,0.7086
147,"And historically, as we have seen we have never changed the margin guidance.",0.0,1.0,0.0,0.0
148,This is more of an operating band we are comfortable to be in.,0.0,0.784,0.216,0.5106
149,"So, we do not narrow that down historically.",0.0,1.0,0.0,0.0
150,"Moshe Katri Congrats on strong results and Pravin, we are going to miss you.",0.083,0.57,0.347,0.7269
151,It has been a great experience working with you and best of luck.,0.0,0.469,0.531,0.9062
152,"Two questions, one can you talk a bit about what we are doing to contain the attrition rates that have been pretty high.",0.0,0.873,0.127,0.4939
153,Maybe there is a way to also break down attrition by voluntary and involuntary?,0.0,1.0,0.0,0.0
154,The other question is more broad-based.,0.0,1.0,0.0,0.0
155,"Salil, looking at the budget cycle for calendar 2022, maybe it is a bit too early, but are you getting any specific indications about budgets for next year?",0.0,1.0,0.0,0.0
156,"And in that context, the strong growth that we are seeing this year, do we feel that this is still part of that multi-year spending cycle that the entry has been talking about for a couple of quarters?",0.0,0.859,0.141,0.7096
157,Thanks a lot.,0.0,0.408,0.592,0.4404
158,Pravin Rao Thank you very much for the wishes.,0.0,0.631,0.369,0.4767
159,"From a voluntary attrition perspective, as we mentioned on an LTM basis, it increased to 20.1%.",0.0,0.877,0.123,0.2732
160,Most of the attrition has been for people in lower JL’s between 3 to 6 years of experience and this has been the trend in this industry.,0.078,0.922,0.0,-0.296
161,"Because in this experience levels, people are still not emotionally connected with the company and sometimes, it is easier to move around and that is what we are seeing this time around as well.",0.0,0.867,0.133,0.5994
162,"As I mentioned earlier that this is because of unprecedented demand, as well as the in some geographies we have also seen lack of talent mobility that has also fueled attrition in some of the countries.",0.093,0.786,0.12,0.2732
163,"Obviously, we expect this to perhaps continue for a couple of quarters or so, but once we have more talent available in the system this should ease and get back to the earlier levels.",0.0,0.812,0.188,0.8121
164,"But having said that, we have done significant interventions to contain this.",0.0,0.833,0.167,0.296
165,"We have had two rounds of compensation reviews, skill-based correction for high demand skills, targeted retention for new skills, a higher number of promotions, and so on.",0.054,0.899,0.047,-0.0516
166,"We are also focused a lot on mobility of people, we have hired a lot of IJPs, we have focused a lot on employee engagement, over close to 5,000 employee connect sessions, a lot of focus on career development, continuous learning.",0.0,0.823,0.177,0.802
167,"We have introduced new career paths like digital specialists, we have BITS programs, and we also launched several wellness initiatives as well.",0.0,0.667,0.333,0.7906
168,"And as we talk, we are also ramping up our entry- level, hiring in an aggressive way so that we are able to meet some of the demands that are out there.",0.049,0.951,0.0,-0.1531
169,"In the long term, we are also taking a fresh look at the talent strategy approach.",0.0,0.733,0.267,0.6249
170,"This is not only due to the current high attrition, but also our belief is that there will be fundamental shifts in employee thinking behavior in the post-COVID world.",0.0,1.0,0.0,0.0
171,And that means you have to relook at the employee value proposition and fine-tune that.,0.0,0.854,0.146,0.34
172,So that is something we have started taking a hard look at.,0.113,0.887,0.0,-0.1027
173,That is from an attrition and talent perspective.,0.0,0.714,0.286,0.4215
174,"In terms of the budgets, I think in the current context, budgets are no longer relevant, in that sense, because there is a lot of pent-up demand; and at least this will continue for a few quarters, if not years.",0.089,0.911,0.0,-0.4019
175,And there are various reports that talk about tech intensity increasing from 3 to 5 impact.,0.0,1.0,0.0,0.0
176,"One of the Gartner reports talked about the kind of spend in the next 2 to 3 years, one can probably go back to 2010 to see that kind of demand.",0.056,0.944,0.0,-0.2006
177,"In that context, my own sense is while budget, maybe, an operational thing that people will actually do that, but it may not have relevance because there is enough and more demand at least for the next few quarters.",0.054,0.946,0.0,-0.2936
178,Diviya Nagarajan Thanks for taking the questions and congrats on a strong execution in the quarter.,0.0,0.575,0.425,0.8625
179,"Just a couple of questions from my end, could you talk about the puts and the takes that you had for margins this quarter, I believe there are some headwinds as well.",0.0,0.937,0.063,0.2732
180,"So, run us through how you have managed to maintain margins in terms of the percentage, that is question number 1?",0.0,0.939,0.061,0.0772
181,Nilanjan Roy I think with my opening remarks it was quite straightforward in the margin walk.,0.0,1.0,0.0,0.0
182,"The compensation hike which was broad-based across, this is sequentially, that was 1.1%, impact, we had a 50 basis points hit on subcon, we have seen subcon cost going up due to higher fulfillment.",0.0,1.0,0.0,0.0
183,"These were offset by about 80 basis points due to cost optimization and other operating parameters, 50 basis points on scale benefits on SG&A and finally, a 30-basis points benefit on rupee and cross- currency movements.",0.0,0.801,0.199,0.802
184,I think the comp-hikes and subcons were negated by cost optimization and scale benefits.,0.0,0.698,0.302,0.6369
185,"Diviya Nagarajan I think, Pravin, you talked about the Daimler contract having started to ramp up this quarter.",0.0,1.0,0.0,0.0
186,"Could you give us some sense on how many months or weeks of revenue contribution came in from that, and was there any impact at all from that contract on margins?",0.0,1.0,0.0,0.0
187,Were there any pass-through revenues or anything that is yet to come or how should we think about that going forward?,0.0,1.0,0.0,0.0
188,"Nilanjan Roy Of course, Daimler has kicked in during the quarter, and its impact like I said you can see in Manufacturing.",0.0,0.894,0.106,0.3612
189,"But even if you strip that out – we cannot give the numbers – we can see broad- based growth across all sectors, both on a sequential and a YoY basis.",0.0,0.898,0.102,0.5267
190,"So, like I said earlier, it is more than icing on the cake rather than impacting the underlying growth.",0.0,0.769,0.231,0.6249
191,"Diviya Nagarajan My last question is, how should we think about seasonality going into December and March?",0.0,1.0,0.0,0.0
192,Should we expect normal seasonality as your guidance seems to suggest that you are looking up a fair amount of seasonal slowdown coming in at the top end as well.,0.0,0.813,0.187,0.6369
193,Is that something that is driven by holidays or do you think that is a normalization of demand that is coming in as well?,0.055,0.772,0.173,0.4939
194,"Salil Parekh There is always seasonality that you referenced, which I know you are aware of in Q3 and Q4.",0.0,1.0,0.0,0.0
195,"Especially in Q3, we will typically see some level of furloughs and typically, at least at Infosys, our Q4 trend down historically.",0.0,1.0,0.0,0.0
196,"Having said that, the demand environment today looks extremely strong.",0.115,0.611,0.274,0.4754
197,"So, we have tried to balance those two things, in increasing our guidance significantly from 14%, 16% to 16.5% to 17.5%; yet making sure that we add everything that we know of today to deliver to that high level of growth.",0.0,0.888,0.112,0.5994
198,"So, we will see some seasonality but there is a good overall demand outlook as well.",0.082,0.612,0.306,0.6956
199,Diviya Nagarajan Thanks for taking my question.,0.0,0.674,0.326,0.4404
200,"Pravin, it has been a pleasure working with you.",0.0,0.684,0.316,0.5719
201,Hope to stay in touch.,0.0,0.58,0.42,0.4404
202,And I will come back in the queue if there is time.,0.0,1.0,0.0,0.0
203,Thank you.,0.0,0.286,0.714,0.3612
204,Sandip Agarwal Good evening.,0.0,0.508,0.492,0.4404
205,Thanks for taking my question.,0.0,0.58,0.42,0.4404
206,Congratulation on a great set of numbers and best of luck Pravin for your great stint and ahead.,0.0,0.402,0.598,0.9652
207,"I have only one question, now Salil, if you see our composition of business, we have more than half of the business coming in from digital and the way the growth is coming in, it looks like the next couple of years we will be probably three-fourth of digital.",0.0,0.902,0.098,0.6249
208,"So my question is in the next couple of years does that not mean that structurally the industry is moving towards high-growth, if we see it from a longer-term perspective, or do you think that will be some saturation also in the digital growth, which we may see after a couple of years, any thought on that front?",0.0,0.956,0.044,0.3818
209,"Salil Parekh In terms of what we are seeing with clients today, the capabilities that we have built out, for example, Cobalt, we have also launched and announced other capability called Equinox, which is relating more to everything which is online in the e-commerce space, other areas of digital where we have invested and scaled up over the past few years, in those areas we are seeing the demand very strong in today.",0.02,0.914,0.066,0.5563
210,It is difficult to say in that two-year horizon that you are mentioning.,0.172,0.828,0.0,-0.3612
211,"Our growth guidance really is for this year where we have expanded it, but everything would indicate to me that this scaling up, this digital work transformation is something which is ongoing.",0.0,0.945,0.055,0.2023
212,And many large enterprises are at the early stages of their digital and cloud journey.,0.0,1.0,0.0,0.0
213,"So, I do not get the sense that we are in the late stage, but in terms of really the guidance, we are focused on this year.",0.0,0.884,0.116,0.5267
214,"But overall, I am quite optimistic that this is a good place to be in terms of the future.",0.0,0.701,0.299,0.8042
215,Sandip Agarwal Thanks a lot.,0.0,0.58,0.42,0.4404
216,That is all from my side and best of luck for the current quarter.,0.0,0.625,0.375,0.802
217,Thank you.,0.0,0.286,0.714,0.3612
218,Pankaj Kapoor Thanks for the opportunity.,0.0,0.412,0.588,0.6908
219,"Pravin, this increase in the fresher intake to 45,000 is this a one-time because of the current situation or you think there is a structural shift in the way we are going to hire?",0.0,0.935,0.065,0.3182
220,If you can give some sense of what kind of plans you have for offers in next year?,0.0,1.0,0.0,0.0
221,Pravin Rao It is obviously based on the current demand outlook that we are seeing and high attrition.,0.081,0.919,0.0,-0.128
222,It is too early to comment whether this will be a structural shift.,0.0,1.0,0.0,0.0
223,"But if whatever we are seeing and hearing, if this demand continues for the next several quarters, then given the shortage of talent you will probably see a higher number of such fresher recruitment globally.",0.109,0.764,0.127,0.1809
224,"It is a bit early to think about next year, but at this stage, we believe that it will be on similar lines that we have recruited this year but we will take a look at it on a QoQ basis.",0.0,1.0,0.0,0.0
225,"And as I mentioned earlier, to one of the questions, today, our ability to recruit on a dynamic basis is much higher, given the virtual ways, our investment in platform, ability to assess candidates all through the year through the online platform etc.",0.0,0.847,0.153,0.7351
226,"So, we will take look at it.",0.0,1.0,0.0,0.0
227,"So, at this stage our sense is, next year also would be on similar lines, but it is difficult to comment beyond that.",0.129,0.871,0.0,-0.5023
228,"Pankaj Kapoor Salil my question was also on the renewal that we have been seeing which have been obviously pretty dominating in the last 2, 3 quarters.",0.072,0.822,0.105,0.25
229,Our new deal wins seem to be just around less than 40% of the total large deal wins.,0.0,0.676,0.324,0.8255
230,Any sense in terms of what could be the reason behind it?,0.0,1.0,0.0,0.0
231,"Are you seeing fewer number of those mega contracts which were there, say 4 quarters back, are clients taking slightly longer-term in time to decide on them, or are you seeing them getting restructured more into smaller contracts?",0.0,0.966,0.034,0.0772
232,"Salil Parekh The way we look at it, is first, where we have an existing relationship and long-term work, we are very clear that we want to make sure that the clients trust in us, gives us a longer stay, extension and typically some level of expansion.",0.0,0.815,0.185,0.8313
233,And that is why it is more critical for us to need to look at the renewals in absolute value because that is depending on when those contracts come up; we want to make sure that that continues.,0.061,0.798,0.141,0.3415
234,"In terms of the new work, what we are seeing, as Pravin shared earlier, we had 22 large deals.",0.0,0.882,0.118,0.34
235,"Large deals, for us being deals over $50 mn in the quarter and that number is robust when we compare the number for H1 versus last H1, that is very robust.",0.0,0.778,0.222,0.6901
236,The one distinction is a mega-deal that we had last year in this quarter.,0.0,1.0,0.0,0.0
237,Those things in terms of mega-deals are things which are difficult to predict which quarter they will show up in.,0.116,0.884,0.0,-0.3612
238,"In our pipeline, we have a good representation of those.",0.0,0.756,0.244,0.4404
239,"Overall, the pipeline is quite strong.",0.0,0.582,0.418,0.5563
