index,sentence,label,score
67,5.,POSITIVE,0.9143761
68,"Operating margins strong at 23.5%,",NEGATIVE,0.9526848
69,6.,POSITIVE,0.91026866
70,"Free cash flow at $719 mn,",POSITIVE,0.6527334
71,7.,POSITIVE,0.88576543
72,Attrition increased to 25.5%.,NEGATIVE,0.9355768
73,Our quarterly annualized attrition was flattish on,NEUTRAL,0.90200084
74,sequential basis.,POSITIVE,0.9366577
75,8.,POSITIVE,0.90848124
76,"We had a net headcount increase of 12,450, attracting leading talent from the",NEGATIVE,0.95370466
77,market.,POSITIVE,0.9304163
78,"We have increased our annual college recruiting target to 55,000, and",NEGATIVE,0.8899131
79,Nilanjan will comment more on this.,POSITIVE,0.9472062
80,We remain comfortable with our ability to,NEGATIVE,0.8243867
81,support our clients in their digital transformation journey.,POSITIVE,0.76160884
82,Financial Services grew at 15.5% in constant currency with broad-based growth across,NEGATIVE,0.75105494
83,geographies and steady deal wins.,POSITIVE,0.8465833
84,"Various subsectors like lending, mortgage, cards,",POSITIVE,0.94961035
85,payments are seeing increasing demand and clients are driving cloud transformation,NEGATIVE,0.88548553
86,initiatives to build resilient and scalable platforms.,NEGATIVE,0.54953474
87,Retail segment growth was 19.8% in constant currency.,POSITIVE,0.720043
88,Across sub-verticals we see,POSITIVE,0.76837075
89,"increased client spend on digital transformation including digital supply chain,",NEGATIVE,0.8796084
90,omnichannel commerce and large-scale cost take out initiatives to improve business,NEGATIVE,0.7294297
91,resilience.,POSITIVE,0.60308325
92,We signed six large deals in this segment during the quarter.,NEGATIVE,0.6965977
93,The communication segment grew at 22.2% on constant currency.,NEGATIVE,0.7747691
94,Segment performance,POSITIVE,0.9284572
95,continued to improve with ramp up of recently won deals.,NEGATIVE,0.95788425
96,Client budgets are focused on,POSITIVE,0.92885745
97,"digital and customer experience programs, increasing networking infrastructure, cloud",NEGATIVE,0.7279946
98,adoption and security with emphasis on 5G roll out and innovation spend.,POSITIVE,0.83659494
99,"Energy, utility, resources and services vertical continued its steady performance with",NEGATIVE,0.9563862
100,13.6% constant currency growth and 5 large deal wins.,NEGATIVE,0.9433879
101,We are seeing gradual,POSITIVE,0.8259603
102,improvement across various businesses as consumer spending continues to increase and,NEGATIVE,0.9584067
103,clients focus on increasing technology transformation around areas like customer,NEGATIVE,0.61648005
104,"experience, cybersecurity and workload migration to the cloud.",POSITIVE,0.88078254
105,The manufacturing segment growth accelerated to 48.4% in constant currency with,NEGATIVE,0.95547336
106,continued ramp up of the Daimler deal and steady momentum in new deal wins.,NEGATIVE,0.9503439
107,We see,POSITIVE,0.9166872
108,across the broad improvement within various subsectors and geographies and expect,POSITIVE,0.75838304
109,"client focus to continue in areas like smart manufacturing, IOT, digital supply chain and",NEGATIVE,0.78110313
110,connected products.,POSITIVE,0.93753874
111,High tech growth improved during the quarter to 18.9% in constant currency.,NEGATIVE,0.9602259
112,Clients are,POSITIVE,0.93391985
113,seeing renewed momentum in terms of spending on digital transformation programs linked,NEGATIVE,0.9491417
114,"to customer, partner and employee engagement.",POSITIVE,0.84012765
115,Life Sciences segment performance also improved further to 29.2% growth.,NEGATIVE,0.9636376
116,Adoption of,POSITIVE,0.84188807
117,"digital health, telehealth and patient access programs are resulting in significant uptake of",NEGATIVE,0.8933007
118,"cloud, IoT, patient facing applications, patient portals and next generation CRM work.",POSITIVE,0.9435961
119,We had a very strong performance on our income tax program in India.,NEGATIVE,0.95497006
120,Over 5.8 crores or,POSITIVE,0.90697795
121,"58 mn tax returns were filed using the new system, by the deadline of December 31,",POSITIVE,0.94856286
122,2021.,POSITIVE,0.90211743
123,On the last day over 46 lakhs or 4.6 mn tax returns were filed and during the peak,POSITIVE,0.639159
124,"hour over 5 lakh or 500,000 tax returns were filed.",POSITIVE,0.55991375
125,We are proud to be supporting the,NEGATIVE,0.693833
126,digital strategy for India and for the government and working on this program for future,POSITIVE,0.83185804
127,modules that will be developed.,POSITIVE,0.9136568
128,Across digital services in Q3 we have been ranked as a leader in 12 digital service-related,NEGATIVE,0.92480344
129,"capabilities from Artificial Intelligence and Automation, Cloud Services, IoT, Engineering,",POSITIVE,0.91877866
130,Modernization and Big Data and Analytics.,POSITIVE,0.9226821
131,The strong overall performance stems from four years of sustained strategic focus in,NEGATIVE,0.9365441
132,"areas of relevance for our clients in digital and cloud, continuing reskilling of our people",NEGATIVE,0.52627015
133,and deep relationships of trust our clients have with us.,POSITIVE,0.71072656
134,With this strong momentum in the business and robust pipeline we are increasing our,NEGATIVE,0.9492496
135,annual revenue growth guidance from 16.5% to 17.5% moving up to 19.5% to 20% in,NEGATIVE,0.9397774
136,constant currency.,POSITIVE,0.9267267
137,Our operating margin guidance remains at 22% to 24%.,POSITIVE,0.858523
138,"With that, let me hand it over to Nilanjan for his update.",POSITIVE,0.9376463
139,Nilanjan Roy,POSITIVE,0.8504617
140,everyone a very happy and safe 2022.,POSITIVE,0.80305314
141,Q3 was another successive quarter of continued acceleration in revenues at 7.0%,NEGATIVE,0.9401035
142,"constant currency QoQ growth and 21.5% constant currency YoY growth, the highest YoY",NEGATIVE,0.9442381
143,growth in the last 11 years.,NEGATIVE,0.7284222
144,"Despite the Q3 seasonality, we registered strong broad-based growth across geographies",NEGATIVE,0.95501256
145,and verticals.,POSITIVE,0.9125187
146,Our largest geography North America grew at 21.4% while growth in Europe,NEGATIVE,0.8164124
147,accelerated to an impressive 27.2% YoY in constant currency terms.,NEGATIVE,0.9539985
148,"Retail,",POSITIVE,0.9235455
149,"Communication, Manufacturing and Life Sciences also saw 20% or higher YoY growth in",NEGATIVE,0.9064966
150,constant currency.,POSITIVE,0.9267267
151,"We won 25 large deals, and large deals being those with over $50 mn TCV, totaling $2.5",NEGATIVE,0.81199956
152,"bn of TCV - 6 in Retail, 5 each in Financial Services, Communications, and Energy Utilities",POSITIVE,0.94031864
153,"Resources and Services, 2 in Manufacturing and 1 each in Hi-Tech and Life Sciences.",POSITIVE,0.9325827
154,"Region wise, 16 were from the Americas, 7 were from Europe and 2 from RoW.",POSITIVE,0.9160729
155,The share,POSITIVE,0.81538314
156,of new deals increased in Q3 to 44% within the large deal numbers.,NEGATIVE,0.95049846
157,"Client metrics improved further with $100+ mn client count increasing to 37, an increase of",NEGATIVE,0.96042603
158,8 YoY.,POSITIVE,0.7361174
159,We added 111 new clients in the last quarter.,NEGATIVE,0.6478728
160,Operating parameters remain robust.,NEGATIVE,0.907252
161,Utilization was 88.5% slightly lower than the,NEUTRAL,0.96269
162,previous quarter easing some of the supply side pressures.,NEGATIVE,0.5916782
163,Onsite effort mix inched up,NEGATIVE,0.93444616
164,marginally to 23.8%.,NEGATIVE,0.9326078
165,"Q3 margins remained resilient at 23.5%, a marginal drop of 10 basis points versus",NEUTRAL,0.94759375
166,previous quarter.,NEUTRAL,0.74612147
167,The major components of the sequential margin movements were as,POSITIVE,0.8978286
168,below.,POSITIVE,0.89025015
169,• 80 basis points impact due to comp hikes and promotions and other employee,NEUTRAL,0.9181964
170,interventions.,POSITIVE,0.9205287
171,• 40 basis points impact due to the utilization decline.,NEUTRAL,0.9674479
172,These were offset by,POSITIVE,0.5567087
173,• About 20 basis points benefit due to the rupee and other cross currency,NEGATIVE,0.72533035
174,"movements,",POSITIVE,0.86924607
175,"• 50 basis point benefit due to cost optimization, and",NEGATIVE,0.919327
176,• 40 basis points benefit due to SG&A leverage other one-offs included therein.,POSITIVE,0.7657195
177,Q3 EPS grew by 11.2% in dollar terms and 13.1% in rupee terms on a YoY basis.,NEGATIVE,0.9555228
178,"Although DSO increased to 71 days due to higher seasonal billing, an increase of 5 days",NEGATIVE,0.94929534
179,"versus the last quarter, it is still a reduction of 2 days versus Q3 of prior year.",NEUTRAL,0.93423563
180,Free cash flow for the quarter was healthy at $719 mn.,NEGATIVE,0.683414
181,Free cash flow as a percentage of,POSITIVE,0.9265078
182,net profit was 93% for Q3 and 104% for the nine months till date.,POSITIVE,0.90146357
183,Yield on cash balances improved to 5.29% compared to 5.13% in Q2.,NEGATIVE,0.95115155
184,Our balance sheet remains strong and debt free.,NEGATIVE,0.9119858
185,Consolidated cash and investments at,POSITIVE,0.944212
186,the end of the quarter stood at $4.28 bn after paying over $840 mn of interim dividend,NEUTRAL,0.49898183
187,during the quarter.,POSITIVE,0.724046
188,Return on equity increased further to 30.4% an increase of 3% over Q3 of the prior year,NEGATIVE,0.95342326
189,driven by robust performance and consistent capital returns through share buyback and,NEGATIVE,0.9313991
190,increased dividend payout.,NEGATIVE,0.95196825
191,"On the employee front, voluntary 12 months attrition increased to 25.5% and as Salil",NEGATIVE,0.76049596
192,"commented while LTM attrition continues to increase due to the tail effect, quarterly",NEUTRAL,0.73678994
193,annualized attrition was flattish compared to Q2.,NEUTRAL,0.8952117
194,We will continue to invest in all aspects of,POSITIVE,0.6350989
195,"talent retention including compensation, promotion, skill incentives, learning and career",POSITIVE,0.9397896
196,progression.,POSITIVE,0.9207022
197,"We have also simultaneously increased the pace of hiring, talent reskilling and the usage",NEGATIVE,0.8707995
198,of subcon to prevent any impact on client commitment.,POSITIVE,0.9064585
199,"We have added 12,450 talented",POSITIVE,0.91151124
200,"employees on a net basis in the last quarter, which is the highest ever.",NEGATIVE,0.89922273
201,Our global college,POSITIVE,0.81831545
202,"graduate hiring program for this fiscal has been increased to over 55,000 versus the",NEGATIVE,0.9514287
203,"previous quarter number of 45,000.",POSITIVE,0.7916033
204,In India over 93% of Infoscions have received at least one dose of the vaccine.,POSITIVE,0.850851
205,Over 97%,POSITIVE,0.7689207
206,"of our employees globally are presently working in remote environment, due to the",NEUTRAL,0.84410304
207,heightened precautions against the new variant.,NEGATIVE,0.64451104
208,"Driven by robust demand environment and our continued market share gains, we are",NEGATIVE,0.9237729
209,further increasing our revenue guidance for FY22 to 19.5% to 20% in constant currency,NEGATIVE,0.9441412
210,terms from 16.5% to 17.5% earlier and the margin guidance remains unchanged at 22%,POSITIVE,0.75624365
211,to 24%.,NEGATIVE,0.8422873
212,With that we can open the call for questions.,POSITIVE,0.9102474
213,Moderator,POSITIVE,0.87275183
214,Thank you very much.,POSITIVE,0.7809915
215,We will now begin the question-and-answer session.,POSITIVE,0.9459576
216,The first,POSITIVE,0.7616694
217,question is from the line of Ankur Rudra from JP Morgan.,POSITIVE,0.93436795
218,Please go ahead.,POSITIVE,0.9280336
219,Ankur Rudra,POSITIVE,0.8230211
220,Thank you.,POSITIVE,0.8234813
221,Happy New Year to everybody.,POSITIVE,0.758683
222,Excellent numbers for the quarter.,NEGATIVE,0.94609725
223,Clearly a,POSITIVE,0.671514
224,very strong growth for Q3.,NEGATIVE,0.94924295
225,Could you start with elaborating on –where did the incremental,POSITIVE,0.9327105
226,surprise come from.,POSITIVE,0.89360607
227,The full year guidance has increased sharply given the performance,NEGATIVE,0.9188316
228,"of the quarter, so where did the surprise come from?",POSITIVE,0.869916
229,Salil Parekh,POSITIVE,0.8668303
230,"I think what we are seeing in the quarter and then all through the year, is the demand",POSITIVE,0.8398794
231,environment remains extremely strong and then more and more traction on the digital and,NEGATIVE,0.69353956
232,the cloud programs.,POSITIVE,0.938383
233,This is where we saw the most impact in the quarter in Q3 where we,POSITIVE,0.73034096
234,had really strong growth of 7% and therefore the overall guidance jumping up by 3%.,NEGATIVE,0.9557533
235,"In terms of verticals, as I was sharing earlier, it is broad based.",POSITIVE,0.9287007
236,"Of course, we have a very",POSITIVE,0.83274823
237,"strong momentum in Manufacturing, that was something that we were looking forward to.",NEGATIVE,0.8747274
238,There is also good momentum that we are seeing in Financial Services given it is our,NEGATIVE,0.86750627
239,"largest vertical, and in Life Sciences that I described before.",POSITIVE,0.8805452
240,Retail is starting to come,POSITIVE,0.7615666
241,back nicely as well.,POSITIVE,0.72804224
242,"As Nilanjan mentioned, Europe again was a stand-out.",POSITIVE,0.6631793
243,Those are,POSITIVE,0.89506763
244,some of the elements that gave us a good outcome in Q3 and then the support for,NEGATIVE,0.82222426
245,expanding the guidance for the full year.,POSITIVE,0.82172716
246,Moderator,POSITIVE,0.87275183
247,ahead.,POSITIVE,0.8797629
248,Moshe Katri,POSITIVE,0.90195084
249,Thanks.,POSITIVE,0.8105389
250,Happy New Year and congrats on very strong results.,NEGATIVE,0.9038378
251,"One, I know you just",POSITIVE,0.9063776
252,"reported Q3 but are you ready to talk about the entire calendar year down the road, 2022.",POSITIVE,0.9311017
253,"What has changed in terms of visibility, may be that is the biggest question if this is",POSITIVE,0.8942399
254,sustainable down the road.,POSITIVE,0.7579965
255,And what can you talk about in terms of color to give us that,POSITIVE,0.9371018
256,comfort.,POSITIVE,0.86900043
257,And then maybe you can talk a bit about some of the cushion in margins and,POSITIVE,0.8123853
258,"what sort of levers that you have in the model, especially as some of the bench continues",POSITIVE,0.9280347
259,to benefit from the off campus recruiting that has been pretty robust?,NEGATIVE,0.8875286
260,Salil Parekh,POSITIVE,0.8668303
261,I will start off with the first part and then Nilanjan will comment on the margin levers.,POSITIVE,0.94271815
262,Of,POSITIVE,0.82584214
263,"course, as you referenced, we have guidance till March 31 of this year.",POSITIVE,0.9454977
264,The color for this,POSITIVE,0.9193508
265,"calendar year, broadly we see the demand environment remaining strong, the client",NEGATIVE,0.92790025
266,budgets are looking good.,NEGATIVE,0.78396386
267,Our overall pipeline is the largest we have had in a very long,NEGATIVE,0.6826866
268,"time, the number of large deals that we were able to close, as Nilanjan shared- 25 large",POSITIVE,0.7952529
269,deals each over $50 mn for a total of $2.5 bn and 44% of these are net new.,POSITIVE,0.9005733
270,"So, all of",POSITIVE,0.92164177
271,those things are giving us good confidence to what we see going ahead.,NEGATIVE,0.7307794
272,"Of course, we",POSITIVE,0.9088913
273,will have our guidance for our financial year in April.,POSITIVE,0.94621664
274,Nilanjan over to you please.,POSITIVE,0.9267526
275,Nilanjan Roy,POSITIVE,0.8504617
276,"Moshe, on the margins, like I mentioned earlier they were quite resilient for the quarter.",NEGATIVE,0.8024891
277,A,POSITIVE,0.8894127
278,"couple of things I just want to call out – the cost levers whether it is onsite or offshore mix,",POSITIVE,0.933573
279,"the pyramid, whether it is automation – these are some of the things which we",POSITIVE,0.9291528
280,continuously look at deploying.,POSITIVE,0.87615794
281,Subcon costs for us have really ramped up and that is an,NEGATIVE,0.9003195
282,area we will continue to look going ahead.,NEGATIVE,0.6293254
283,The other thing is pricing and it is important to,POSITIVE,0.9140995
284,"talk about that as the higher cost now starts feeding into our new deals, that should",POSITIVE,0.8486781
285,"hopefully have benefits and as digital talents start getting priced in, we are able to show",NEGATIVE,0.9087601
286,value to our clients in terms of the business transformation.,POSITIVE,0.6885818
287,This is something we have,POSITIVE,0.9038243
288,started recently.,POSITIVE,0.9271058
289,It will take time to pick up and we have talked about it in the last quarter,POSITIVE,0.5131694
290,as well.,POSITIVE,0.8252702
291,But really that is our focus - we can start getting into both our cost side and also,POSITIVE,0.7985406
292,make sure that we are not leaving any free cents and dollars on the table as part of our,POSITIVE,0.9220921
293,pricing negotiations.,POSITIVE,0.9078246
294,Moderator,POSITIVE,0.87275183
295,go ahead.,POSITIVE,0.89627224
296,Kumar Rakesh,POSITIVE,0.89458907
297,"Good evening, everyone and thank you for taking my question.",POSITIVE,0.679424
298,Congratulations on great,POSITIVE,0.7956046
299,set of numbers.,POSITIVE,0.9088492
300,"My first question Salil was, going into this calendar year, one of the largest",POSITIVE,0.91949064
301,peers has indicated a strong growth to continue through this year.,NEGATIVE,0.95131284
302,"So, looking at our",POSITIVE,0.9197048
303,"portfolio of capabilities and offerings, do you see that we are well aligned to meet or beat",NEGATIVE,0.63187397
304,their growth numbers or do you see that we need some intervention to build up our own,NEGATIVE,0.58337355
305,capability to continue this strong growth going ahead?,NEGATIVE,0.71427965
306,Salil Parekh,POSITIVE,0.8668303
307,Thanks for that question.,POSITIVE,0.79512614
308,I think in terms of our key capabilities set we have a strong,NEGATIVE,0.8556203
309,portfolio across digital and cloud.,POSITIVE,0.93544984
310,Our Cobalt set of capabilities is resonating extremely,NEGATIVE,0.63702375
311,well with our clients.,POSITIVE,0.6315455
312,We see the growth of digital being a reflection of the focus we have,POSITIVE,0.8714677
313,had on making these choices over the past four years and positioning the portfolio to,POSITIVE,0.8727464
314,where the clients are looking for work.,POSITIVE,0.8204796
315,We also see the cloud capability faster growing,NEGATIVE,0.8486402
316,than our digital capability.,POSITIVE,0.6249949
317,"So yes, we are well positioned to benefit from this.",NEGATIVE,0.8478744
318,In addition to,POSITIVE,0.89029634
319,"that, we have a strong set of capabilities in automation, in modernization.",NEGATIVE,0.49636993
320,We have even,POSITIVE,0.8093559
321,"seen our core services which is now stable this quarter in terms of growth, it is not",NEGATIVE,0.9232826
322,shrinking.,NEUTRAL,0.73636764
323,Our view is that our set of capabilities and portfolio is reflecting what our client,POSITIVE,0.9047558
324,expectation/demands are and we have the ability to meet all those from the capability,NEGATIVE,0.6648674
325,perspective.,POSITIVE,0.8997022
326,We also have the capacity to expand and recruit at the college level and our,NEGATIVE,0.76528424
327,"ongoing recruiting ability to attract talent, which is helping us to deliver all our projects on a",NEGATIVE,0.88653463
328,regular basis.,POSITIVE,0.943059
329,"So, we feel quite good on how we are positioned as we go ahead into the",NEGATIVE,0.7653035
330,next year as well.,POSITIVE,0.9201215
331,Kumar Rakesh,POSITIVE,0.89458907
332,22% to 24%.,POSITIVE,0.87925464
333,Currently we are trending to the upper end so how should we see that?,POSITIVE,0.8864597
334,Is it,POSITIVE,0.9081908
335,that you want to keep flexibility with yourself in anticipation of any large deals or any cost,POSITIVE,0.85716647
336,headwind potentially coming from that or is there an indication that you are looking at,POSITIVE,0.5829925
337,"some major cost headwind which are going to come in, in the coming quarter and hence",NEUTRAL,0.929307
338,you are maintaining this margin guidance band?,POSITIVE,0.8842208
339,Nilanjan Roy,POSITIVE,0.8504617
340,The margin guidance for us is really a comfort range within which we operate so we really,POSITIVE,0.7612064
341,do not fine tune that as the year progresses.,POSITIVE,0.9195098
342,"So, this is a band which we are happy to be",POSITIVE,0.79024494
343,in.,POSITIVE,0.9236176
344,It was 21% to 23% just before COVID.,POSITIVE,0.67138577
345,Now we are 22% to 24%.,POSITIVE,0.88179076
346,So that is more like a,POSITIVE,0.8902602
347,way for us rather than anything else.,POSITIVE,0.88803345
348,"And looking ahead, we continue to focus on our cost",POSITIVE,0.6306175
349,"headwinds potentially in terms of employees, etc., it could be travel into the next year, but",NEUTRAL,0.94849086
350,"like I said we have a very robust cost optimization and of course other levers, which we",POSITIVE,0.67757016
351,"continue to deploy, so we are quite confident on this.",NEGATIVE,0.8830226
352,Kumar Rakesh,POSITIVE,0.89458907
353,So more of a reflection of flexibility that you want to keep for yourself?,POSITIVE,0.9156229
354,Nilanjan Roy,POSITIVE,0.8504617
355,Correct.,POSITIVE,0.90433675
356,Kumar Rakesh,POSITIVE,0.89458907
357,Thanks a lot for those answers.,POSITIVE,0.68495274
358,I will fall back.,POSITIVE,0.6594348
359,Moderator,POSITIVE,0.87275183
360,Markets.,POSITIVE,0.92791516
361,Please go ahead.,POSITIVE,0.9280336
362,Keith Bachman,POSITIVE,0.9043514
363,"I want to pick up on the same line of questioning, if you could just talk about the puts and",POSITIVE,0.9241293
364,"takes as you see margins over the course of the next three, four, five quarters, really",POSITIVE,0.93582237
365,calendar year 2022 and I wanted to see if you could address what you think the impact,POSITIVE,0.912661
366,would be for a few things.,POSITIVE,0.9367323
367,"For instance, one of the headwinds this quarter was utilization,",NEUTRAL,0.91631967
368,how should we be thinking about utilization transform during calendar year 2022?,POSITIVE,0.92111063
369,Number,POSITIVE,0.846869
370,"two you said attrition was flat sequentially, how do you think about attrition trends over the",POSITIVE,0.8089232
371,course of calendar year 2022?,POSITIVE,0.91157097
372,Do you think that they can move lower or is the market,POSITIVE,0.72501194
373,such that demand is so strong that attrition will probably remain elevated?,POSITIVE,0.7709769
374,Number three,POSITIVE,0.9131401
375,would be you just brought up travel and any other issues that we should we be thinking,POSITIVE,0.93651474
376,"about that may impact calendar year 2022 margins, and any other issues you want to",NEUTRAL,0.7650866
377,bring up and that is it from me?,POSITIVE,0.9081695
378,Thank you.,POSITIVE,0.8234813
379,Nilanjan Roy,POSITIVE,0.8504617
380,I think that we do not give up the margin guidance for the next year.,POSITIVE,0.93362087
381,Now having said that,POSITIVE,0.7671175
382,"looking at the headwinds, which we actually say pretty much every year are the",POSITIVE,0.7063389
383,"compensation hikes, you have clients coming back for discounts on renewals, and some",POSITIVE,0.56177074
384,"of that you offset with the cost optimization program which we run, and I mentioned that a",POSITIVE,0.8684359
385,"bit earlier in terms of whether it is a pyramid, whether it is subcon, whether it is",POSITIVE,0.9374549
386,"automation, new levers which we are looking at is pricing.",POSITIVE,0.7009013
387,"So, that is something which we",POSITIVE,0.91063577
388,are continuously working on and remain quite confident.,NEGATIVE,0.63034874
389,Travel is one thing which is quite,POSITIVE,0.9216879
390,"unknown at this moment in terms of when does it come back, even if it comes back does it",POSITIVE,0.91065156
391,come back to pre COVID levels or in a slightly lower levels so we will have to watch out for,POSITIVE,0.63991624
392,that really.,POSITIVE,0.88968796
393,"In terms of attrition, I think it is a larger industry issue.",POSITIVE,0.6219775
394,It is not peculiar to us and,POSITIVE,0.8992189
395,fundamentally the volume increase for this industry has to come from freshers.,POSITIVE,0.7543106
396,"Otherwise,",POSITIVE,0.91713905
397,it's a zero-sum game – somebody else's attrition is my lateral and my attrition is somebody,POSITIVE,0.82513547
398,else's lateral.,POSITIVE,0.8997176
399,So as long as the fresher intake starts increasing because first they have to come into,POSITIVE,0.86035335
400,"training, then they go into production after 3 or 4 months and that is something which will",POSITIVE,0.93506265
401,help with the attrition in the medium term; and like I said we have seen attrition flattening,NEGATIVE,0.6976162
402,sequentially on a quarterly annualized basis and looking ahead we are seeing some,POSITIVE,0.8781468
403,"positive signs, but it is too early to say whether it will dramatically come down.",NEUTRAL,0.5634273
404,But like I,POSITIVE,0.8701406
405,"said, as freshers feed into the system we should see the overall environment in terms of",POSITIVE,0.7045577
406,attrition in the market improving.,NEUTRAL,0.7448829
407,Keith Bachman,POSITIVE,0.9043514
408,But any comments specifically on utilization?,POSITIVE,0.93714744
409,"You think it will help, I heard it is neutral just",POSITIVE,0.7254839
410,"broadly, and as part of that the offshore percent of labor increase YoY, is that also a trend",POSITIVE,0.8773903
411,that you think continues given the dynamics in front of you?,POSITIVE,0.8609072
412,And I will see the floor,POSITIVE,0.9312513
413,thereafter.,POSITIVE,0.91965455
414,Nilanjan Roy,POSITIVE,0.8504617
415,"In terms of utilization, this is higher than what we would normally like to be.",NEGATIVE,0.8919747
416,We would,POSITIVE,0.90917355
417,"rather operate at 85% to 86%, but having said that even if we bring this down in the future",POSITIVE,0.7227184
418,it is largely at offshore locations because 75% of our effort is sitting there.,POSITIVE,0.9440981
419,"Therefore,",POSITIVE,0.907736
420,utilization does not directly link to the margins because of the way the offshore costs,POSITIVE,0.9326566
421,"operate, so that is one factor.",POSITIVE,0.892155
422,"The second question, in the long run - if you see, COVID, while it had a huge impact on",POSITIVE,0.91625816
423,"demand, the entire ability for the supply side to deliver in a remote environment really will",POSITIVE,0.8204208
424,"shine up, and that has opened up the eyes of many of our clients that every work does not",NEGATIVE,0.6402557
425,have to be done onsite.,POSITIVE,0.506641
426,"It can be done in a near shore location, it can be done offshore",POSITIVE,0.93843883
427,and I think the beauty of that is secularly we believe this will help the industry in a much,NEGATIVE,0.7859333
428,more larger offshoring at an overall level and of course part of that benefit will be shifting,POSITIVE,0.8092793
429,more work to offshore locations.,POSITIVE,0.8586665
430,"So, I think this is a good sign.",NEGATIVE,0.85609645
431,I think there can be short,POSITIVE,0.854674
432,"term impacts like we saw this quarter, 10 to 20 basis points here and there, but the secular",POSITIVE,0.83528847
