index,sentence,neg,neu,pos,compound
111,High tech growth improved during the quarter to 18.9% in constant currency.,0.0,0.637,0.363,0.6908
112,Clients are,0.0,1.0,0.0,0.0
113,seeing renewed momentum in terms of spending on digital transformation programs linked,0.0,1.0,0.0,0.0
114,"to customer, partner and employee engagement.",0.0,0.625,0.375,0.4588
115,Life Sciences segment performance also improved further to 29.2% growth.,0.0,0.584,0.416,0.6908
116,Adoption of,0.0,1.0,0.0,0.0
117,"digital health, telehealth and patient access programs are resulting in significant uptake of",0.0,0.87,0.13,0.2023
118,"cloud, IoT, patient facing applications, patient portals and next generation CRM work.",0.0,1.0,0.0,0.0
119,We had a very strong performance on our income tax program in India.,0.0,0.77,0.23,0.5563
120,Over 5.8 crores or,0.0,1.0,0.0,0.0
121,"58 mn tax returns were filed using the new system, by the deadline of December 31,",0.0,1.0,0.0,0.0
122,2021.,0.0,1.0,0.0,0.0
123,On the last day over 46 lakhs or 4.6 mn tax returns were filed and during the peak,0.0,1.0,0.0,0.0
124,"hour over 5 lakh or 500,000 tax returns were filed.",0.0,1.0,0.0,0.0
125,We are proud to be supporting the,0.0,0.455,0.545,0.7184
126,digital strategy for India and for the government and working on this program for future,0.0,1.0,0.0,0.0
127,modules that will be developed.,0.0,1.0,0.0,0.0
128,Across digital services in Q3 we have been ranked as a leader in 12 digital service-related,0.0,1.0,0.0,0.0
129,"capabilities from Artificial Intelligence and Automation, Cloud Services, IoT, Engineering,",0.0,0.744,0.256,0.4767
130,Modernization and Big Data and Analytics.,0.0,1.0,0.0,0.0
131,The strong overall performance stems from four years of sustained strategic focus in,0.0,0.784,0.216,0.5106
132,"areas of relevance for our clients in digital and cloud, continuing reskilling of our people",0.0,1.0,0.0,0.0
133,and deep relationships of trust our clients have with us.,0.0,0.732,0.268,0.5106
134,With this strong momentum in the business and robust pipeline we are increasing our,0.0,0.678,0.322,0.6908
135,annual revenue growth guidance from 16.5% to 17.5% moving up to 19.5% to 20% in,0.0,0.843,0.157,0.3818
136,constant currency.,0.0,1.0,0.0,0.0
137,Our operating margin guidance remains at 22% to 24%.,0.0,1.0,0.0,0.0
138,"With that, let me hand it over to Nilanjan for his update.",0.0,0.775,0.225,0.4939
139,Nilanjan Roy,0.0,1.0,0.0,0.0
140,everyone a very happy and safe 2022.,0.0,0.411,0.589,0.7996
141,Q3 was another successive quarter of continued acceleration in revenues at 7.0%,0.0,0.84,0.16,0.2732
142,"constant currency QoQ growth and 21.5% constant currency YoY growth, the highest YoY",0.0,0.679,0.321,0.6369
143,growth in the last 11 years.,0.0,0.658,0.342,0.3818
144,"Despite the Q3 seasonality, we registered strong broad-based growth across geographies",0.0,0.604,0.396,0.7096
145,and verticals.,0.0,1.0,0.0,0.0
146,Our largest geography North America grew at 21.4% while growth in Europe,0.0,0.809,0.191,0.3818
147,accelerated to an impressive 27.2% YoY in constant currency terms.,0.0,0.732,0.268,0.5106
148,"Retail,",0.0,1.0,0.0,0.0
149,"Communication, Manufacturing and Life Sciences also saw 20% or higher YoY growth in",0.0,0.822,0.178,0.3818
150,constant currency.,0.0,1.0,0.0,0.0
151,"We won 25 large deals, and large deals being those with over $50 mn TCV, totaling $2.5",0.0,0.812,0.188,0.5719
152,"bn of TCV - 6 in Retail, 5 each in Financial Services, Communications, and Energy Utilities",0.0,0.877,0.123,0.2732
153,"Resources and Services, 2 in Manufacturing and 1 each in Hi-Tech and Life Sciences.",0.0,1.0,0.0,0.0
154,"Region wise, 16 were from the Americas, 7 were from Europe and 2 from RoW.",0.0,0.819,0.181,0.4767
155,The share,0.0,0.312,0.688,0.296
156,of new deals increased in Q3 to 44% within the large deal numbers.,0.0,0.851,0.149,0.2732
157,"Client metrics improved further with $100+ mn client count increasing to 37, an increase of",0.0,0.707,0.293,0.6597
158,8 YoY.,0.0,1.0,0.0,0.0
159,We added 111 new clients in the last quarter.,0.0,1.0,0.0,0.0
160,Operating parameters remain robust.,0.0,0.556,0.444,0.34
161,Utilization was 88.5% slightly lower than the,0.241,0.759,0.0,-0.228
162,previous quarter easing some of the supply side pressures.,0.204,0.619,0.177,-0.0772
163,Onsite effort mix inched up,0.0,1.0,0.0,0.0
164,marginally to 23.8%.,0.0,1.0,0.0,0.0
165,"Q3 margins remained resilient at 23.5%, a marginal drop of 10 basis points versus",0.122,0.878,0.0,-0.204
166,previous quarter.,0.0,1.0,0.0,0.0
167,The major components of the sequential margin movements were as,0.0,1.0,0.0,0.0
168,below.,0.0,1.0,0.0,0.0
169,• 80 basis points impact due to comp hikes and promotions and other employee,0.0,1.0,0.0,0.0
170,interventions.,0.0,1.0,0.0,0.0
171,• 40 basis points impact due to the utilization decline.,0.0,1.0,0.0,0.0
172,These were offset by,0.0,1.0,0.0,0.0
173,• About 20 basis points benefit due to the rupee and other cross currency,0.0,0.812,0.188,0.4588
174,"movements,",0.0,1.0,0.0,0.0
175,"• 50 basis point benefit due to cost optimization, and",0.0,0.588,0.412,0.6808
176,• 40 basis points benefit due to SG&A leverage other one-offs included therein.,0.0,0.8,0.2,0.4588
177,Q3 EPS grew by 11.2% in dollar terms and 13.1% in rupee terms on a YoY basis.,0.0,1.0,0.0,0.0
178,"Although DSO increased to 71 days due to higher seasonal billing, an increase of 5 days",0.0,0.761,0.239,0.5267
179,"versus the last quarter, it is still a reduction of 2 days versus Q3 of prior year.",0.0,1.0,0.0,0.0
180,Free cash flow for the quarter was healthy at $719 mn.,0.0,0.6,0.4,0.7184
181,Free cash flow as a percentage of,0.0,0.645,0.355,0.5106
182,net profit was 93% for Q3 and 104% for the nine months till date.,0.0,0.818,0.182,0.4404
183,Yield on cash balances improved to 5.29% compared to 5.13% in Q2.,0.0,0.78,0.22,0.4767
184,Our balance sheet remains strong and debt free.,0.177,0.355,0.468,0.6249
185,Consolidated cash and investments at,0.0,1.0,0.0,0.0
186,the end of the quarter stood at $4.28 bn after paying over $840 mn of interim dividend,0.0,1.0,0.0,0.0
187,during the quarter.,0.0,1.0,0.0,0.0
188,Return on equity increased further to 30.4% an increase of 3% over Q3 of the prior year,0.0,0.773,0.227,0.5267
189,driven by robust performance and consistent capital returns through share buyback and,0.0,0.685,0.315,0.5574
190,increased dividend payout.,0.0,0.488,0.512,0.2732
191,"On the employee front, voluntary 12 months attrition increased to 25.5% and as Salil",0.0,0.861,0.139,0.2732
192,"commented while LTM attrition continues to increase due to the tail effect, quarterly",0.0,0.839,0.161,0.3182
193,annualized attrition was flattish compared to Q2.,0.0,1.0,0.0,0.0
194,We will continue to invest in all aspects of,0.0,1.0,0.0,0.0
195,"talent retention including compensation, promotion, skill incentives, learning and career",0.0,0.611,0.389,0.6249
196,progression.,0.0,1.0,0.0,0.0
197,"We have also simultaneously increased the pace of hiring, talent reskilling and the usage",0.0,0.71,0.29,0.5994
198,of subcon to prevent any impact on client commitment.,0.0,0.654,0.346,0.4019
199,"We have added 12,450 talented",0.0,0.548,0.452,0.5106
200,"employees on a net basis in the last quarter, which is the highest ever.",0.0,1.0,0.0,0.0
201,Our global college,0.0,1.0,0.0,0.0
202,"graduate hiring program for this fiscal has been increased to over 55,000 versus the",0.0,0.861,0.139,0.2732
203,"previous quarter number of 45,000.",0.0,0.755,0.245,0.0772
204,In India over 93% of Infoscions have received at least one dose of the vaccine.,0.0,1.0,0.0,0.0
205,Over 97%,0.0,1.0,0.0,0.0
206,"of our employees globally are presently working in remote environment, due to the",0.0,1.0,0.0,0.0
207,heightened precautions against the new variant.,0.0,1.0,0.0,0.0
208,"Driven by robust demand environment and our continued market share gains, we are",0.086,0.514,0.4,0.6705
209,further increasing our revenue guidance for FY22 to 19.5% to 20% in constant currency,0.0,1.0,0.0,0.0
210,terms from 16.5% to 17.5% earlier and the margin guidance remains unchanged at 22%,0.0,1.0,0.0,0.0
211,to 24%.,0.0,1.0,0.0,0.0
212,With that we can open the call for questions.,0.0,1.0,0.0,0.0
213,Moderator,0.0,1.0,0.0,0.0
214,Thank you very much.,0.0,0.545,0.455,0.3612
215,We will now begin the question-and-answer session.,0.0,1.0,0.0,0.0
216,The first,0.0,1.0,0.0,0.0
217,question is from the line of Ankur Rudra from JP Morgan.,0.0,0.798,0.202,0.368
218,Please go ahead.,0.0,0.465,0.535,0.3182
219,Ankur Rudra,0.0,1.0,0.0,0.0
220,Thank you.,0.0,0.286,0.714,0.3612
221,Happy New Year to everybody.,0.0,0.519,0.481,0.5719
222,Excellent numbers for the quarter.,0.0,0.519,0.481,0.5719
223,Clearly a,0.0,0.27,0.73,0.4019
224,very strong growth for Q3.,0.0,0.317,0.683,0.7559
225,Could you start with elaborating on –where did the incremental,0.0,1.0,0.0,0.0
226,surprise come from.,0.0,0.488,0.512,0.2732
227,The full year guidance has increased sharply given the performance,0.0,0.811,0.189,0.2732
228,"of the quarter, so where did the surprise come from?",0.0,0.811,0.189,0.2732
229,Salil Parekh,0.0,1.0,0.0,0.0
230,"I think what we are seeing in the quarter and then all through the year, is the demand",0.081,0.919,0.0,-0.128
231,environment remains extremely strong and then more and more traction on the digital and,0.0,0.783,0.217,0.5563
232,the cloud programs.,0.0,1.0,0.0,0.0
233,This is where we saw the most impact in the quarter in Q3 where we,0.0,1.0,0.0,0.0
234,had really strong growth of 7% and therefore the overall guidance jumping up by 3%.,0.0,0.668,0.332,0.7559
235,"In terms of verticals, as I was sharing earlier, it is broad based.",0.0,0.811,0.189,0.4215
236,"Of course, we have a very",0.0,1.0,0.0,0.0
237,"strong momentum in Manufacturing, that was something that we were looking forward to.",0.0,0.784,0.216,0.5106
238,There is also good momentum that we are seeing in Financial Services given it is our,0.0,0.838,0.162,0.4404
239,"largest vertical, and in Life Sciences that I described before.",0.0,1.0,0.0,0.0
240,Retail is starting to come,0.0,1.0,0.0,0.0
241,back nicely as well.,0.0,0.286,0.714,0.6124
242,"As Nilanjan mentioned, Europe again was a stand-out.",0.0,1.0,0.0,0.0
243,Those are,0.0,1.0,0.0,0.0
244,some of the elements that gave us a good outcome in Q3 and then the support for,0.0,0.728,0.272,0.6808
245,expanding the guidance for the full year.,0.0,1.0,0.0,0.0
246,Moderator,0.0,1.0,0.0,0.0
247,ahead.,0.0,1.0,0.0,0.0
248,Moshe Katri,0.0,1.0,0.0,0.0
249,Thanks.,0.0,0.0,1.0,0.4404
250,Happy New Year and congrats on very strong results.,0.0,0.359,0.641,0.8932
251,"One, I know you just",0.0,1.0,0.0,0.0
252,"reported Q3 but are you ready to talk about the entire calendar year down the road, 2022.",0.0,0.831,0.169,0.5023
253,"What has changed in terms of visibility, may be that is the biggest question if this is",0.0,1.0,0.0,0.0
254,sustainable down the road.,0.0,1.0,0.0,0.0
255,And what can you talk about in terms of color to give us that,0.0,1.0,0.0,0.0
256,comfort.,0.0,0.0,1.0,0.3612
257,And then maybe you can talk a bit about some of the cushion in margins and,0.0,1.0,0.0,0.0
258,"what sort of levers that you have in the model, especially as some of the bench continues",0.0,1.0,0.0,0.0
259,to benefit from the off campus recruiting that has been pretty robust?,0.0,0.511,0.489,0.8225
260,Salil Parekh,0.0,1.0,0.0,0.0
261,I will start off with the first part and then Nilanjan will comment on the margin levers.,0.0,1.0,0.0,0.0
262,Of,0.0,1.0,0.0,0.0
263,"course, as you referenced, we have guidance till March 31 of this year.",0.0,1.0,0.0,0.0
264,The color for this,0.0,1.0,0.0,0.0
265,"calendar year, broadly we see the demand environment remaining strong, the client",0.101,0.676,0.223,0.4215
266,budgets are looking good.,0.0,0.508,0.492,0.4404
267,Our overall pipeline is the largest we have had in a very long,0.0,1.0,0.0,0.0
268,"time, the number of large deals that we were able to close, as Nilanjan shared- 25 large",0.0,0.802,0.198,0.4019
269,deals each over $50 mn for a total of $2.5 bn and 44% of these are net new.,0.0,1.0,0.0,0.0
270,"So, all of",0.0,1.0,0.0,0.0
271,those things are giving us good confidence to what we see going ahead.,0.0,0.538,0.462,0.8225
272,"Of course, we",0.0,1.0,0.0,0.0
273,will have our guidance for our financial year in April.,0.0,1.0,0.0,0.0
274,Nilanjan over to you please.,0.0,0.635,0.365,0.3182
275,Nilanjan Roy,0.0,1.0,0.0,0.0
276,"Moshe, on the margins, like I mentioned earlier they were quite resilient for the quarter.",0.0,0.848,0.152,0.3612
277,A,0.0,1.0,0.0,0.0
278,"couple of things I just want to call out – the cost levers whether it is onsite or offshore mix,",0.0,0.936,0.064,0.0772
279,"the pyramid, whether it is automation – these are some of the things which we",0.0,1.0,0.0,0.0
280,continuously look at deploying.,0.0,1.0,0.0,0.0
281,Subcon costs for us have really ramped up and that is an,0.0,1.0,0.0,0.0
282,area we will continue to look going ahead.,0.0,1.0,0.0,0.0
283,The other thing is pricing and it is important to,0.0,0.833,0.167,0.2023
284,"talk about that as the higher cost now starts feeding into our new deals, that should",0.0,1.0,0.0,0.0
285,"hopefully have benefits and as digital talents start getting priced in, we are able to show",0.0,0.61,0.39,0.8074
286,value to our clients in terms of the business transformation.,0.0,0.789,0.211,0.34
287,This is something we have,0.0,1.0,0.0,0.0
288,started recently.,0.0,1.0,0.0,0.0
289,It will take time to pick up and we have talked about it in the last quarter,0.0,1.0,0.0,0.0
290,as well.,0.0,0.323,0.677,0.2732
291,But really that is our focus - we can start getting into both our cost side and also,0.0,1.0,0.0,0.0
292,make sure that we are not leaving any free cents and dollars on the table as part of our,0.123,0.773,0.105,-0.1032
293,pricing negotiations.,0.0,1.0,0.0,0.0
294,Moderator,0.0,1.0,0.0,0.0
295,go ahead.,0.0,1.0,0.0,0.0
296,Kumar Rakesh,0.0,1.0,0.0,0.0
297,"Good evening, everyone and thank you for taking my question.",0.0,0.597,0.403,0.6597
298,Congratulations on great,0.0,0.111,0.889,0.8402
299,set of numbers.,0.0,1.0,0.0,0.0
300,"My first question Salil was, going into this calendar year, one of the largest",0.0,1.0,0.0,0.0
301,peers has indicated a strong growth to continue through this year.,0.0,0.604,0.396,0.7096
302,"So, looking at our",0.0,1.0,0.0,0.0
303,"portfolio of capabilities and offerings, do you see that we are well aligned to meet or beat",0.0,0.884,0.116,0.2732
304,their growth numbers or do you see that we need some intervention to build up our own,0.0,0.86,0.14,0.3818
305,capability to continue this strong growth going ahead?,0.0,0.481,0.519,0.7561
306,Salil Parekh,0.0,1.0,0.0,0.0
307,Thanks for that question.,0.0,0.508,0.492,0.4404
308,I think in terms of our key capabilities set we have a strong,0.0,0.784,0.216,0.5106
309,portfolio across digital and cloud.,0.0,1.0,0.0,0.0
310,Our Cobalt set of capabilities is resonating extremely,0.0,1.0,0.0,0.0
311,well with our clients.,0.0,0.588,0.412,0.2732
312,We see the growth of digital being a reflection of the focus we have,0.0,0.833,0.167,0.3818
313,had on making these choices over the past four years and positioning the portfolio to,0.0,1.0,0.0,0.0
314,where the clients are looking for work.,0.0,1.0,0.0,0.0
315,We also see the cloud capability faster growing,0.0,0.805,0.195,0.1779
316,than our digital capability.,0.0,1.0,0.0,0.0
317,"So yes, we are well positioned to benefit from this.",0.0,0.464,0.536,0.796
318,In addition to,0.0,1.0,0.0,0.0
319,"that, we have a strong set of capabilities in automation, in modernization.",0.0,0.769,0.231,0.5106
320,We have even,0.0,1.0,0.0,0.0
321,"seen our core services which is now stable this quarter in terms of growth, it is not",0.0,0.758,0.242,0.5859
322,shrinking.,0.0,1.0,0.0,0.0
323,Our view is that our set of capabilities and portfolio is reflecting what our client,0.0,1.0,0.0,0.0
324,expectation/demands are and we have the ability to meet all those from the capability,0.0,0.85,0.15,0.3182
325,perspective.,0.0,1.0,0.0,0.0
326,We also have the capacity to expand and recruit at the college level and our,0.0,0.859,0.141,0.3182
327,"ongoing recruiting ability to attract talent, which is helping us to deliver all our projects on a",0.0,0.57,0.43,0.8316
328,regular basis.,0.0,1.0,0.0,0.0
329,"So, we feel quite good on how we are positioned as we go ahead into the",0.0,0.824,0.176,0.4927
330,next year as well.,0.0,0.588,0.412,0.2732
331,Kumar Rakesh,0.0,1.0,0.0,0.0
332,22% to 24%.,0.0,1.0,0.0,0.0
333,Currently we are trending to the upper end so how should we see that?,0.0,1.0,0.0,0.0
334,Is it,0.0,1.0,0.0,0.0
335,that you want to keep flexibility with yourself in anticipation of any large deals or any cost,0.0,0.733,0.267,0.4767
336,headwind potentially coming from that or is there an indication that you are looking at,0.0,1.0,0.0,0.0
337,"some major cost headwind which are going to come in, in the coming quarter and hence",0.0,1.0,0.0,0.0
338,you are maintaining this margin guidance band?,0.0,1.0,0.0,0.0
339,Nilanjan Roy,0.0,1.0,0.0,0.0
340,The margin guidance for us is really a comfort range within which we operate so we really,0.0,0.852,0.148,0.4173
341,do not fine tune that as the year progresses.,0.166,0.834,0.0,-0.1511
342,"So, this is a band which we are happy to be",0.0,0.73,0.27,0.5719
343,in.,0.0,1.0,0.0,0.0
344,It was 21% to 23% just before COVID.,0.0,1.0,0.0,0.0
345,Now we are 22% to 24%.,0.0,1.0,0.0,0.0
346,So that is more like a,0.0,0.642,0.358,0.4201
347,way for us rather than anything else.,0.0,1.0,0.0,0.0
348,"And looking ahead, we continue to focus on our cost",0.0,1.0,0.0,0.0
349,"headwinds potentially in terms of employees, etc., it could be travel into the next year, but",0.0,1.0,0.0,0.0
350,"like I said we have a very robust cost optimization and of course other levers, which we",0.0,0.635,0.365,0.7939
351,"continue to deploy, so we are quite confident on this.",0.0,0.72,0.28,0.5413
352,Kumar Rakesh,0.0,1.0,0.0,0.0
353,So more of a reflection of flexibility that you want to keep for yourself?,0.0,0.764,0.236,0.4019
354,Nilanjan Roy,0.0,1.0,0.0,0.0
355,Correct.,0.0,1.0,0.0,0.0
356,Kumar Rakesh,0.0,1.0,0.0,0.0
357,Thanks a lot for those answers.,0.0,0.633,0.367,0.4404
358,I will fall back.,0.0,1.0,0.0,0.0
359,Moderator,0.0,1.0,0.0,0.0
360,Markets.,0.0,1.0,0.0,0.0
361,Please go ahead.,0.0,0.465,0.535,0.3182
362,Keith Bachman,0.0,1.0,0.0,0.0
363,"I want to pick up on the same line of questioning, if you could just talk about the puts and",0.068,0.87,0.063,-0.0258
364,"takes as you see margins over the course of the next three, four, five quarters, really",0.0,1.0,0.0,0.0
365,calendar year 2022 and I wanted to see if you could address what you think the impact,0.0,1.0,0.0,0.0
366,would be for a few things.,0.0,1.0,0.0,0.0
367,"For instance, one of the headwinds this quarter was utilization,",0.0,1.0,0.0,0.0
368,how should we be thinking about utilization transform during calendar year 2022?,0.0,1.0,0.0,0.0
369,Number,0.0,0.0,1.0,0.0772
370,"two you said attrition was flat sequentially, how do you think about attrition trends over the",0.0,1.0,0.0,0.0
371,course of calendar year 2022?,0.0,1.0,0.0,0.0
372,Do you think that they can move lower or is the market,0.167,0.833,0.0,-0.296
373,such that demand is so strong that attrition will probably remain elevated?,0.099,0.663,0.238,0.4754
374,Number three,0.0,0.435,0.565,0.0772
375,would be you just brought up travel and any other issues that we should we be thinking,0.0,1.0,0.0,0.0
376,"about that may impact calendar year 2022 margins, and any other issues you want to",0.0,0.915,0.085,0.0772
377,bring up and that is it from me?,0.0,1.0,0.0,0.0
378,Thank you.,0.0,0.286,0.714,0.3612
379,Nilanjan Roy,0.0,1.0,0.0,0.0
380,I think that we do not give up the margin guidance for the next year.,0.0,1.0,0.0,0.0
381,Now having said that,0.0,1.0,0.0,0.0
382,"looking at the headwinds, which we actually say pretty much every year are the",0.0,0.802,0.198,0.4939
383,"compensation hikes, you have clients coming back for discounts on renewals, and some",0.0,1.0,0.0,0.0
384,"of that you offset with the cost optimization program which we run, and I mentioned that a",0.0,0.86,0.14,0.3818
385,"bit earlier in terms of whether it is a pyramid, whether it is subcon, whether it is",0.0,1.0,0.0,0.0
386,"automation, new levers which we are looking at is pricing.",0.0,1.0,0.0,0.0
387,"So, that is something which we",0.0,1.0,0.0,0.0
388,are continuously working on and remain quite confident.,0.0,0.667,0.333,0.5413
389,Travel is one thing which is quite,0.0,1.0,0.0,0.0
390,"unknown at this moment in terms of when does it come back, even if it comes back does it",0.0,1.0,0.0,0.0
391,come back to pre COVID levels or in a slightly lower levels so we will have to watch out for,0.091,0.909,0.0,-0.228
392,that really.,0.0,1.0,0.0,0.0
393,"In terms of attrition, I think it is a larger industry issue.",0.0,1.0,0.0,0.0
